screen_or_component,text_surface,source_keys,layout_constraint,notes
PCHomeScreen history mode tabs,'일반 모드 / 시즌 모드',inline,.pc-history-mode-tab,"Hardcoded ko."
PCHomeScreen Card eyebrow,'JUDGE PROFILE' / 'JUDGE AXES' / 'PLAY HISTORY' / 'SCOREBOARD' / 'HALL OF FAME',inline,.pc-panel-card-v2__eyebrow uppercase + 0.2em,"Intentional EN brand constants — keep as-is per locked rule."
PCHomeScreen MiniStat / SummaryRow,'처리 사건' / '최고 점수' / '평균 점수' / '시즌' / '배경음' / '효과음' etc.,inline,.pc-mini-stat / .pc-summary-row,"Hardcoded ko; many small surfaces."
PCHomeScreen leaderboard rows,formatHallOfFameCaseLabel(caseId, allCases),inline string concat,.pc-ranking-row-v2__copy (no min-width:0/ellipsis),"Long EN/JA case titles will push score column off-screen."
PCHomeScreen settings cards,'화면' / '오디오' / '게임플레이' / '라이브 상태' + ToggleRow / SummaryRow labels + select options ('빠르게 / 보통 / 느리게' / 'Auto (자동 감지)'),inline,.pc-settings-grid-v2,"Hardcoded ko; this older home-embedded settings panel coexists with the newer PCSettingsPanel modal."
PCHomeScreen ScreenPresetConfirmModal,'지금 해상도를 유지하시겠습니까?' / countdown text / '예' / '아니요',pc.resolutionConfirm.rollback only,.pc-resolution-confirm,"Body and buttons still ko literals."
PCHomeScreen AxisRow poles,'논리 / 직관' / '엄격 / 관용' / '원칙 / 봉합',inline,.pc-axis-row__pole (no max-width),"Hardcoded ko; EN/JA need clamp."
PCSettingsPanel sidebar items,'화면 / 오디오 / 게임플레이 / 데이터 / 언어 / 접근성 / 키보드 / 계정 / 정보',inline literals in CATEGORIES,.pc-settings-sidebar__label flex:1 (no min-width:0),"P0 — sidebar fixed at 240px; EN 'Accessibility' + badge fits but layout has no min-width:0/ellipsis defense."
PCSettingsPanel sidebar __badge,'준비 중',inline,.pc-settings-sidebar__badge font-size:9px,"P0 — needs translation; collapse to dot for compact widths if desired."
PCSettingsPanel header,'설정' + close button '닫기 (Esc)' aria,inline,.pc-settings-fullscreen__title,"Hardcoded ko."
PCSettingsPanel LanguageSettings,title / desc / displayLanguage / current / restartNote,settings.language.*,fully localized,"Working as designed."
PCSettingsPanel AboutSection,'정보' / '버전·크레딧·라이선스' / '버전' / '빌드' / 'v0.x — 개발 중 (PC 베타)' / '엔진' / '크레딧' / '라이선스' + version string,inline + settings.about.credits.*,.pc-settings-content,"P0 — only credits.title/description are localized; the rest is ko."
PCSettingsPanel PreviewSection,'접근성 — 다음 사이클' / '키보드 — 다음 사이클' / '계정 — 확장 예정',inline,.pc-settings-content,"Hardcoded ko."
PCCourtLayout titlebar,brand.title + caseData.meta.title (KO data) + Phase pill 'Phase ${num} - ${PHASE_LABELS[phase]}',brand.title + inline,.pc-play-titlebar / .pc-play-phase white-space:nowrap,"PHASE_LABELS hardcoded; case meta titles are ko data files (out of scope per restart prompt)."
PCBottomDock hotbar slots,'사실 추궁 / 동기 탐색 / 공감 접근 / 자유 질문 / 증거 제시 / 증인 소환',inline,.slot-nm font-size:10px in 6-col minmax(62px,1fr),"P0 / P1 — zero t() calls; needs hotbar.slot.* keys + 2-line clamp."
PCBottomDock hotbar special-btn,'분리 심문 / 비공개 보호 / 즉답 요구',inline,.hotbar-special-btn max-width:92→58px white-space:nowrap,"P1 — narrow widths clip EN labels; collapse to icon-only ≤1320px."
PCBottomDock advance banner,'${advanceLabel}할 수 있습니다' + advanceLabel button,inline,.pc-advance-banner display:flex (no flex-wrap),"P1 — duplicate verb in EN; needs flex-wrap and shorter sentence."
PCBottomDock question-choice overlay,header titles ('사실 추궁 - 모순에 집중하기' etc.) + hint text + dispute back button,inline,.pc-question-choice__title,"All ko."
PCBottomDock CharacterCard,name + char-emo (경계/자신감/동요/격앙/체념),inline + EMOTION_LABELS map,.char-info / .char-emo,"P2 — emotion chip narrow; EN labels longer."
PCVerdictScreen sidebar,eyebrow='VERDICT STUDIO' + h1='최종 판결' + summary + meta-card labels '쟁점 / 해결책 / 턴',inline + caseData.context.description (ko),.pc-verdict-sidebar,"Eyebrow is intentional EN brand; rest hardcoded ko."
PCVerdictScreen STEPS,'01 쟁점 판단 / 02 안건 책임 / 03 해결안 / 04 판결문',inline STEPS array,.pc-verdict-rail__chip + .pc-verdict-step-link,"P0 — needs verdict.step.* keys; drop numeric prefix on non-KO."
PCVerdictScreen footer,'< 이전 단계' / '다음 단계 >' / '판결 확정' / '판결 기록 중...' / '모든 쟁점을 먼저 판단하세요',inline,.pc-verdict-footer__button min-width:160px,"P0 — primary button can grow long after EN translation; flex-wrap allowed."
PCVerdictScreen confirm card,'사실로 판단 / 거짓으로 판단 / 판단 보류 / 선택한 해결안',inline,.pc-verdict-confirm__card,"All ko."
PCResultScreen TABS,'01 결과 확인 / 02 판결 선고 / 03 후일담 / 04 보너스',inline,.pc-result-tab + .pc-result-step-link,"P1 — needs result.tab.* keys; drop prefix on non-KO."
PCResultScreen hero,eyebrow='RESULT DOSSIER' (EN brand) + headline (case title ko data) + score + rating (getRating ko) + meta cards (관계/쟁점/증거),inline,.pc-result-hero,"Eyebrow English brand kept; rating + meta labels need result.* keys."
PCResultScreen panels,'쟁점별 판단 결과' / '결정적 순간' / '해결 방향' / '재판관 성향' / '획득한 칭호',inline,.pc-result-summary__section,"Hardcoded ko."
PCResultScreen aftermath,'후일담을 작성하고 있습니다...' / '후일담 데이터가 없습니다.',inline,—,"Hardcoded ko."
PCInteractionPanel modal,title / subtitle / body / action labels (e.g. '⚡-1 분리 심문 실행'),inline,.pc-interaction-card__action min-width:180px flex:1 1 180px,"P1 — translate labels; drop emoji prefixes."
PCTestConsole,'TEST' fab + 'LOCAL TEST' kicker + 'Token Console' title + RESOURCE_LABELS ('조사 토큰' etc.) + '+1/+5/+10' + '지급',inline + RESOURCE_LABELS,grid 44px 44px 44px 1fr 54px,"P2 — translate via debug.testConsole.* keys; shorten EN."
JudgeObservationSection,LOW_VALUE / IMPORTANT_EVENT title sets compared by string,inline ko Set keys,—,"P2 — translation will break Set lookups; decouple ids from labels."
JudgeNotebookSection,inline labels,inline,—,"Hardcoded ko (not deeply audited; flag for follow-up)."
PCRecordSummary,labels,—,—,"pc.recordSummary.moreConvincing localized; other surfaces TBD."
