priority,file_or_component,risk,affected_locales,recommendation
P1,src/components/pc/hotbar/PCBottomDock.tsx :490-535 + pc.css :9470-9476 :: .slot-nm '사실 추궁 / 동기 탐색 / 공감 접근 / 자유 질문 / 증거 제시 / 증인 소환' at font-size:10px in 6-col minmax(62px,1fr),"After translation EN slot labels (≈12 chars) cannot single-line; no clamp/ellipsis fallback today.",en|ja|zh-CN,"Apply 2-line -webkit-line-clamp clamp; raise .slot min-height to 62px; ship compact EN aliases (Facts / Motive / Empathy / Free Q / Evidence / Witness) via glossary."
P1,src/components/pc/home/PCHomeScreen.tsx :512-513 :: leaderboard / hall-of-fame rows formatHallOfFameCaseLabel rendered inside .pc-ranking-row-v2__copy with no min-width:0/ellipsis,"Long EN/JA/zh-CN case titles push score column off-screen.",en|ja|zh-CN,"Add min-width:0 to .pc-ranking-row-v2 and .pc-ranking-row-v2__copy; clamp title <strong> with overflow:hidden + text-overflow:ellipsis + white-space:nowrap; same for subtitle <span>."
P1,src/components/pc/home/PCHomeScreen.tsx :413-417 :: AxisRow poles '논리/직관' / '엄격/관용' / '원칙/봉합',"EN/JA pole labels double width and may collide with the indicator dot.",en|ja|zh-CN,"Translate via judgeProfile.axis.* keys; clamp .pc-axis-row__pole to max-width:6em; text-align:center; line-height:1.1; font-size:11px."
P1,src/components/pc/layout/PCCourtLayout.tsx :27-38 :: PHASE_LABELS hardcoded ('사건 브리핑' / '사전진술' / '심문' / '판결 진입' / '판결' / '결과') and rendered as 'Phase ${num} - ${label}',"Phase pill in court header stays Korean for non-KO locales.",en|ja|zh-CN,"Add court.phase.* keys; render via t(); keep nowrap but allow ellipsis fallback in case of long EN phase labels."
P1,src/components/pc/layout/PCInteractionPanel.tsx :: action button labels ('⚡-1 분리 심문 실행' etc.) and modal headers built from inline Korean,"Modal buttons still Korean; emoji prefixes block translation length math.",en|ja|zh-CN,"Migrate to interactionPanel.* keys; drop the emoji prefix and render the symbol via PCSvgIcon for consistent layout. Keep .pc-interaction-card__action min-width:180px + flex-wrap:wrap."
P1,src/components/pc/home/PCHomeScreen.tsx :550-560 :: ScreenPresetConfirmModal '예 / 아니요' inline + pc-resolution-confirm__count seconds line uses pc.home.countdown.* but the button strings are not localized,"EN translation 'Yes / No' too small; 'Confirm / Cancel' would unbalance.",en|zh-CN,"Add resolutionConfirm.confirm / .cancel keys; bump .pc-inline-button min-width to 96px inside .pc-resolution-confirm__actions."
P1,src/components/pc/hotbar/PCBottomDock.tsx :340-348 :: pc-advance-banner duplicates the verb ('판결 단계로 진행할 수 있습니다' + button '판결 단계로 진행'),"After EN translation the banner repeats 'Advance to Verdict' twice and exceeds 1280px width; current rule has no flex-wrap.",en|zh-CN,"Add court.advance.ready / court.advance.label.* keys with shorter EN forms ('Ready' + 'Advance to Verdict'); allow flex-wrap:wrap and gap:8px on .pc-advance-banner."
P1,src/app/pc.css :: 80+ rules with word-break:keep-all without paired overflow-wrap (lines 8898 / 18289 / 18909 / 19052 etc.),"Good for KO/JA but EN long words won't break and will overflow flex containers. Fixed-width siblings make this unsafe.",en,"Add a single locale-aware base near :root using the existing <html lang> attribute: html[lang^='en'] body.pc-mode { word-break:normal; overflow-wrap:break-word; hyphens:auto; }"
P1,src/app/pc.css :: .pc-play-hbar grid-template-columns steps 196px 1fr 196px → 78px 1fr 78px at 1320px (with .char-info display:none),"Steam Deck 1280×800 sits exactly on this boundary; EN/JA hotbar special row clips between steps.",en|ja|zh-CN,"Add Steam-Deck-tuned media query (max-width:1280px and max-height:900px) that further compacts the special row to icon-only with kbd, drops slot key badge size, hides .char-info earlier."
P2,src/components/pc/result/PCResultScreen.tsx :: hero meta cards ('관계' / '쟁점' / '증거') values rendered as ${count}개 / ${count}종,"EN '3 disputes / 2 evidence' will not fit the strong line in repeat(3, minmax(0, 1fr)) at 1280×800.",en|ja,"Translate the labels and values via result.hero.meta.* keys; add min-width:0 to .pc-result-hero__meta-card; font-size:11px on the label span; allow 2-line wrap on the value <strong>."
P2,src/components/pc/debug/PCTestConsole.tsx :194 :: actions grid '44px 44px 44px 1fr 54px' with resourceHead labels '조사 토큰' / '스킬 포인트' / '법정 장악' inline,"EN 'Investigation Token' / 'Skill Point' won't fit 1fr after 3 buttons + input + 54px.",en,"Localize via debug.testConsole.* keys; shorten EN per glossary (Token / Skill / Court). Add min-width:0 + font-size:12px + overflow:hidden + text-overflow:ellipsis to resourceHead span."
P2,src/components/pc/observation/JudgeObservationSection.tsx :: CATEGORY_ICON keys + LOW_VALUE_OBSERVATION_TITLES + IMPORTANT_EVENT_OBSERVATION_TITLES use Korean string keys,"Observation titles are Korean keys; once translated they will not match the Set lookups and the filtering logic will silently fail.",en|ja|zh-CN,"Decouple keys from labels — store an internal id ('decisive_question_unlock') and render the localized title via t(). Out of layout scope but flagged so PROJECT_CONTROL_TOWER understands the migration cost."
P2,src/app/pc.css :: 100+ instances of font-size 9-10px (.slot-nm / .hotbar-mode / .hotbar-special-btn / .pc-language-selector__label etc.),"CJK glyphs at 9-10px (especially ja kanji / zh-CN hanzi) become unreadable on Steam Deck handheld DPI.",ja|zh-CN,"Floor CJK to 11px via locale class — html[lang^='ja'] body.pc-mode .slot-nm, html[lang^='zh'] body.pc-mode .slot-nm { font-size:11px; letter-spacing:0 }; apply to hotbar-special-btn / kbd / settings sidebar badge."
P2,src/components/pc/hotbar/PCBottomDock.tsx :579 :: .char-emo emotion chips (경계/자신감/동요/격앙/체념),"EN 'Defensive / Confident / Shaken / Angry / Resigned' longer; chip area is small.",en,"Place the emotion chip on its own line under the name (.char-info { flex-direction:column; align-items:flex-start }) with font-size:10px; localize via court.emotion.* keys."
