namespace,key,current_ja,proposed_ja,status,notes
court,pc.combo.readyPairToast,組み合わせ可能なペアが準備できました,組み合わせ可能なペアが準備できました,ok,
court,pc.combo.readyItemsNotice,組み合わせ可能な項目が{count}件あります,組み合わせ可能な項目が{count}件あります,ok,
court,pc.combo.readyMaterialsNotice,組み合わせ可能な材料が{count}件準備できました,組み合わせ可能な材料が{count}件揃いました,changed,準備できました → 揃いました — natural collocation for materials/items in JA
court,pc.combo.readyDetailLabel,組み合わせ可能項目の詳細,組み合わせ可能項目の詳細,ok,
court,pc.recordSummary.moreConvincing,{party}側の主張のほうが説得力があると判断しました。,{party}側の主張のほうが説得力があると判断しました。,ok,
court,pc.verdictAdvance.minimumVisible,判決は争点が{required}件以上明らかになってから進行できます。現在明らかな争点は{visible}件です。,判決は争点が{required}件以上明らかになってから進められます。現在明らかになっている争点は{visible}件です。,needs_native_review,進行できます → 進められます (more natural verbal); 明らかな → 明らかになっている (consistency)
court,pc.verdictAdvance.conditionsMissing,まだ判決条件を満たしていません。争点ごとの真実と証拠をさらに確認してください。,まだ判決条件を満たしていません。争点ごとの真相と証拠をさらに確認してください。,changed,真実 → 真相 to align with glossary truth=真相 and disclosure-policy hidden-truth lexicon
court,pc.verdictAdvance.hidden.title,まだ明らかになっていない争点があります,まだ明らかになっていない争点があります,ok,
court,pc.verdictAdvance.hidden.subtitle,判決前の確認,判決前の確認,ok,
court,pc.verdictAdvance.hidden.body,現在明らかな争点は{visible}件です。\\nまだ明らかになっていない争点が{hidden}件残っています。\\n\\nそれでも判決へ進みますか？,現在明らかになっている争点は{visible}件です。\\nまだ明らかになっていない争点が{hidden}件残っています。\\n\\nそれでも判決へ進みますか？,needs_native_review,明らかな → 明らかになっている for consistency with minimumVisible
court,pc.verdictAdvance.hidden.visibleTag,公開争点 {count},公開争点 {count},ok,
court,pc.verdictAdvance.hidden.hiddenTag,隠れた争点 {count},隠れた争点 {count},ok,
court,pc.verdictAdvance.hidden.confirm,それでも判決へ進む,それでも判決へ進む,ok,
court,pc.verdictAdvance.hidden.collapse,判決ボタンだけ隠す,判決ボタンだけ隠す,ok,
court,pc.verdictAdvance.hidden.keepInvestigating,さらに調査する,さらに調査する,ok,
verdict,pc.verdict.factOption.partyClaimCorrect,{party}側の主張が正しい,{party}側の主張が正しい,ok,
verdict,pc.verdict.factOption.partyClaimCorrectWithContradiction,この争点は事実と異なります - {party}側の主張が正しい,この争点は事実と異なります ─ {party}側の主張が正しい,changed,ASCII hyphen → em-dash for cleaner JA punctuation
verdict,pc.verdict.responsibility.major,{party}側に主な責任,{party}側に主たる責任,needs_native_review,主な責任 → 主たる責任 — slightly more formal courtroom register; both valid
verdict,pc.verdict.responsibility.greater,{party}側により大きな責任,{party}側により大きな責任,ok,
verdict,pc.verdict.responsibility.similar,双方に近い責任,双方ほぼ同等の責任,changed,近い責任 reads odd — 同等 carries the responsibility-balance semantics clearly
profile,pc.perk.required,{name}が必要,{name}が必要,ok,
profile,pc.profile.fragments.needCount,{count}個以上必要,{count}個以上必要,ok,
