source_ko,proposed_zh_cn,context,path_or_key,relation_to_ui_glossary,risk,notes
출생 비밀 / 친생자,出生秘密 / 亲生子,"family-01 hidden truth lexemes (forbidden in surface channels).",disclosure-policy §4.2,conflicts,critical,"Block list in zh-CN guard. Tier 3 paraphrase variants must also be expanded for zh-CN (e.g., 血缘不同, 真正的儿子 etc)."
20년 동안 매달,二十年来每月 / 长期,"family-01 hidden truth — long-term remittance pattern.",disclosure-policy §4.2,conflicts,critical,"Forbidden in surface channels. Surface allowed: 长期支援 / 多年汇款."
공장 자금,工厂资金,"family-01 hidden truth lexeme.",disclosure-policy §4.2,conflicts,high,"Surface uses ""工厂周转""-style abstraction. Block exact phrase in judge/system."
예비신랑,未婚夫,"friend-01 — fiancé reference.",cases/generated/friend-01.json,new_script_term,low,"Standard term."
선을 넘은 / 선 넘는 메시지,越界的 / 越界的消息,"friend-01 hidden truth — boundary-crossing behavior.",disclosure-policy §4.3,conflicts,high,"Forbidden in surface channels until S5. Surface = ""不当的言行"" / ""超出朋友界限的"". Tier 3 guard must register ""越界"" plus its paraphrases."
사기 / 다은이 아버지가 가져간,诈骗 / 송다은父亲取走,"friend-01 hidden truth lexemes.",disclosure-policy §4.3,conflicts,critical,"Block list."
같은 패턴 반복,反复同样的方式 / 重复的模式,"friend-01 hidden truth.",disclosure-policy §4.3,conflicts,high,"Forbidden direct translation in judge/system. Surface = ""相似的情况"" / ""类似的请求""."
판결 / 판결문,判决 / 判决文书,Judge UI vocabulary.,multiple,matches,low,Glossary verdict=判决.
심문,讯问,Interrogation phase label and channel.,multiple,matches,low,Glossary interrogation_phase=讯问.
중재 / 조정,调解 / 调停,Mediation channel.,dialogues/mediation/*.json,matches,low,Glossary mediation_phase=调解阶段. Style guide mandates 调解 for zh-CN.
모순 / 진술 균열,矛盾 / 陈述裂痕,Contradiction system terms.,scriptedText:contradiction_pursuit,matches,low,Glossary contradiction=矛盾.
이의 있습니다 / 이의 제기,反对！/ 异议,Objection bark vs UI button.,scriptedText (judge dialogue),matches,medium,"Glossary explicitly separates: noun=异议 (UI), bark=反对！(in-character). Translator must preserve the channel distinction — never use 反对！on a button."
체념,认命,"Emotion label — fatalistic acceptance (resigned).",scriptedText:emotional_overload,matches,medium,"Glossary emotion_resigned=认命 (NOT 放弃). Watch for context dialogue using 체념 verbally — should be 认命 too unless dialogue clearly means ""giving up""."
behaviorHint (field name itself),(do not translate),Stage-direction field embedded in every variant.,scriptedText/scriptedAngles/witnessTestimony,needs_decision,medium,"behaviorHint is currently Korean prose. Determine: (a) is it shown to player? (b) is it used by LLM/intent classifier? Pilot uses zh-CN-translated behaviorHint as default but flags ""needs_decision"" — if dev-only, leave as ko."
sourceRefs / tags / behaviorHint metadata,(no translate),Tag values (e.g., ""channel:judge_question"") use English snake_case identifiers.,scriptedText:variant.tags,matches,low,Tag identifiers are stable IDs — never translate.
이 자리 / 이 자리에서,本庭 / 这里,Court reference phrasing.,judge questions and confession scripts,new_script_term,low,"Pilot uses 本庭 for formal court contexts and 这里 for casual."
사실관계,事实关系 / 事实经过,Standard factual-questioning vocabulary.,judge questions,new_script_term,low,Pilot uses 事实经过 (more natural in interrogation context).
즉답 요구,即答要求,Action label.,scriptedText system messages,matches,low,Glossary demand_answer=即答要求.
자유심문 / 자유 질문,自由讯问 / 自由提问,Player free-text questioning mode and slot label.,scriptedText system messages,matches,low,"Glossary entries free_interrogation=自由讯问, free_question=自由提问."
조사 토큰,调查点数,Resource shown in system messages.,scriptedText:system_message,matches,low,Glossary investigation_token=调查点数.
조합 가능 / 조합 성공,可组合 / 组合成功,Combination system result phrases.,combinationComments / system messages,matches,low,Glossary combination=组合.
방어 / 동요 / 변명 / 궁지 / 붕괴 / 자백,防御 / 动摇 / 辩解 / 窘迫 / 崩溃 / 自白,Lie-state stage labels (S0-S5).,scriptedText system messages,matches,low,Glossary covers all six lie_state_s* rows — match exactly.
신뢰함 / 경계함 / 의심함,信任 / 警觉 / 怀疑,Trust state labels.,system messages,matches,low,"Glossary trust_state_high/mid/low — note 警戒(emotion) vs 警觉(trust); zh-CN style guide should disambiguate."
경계 / 자신감 / 동요 / 격앙 / 체념,警戒 / 自信 / 动摇 / 激愤 / 认命,Character emotion labels.,scriptedText emotional_overload + observation,matches,low,Glossary emotion_*. Note overlap: 동요 used both as emotion (动摇) and lie-state s1 (动摇) — verified zh-CN keeps the overlap intentional.
심층 조사 / 조사 단계 / 증거 단계,深度调查 / 调查阶段 / 证据阶段,Investigation/evidence stage labels.,scriptedText evidence_present,matches,low,Glossary deep_investigation/investigation_stage/evidence_stage.
부부 / 가족 / 친구,夫妻 / 家庭 / 朋友,Relationship category labels (active 3 cases).,case briefing surfaces,matches,low,"Glossary relationship_*."
판결 조각 / 칭호,判决碎片 / 称号,Progression vocabulary that can leak into observation/system text.,scriptedText:rapport_milestone,matches,low,Glossary judge_fragment/judge_title.
관찰 / 수첩 / 발언노트,观察 / 笔记本 / 发言笔记,Surface labels referenced inside system messages.,scriptedText:system_message,extends,medium,"observation=观察 in glossary. notebook=笔记本. ""발언노트"" is not yet in glossary — propose 发言笔记. PROJECT_CONTROL_TOWER decision needed."
형 (older brother),哥 / 大哥,Generic older-brother address — surface-only allowed only AFTER NPC S5.,disclosure-policy §4.1,needs_decision,critical,"Distinct from 哥哥 (sibling reference). Pre-S5 channels must NOT use 哥/大哥 in surface-only channels. Forbidden lexeme parity required."
- 합니다체 (formal -smnida ending),(general formal register),Korean formal-polite verb register pervasive in court dialogue.,all dialogue,new_script_term,low,"zh-CN equivalent = neutral formal register (no 您 unless context warrants); avoid 文言 archaisms. Style note rather than glossary row."
- 해요체 (~haeyo ending),(general softer-formal register),Softer Korean register reserved for emotional/confession lines.,confessionScripts,new_script_term,low,"Per memory rule: emotional/confession only — preserve emotional softening in zh-CN through phrasing, not formal/casual axis (zh-CN lacks Korean register granularity)."
