key_or_source,locale,current_proposal,shorter_alternative,notes
pc.dialogue.contradiction.body,ja,前の供述と現在の供述の間に矛盾が検出されました。矛盾を積み重ねると、虚偽の状態が揺らぎ、新たな供述や手がかりが現れる可能性があります。,Split sentences across two <p>,Contradiction popup mid-width.
pc.actions.evidence.selected.hint,ja,スロットで選んだ証拠をすぐに提示することも、下のパネルから調査・対面質問へ繋ぐこともできます。,選んだ証拠はすぐ提示できます。下のパネルから調査・対面質問にも繋げます。,Action panel hint.
pc.record.section.contradiction.empty,ja,比較できる発言の食い違いはまだありません。同じ争点で違う質問タイプや証拠提示を行うと、供述の変化を確認できます。,(OK as 2 lines on L; on S split at 「ありません。」),Empty state record summary modal.
pc.verdict.advance.body,ja,現在の公開争点は{visible}件です。まだ明らかになっていない争点が{hidden}件残っています。それでも判決へ進みますか？,Render with <br> between to control breaks (already 3 sentences),Confirmation panel body.
pc.actions.interrogation.subtitle,zh-CN,基于当前争议点控制提问、自由提问与辅助开关。,控制当前争议点的提问与开关。,22 chars → 14 chars. Hotbar subtitle row.
pc.actions.evidence.subtitle,zh-CN,在同一处管理证据出示、调查、鉴定与传唤证人。,集中管理证据出示、调查、鉴定与证人传唤。,22 chars → 20 chars.
pc.gameplay.held.body,zh-CN,虽未直接崩塌，但已具备记录价值。请尝试与其他证据或发言连结后再次推进。,尚未直接崩塌，但值得记录。可与其他证据或发言连结后再试。,33 chars → 26 chars. sm bucket may force 3 lines.
pc.gameplay.statementCollapse.body,zh-CN,对方陈述大幅动摇。现在正适合衔接下一道追问或异议。,对方陈述大幅动摇，正适合接下一道追问或异议。,23 chars → 21 chars.
pc.settings.about.creditsBody,zh-CN,所罗门的法庭 — 以人类智慧裁决两个 AI 之争的回放推理游戏,Split: 所罗门的法庭 / 以人类智慧裁决两个 AI 之争的回放推理游戏,29 chars single-row.
pc.settings.data.resetDescription,zh-CN,将删除存档槽、案件进度、裁判官倾向、成就与档案，操作不可撤销。,Split into 2 sentences,30 chars; settings two-line zone.
result.tab.* / verdict.step.*,en,01 Result / 02 Verdict / 03 Epilogue / 04 Bonus,Result / Verdict / Epilogue / Bonus,Drop numeric prefix on non-KO. Thread-04 P0-4. Same for verdict steps.
result.tab.* / verdict.step.*,ja,01 結果確認 / 02 判決宣告 / 03 後日談 / 04 ボーナス,結果 / 判決 / 後日談 / ボーナス,Same.
result.tab.* / verdict.step.*,zh-CN,01 结果 / 02 判决 / 03 后日谈 / 04 奖励,结果 / 判决 / 后日谈 / 奖励,Same.
phase.advance.label.toVerdict / .toReexam / .next,en,Advance to Verdict / Advance to Final Interrogation / Advance to Next Phase,To Verdict / To Final Interrogation / Next Phase,Banner button. Drop verb when banner sentence already says ready.
home.gameTitle (uses brand_full_title),ko,(splash hardcoded 솔로몬의 딜레마),솔로몬의 딜레마: 진실의 재판,"PROJECT_CONTROL_TOWER decision 2026-05-06. Replace hardcoded literal in PCApp.tsx:132 with t('home.gameTitle') referencing brand_full_title."
home.gameTitle (uses brand_full_title),en,Solomon's Dilemma,Verdict Zero: Trial of Truth,"PROJECT_CONTROL_TOWER. Solomon's Dilemma rejected (religious/biblical reading). Use Verdict Zero: Trial of Truth."
home.gameTitle (uses brand_full_title),ja,ソロモンのジレンマ,ソロモンのジレンマ：真実の裁き,"Add subtitle 真実の裁き. Note JA full-width colon ：."
home.gameTitle (uses brand_full_title),zh-CN,所罗门的法庭 / 所罗门的两难,真相裁决：零点审判,"PROJECT_CONTROL_TOWER. Both 所罗门的法庭 (Court) and 所罗门的两难 (Dilemma) rejected. Use natural localized title."
splash.title + splash.subtitle (split rendering),ko,(none),솔로몬의 딜레마 / 진실의 재판,Optional split rendering on splash screen using brand_title + brand_subtitle keys.
splash.title + splash.subtitle (split rendering),en,COURT SIMULATION GAME (eyebrow only),Verdict Zero / Trial of Truth,Replace existing splash.subtitle eyebrow with brand structure.
splash.title + splash.subtitle (split rendering),ja,(none),ソロモンのジレンマ / 真実の裁き,Same.
splash.title + splash.subtitle (split rendering),zh-CN,(none),真相裁决 / 零点审判,Same.
settings.about.credits,ko,솔로몬 법정 ─ AI 동시의 대립을 인간의 지혜로 ...,솔로몬의 딜레마: 진실의 재판 — AI ...,Drop ad-hoc 솔로몬 법정 — use brand_full_title prefix.
settings.about.credits,en,Solomon Court — A replayable mystery game…,Verdict Zero: Trial of Truth — A replayable mystery game…,Replace ad-hoc credit subtitle.
settings.about.credits,ja,ソロモン法廷 ─ AI同士の対立を…,ソロモンのジレンマ：真実の裁き ─ AI同士の対立を…,Replace ad-hoc credit subtitle.
settings.about.credits,zh-CN,所罗门的法庭 — 以人类智慧裁决两个 AI 之争…,真相裁决：零点审判 — 以人类智慧裁决两个 AI 之争…,Replace ad-hoc credit subtitle.
