source_term_or_id,en,ja,zh-CN,notes
lie_state_s1 (NEW — 동요),Wavering,動揺,动摇,Note: same KR as emotion_shaken — verify intentional.
lie_state_s2 (NEW — 변명),Excuse,弁明,辩解,
lie_state_s3 (NEW — 궁지),Cornered,窮地,窘迫,
lie_state_s4 (NEW — 붕괴),Breaking,崩壊,崩溃,
lie_state_s5 (NEW — 자백),Confession,自白,自白,
fragment_reasoning (NEW — 논리 조각),Reasoning Fragment,論理の欠片,逻辑碎片,
fragment_inquiry (NEW — 탐구 조각),Inquiry Fragment,探究の欠片,探究碎片,
fragment_empathy (NEW — 공감 조각),Empathy Fragment,共感の欠片,共情碎片,
fragment_severity (NEW — 엄정 조각),Severity Fragment,厳正の欠片,严正碎片,KR axis cleanup: 엄정 reserved for fragment; 엄격 for axis pole.
fragment_deliberation (NEW — 심사 조각),Deliberation Fragment,審議の欠片,审议碎片,
fragment_leniency (NEW — 관용 조각),Leniency Fragment,寛容の欠片,宽容碎片,
fragment_jurisprudence (NEW — 법리 조각),Jurisprudence Fragment,法理の欠片,法理碎片,
fragment_balance (NEW — 균형 조각),Balance Fragment,均衡の欠片,均衡碎片,
fragment_reconciliation (NEW — 화해 조각),Reconciliation Fragment,和解の欠片,和解碎片,"PROJECT_CONTROL_TOWER decision 4: 화해 = reconciliation/restored relationship."
axis_resolution_pole (NEW — 봉합),Closure,収拾,弥合,"PROJECT_CONTROL_TOWER decision 4: 봉합 = patching over / containment / closing without true reconciliation. Distinct from 화해 = Reconciliation. Replaces existing EN judgeDesk.axes.reconcile=Reconcile mapping."
axis_principle_pole (NEW — 원칙),Principle,原則,原则,Resolution-axis left pole.
axis_logic_pole (NEW — 논리),Logic,論理,逻辑,Inquiry-axis left pole.
axis_intuition_pole (NEW — 직관),Intuition,直感,直觉,Inquiry-axis right pole.
axis_severity_pole (NEW — 엄격),Strict,厳格,严格,Judgment-axis left pole. KR cleanup: 엄격 (axis pole) vs 엄정 (fragment).
axis_leniency_pole (NEW — 관용),Lenient,寛容,宽容,Judgment-axis right pole.
rarity_common (NEW — 일반),Common,コモン,普通,Title rarity tier 1.
rarity_rare (NEW — 희귀),Rare,レア,稀有,
rarity_epic (NEW — 영웅),Epic,エピック,史诗,KR 영웅 literal but Epic = gaming convention.
rarity_legendary (NEW — 전설),Legendary,レジェンダリー,传说,
relationship_spouse (NEW — 부부),Spouse,夫婦,夫妻,Session category.
relationship_family (NEW — 가족),Family,家族,家庭,
relationship_friend (NEW — 친구),Friend,友人,朋友,
relationship_neighbor (NEW — 이웃),Neighbor,隣人,邻居,
relationship_partnership (NEW — 동업),Business Partner,共同事業,合伙,
relationship_workplace (NEW — 직장),Workplace,職場,职场,
relationship_tenant_landlord (NEW — 세입자-집주인),Tenant–Landlord,賃借人・家主,租户·房东,
relationship_online (NEW — 온라인),Online,オンライン,网络,
relationship_medical_education (NEW — 의료·교육),Medical / Education,医療・教育,医疗·教育,
relationship_public_system (NEW — 공공·제도),Public / Civic,公共・制度,公共·制度,
hotbar.slot.fact compact (EN only),Facts,—,—,EN compact alias for narrow buckets.
hotbar.slot.motive compact (EN only),Motive,—,—,
hotbar.slot.empathy compact (EN only),Empathy,—,—,
hotbar.slot.free compact (EN only),Free Q,—,—,
hotbar.slot.evidence compact (EN only),Evidence,—,—,
hotbar.slot.witness compact (EN only),Witness,—,—,
hotbar.special.separation compact (EN only),Separate,—,—,
hotbar.special.confidential compact (EN only),Confidential,—,—,
hotbar.special.immediate compact (EN only),Immediate,—,—,
testConsole resource compact (EN only),Token / Skill / Court,—,—,Test console resource head shortened.
result.tab.* numeric prefix,01 prefix dropped (Result/Verdict/Epilogue/Bonus),01 prefix dropped (結果/判決/後日談/ボーナス),01 prefix dropped (结果/判决/后日谈/奖励),KO retains; non-KO drops.
verdict.step.* numeric prefix,01 prefix dropped (Disputes/Responsibility/Solution/Verdict),01 prefix dropped (争点判断/責任配分/解決案/判決文),01 prefix dropped (争点判断/责任分配/解决方案/判决文),Same as result tabs.
home.gameTitle (uses brand_full_title),Verdict Zero: Trial of Truth,ソロモンのジレンマ：真実の裁き,真相裁决：零点审判,"PROJECT_CONTROL_TOWER decision 2026-05-06. Replaces all earlier proposals."
splash.title (may use brand_title only),Verdict Zero,ソロモンのジレンマ,真相裁决,"Splash may render brand_title alone with brand_subtitle styled below."
splash.subtitle (may use brand_subtitle only),Trial of Truth,真実の裁き,零点审判,"Splash subtitle styled separately."
settings.about.credits (uses brand_full_title),Verdict Zero: Trial of Truth — A replayable mystery game…,ソロモンのジレンマ：真実の裁き ─ AI同士の対立を…,真相裁决：零点审判 — 以人类智慧裁决两个 AI 之争…,"Drop ad-hoc 솔로몬 법정 / Solomon Court — use brand_full_title."
eyebrow uppercase (locale rule),Keep uppercase + letter-spacing on EN ONLY,Strip uppercase + letter-spacing on JA,Strip uppercase + letter-spacing on zh-CN,"PROJECT_CONTROL_TOWER decision 5 confirmed. Global letter-spacing should remain 0 for non-EN unless explicitly justified."
