priority,locale,key_or_source,issue,recommendation
P0,en,hotbar slot label overflow,"Thread-01 P0 + Thread-04 P0-2. KO 4-char `사실 추궁 / 동기 탐색 / ...` fits 62px slot. EN canonical `Fact Pursuit / Motive Search / Empathy Approach / Free Question / Present Evidence / Call Witness` cannot single-line, no clamp/ellipsis fallback in current CSS.","Apply Thread-04 P0-2 CSS (2-line clamp, min-height 62px). Add EN compact aliases via t() keys: hotbar.slot.fact.compact=Facts / hotbar.slot.motive.compact=Motive / hotbar.slot.empathy.compact=Empathy / hotbar.slot.free.compact=Free Q / hotbar.slot.evidence.compact=Evidence / hotbar.slot.witness.compact=Witness. Use compact form when [data-screen-bucket=sm or xs]. JA / zh-CN do not need this."
P0,en,hotbar special-btn label overflow,"Thread-01 P0 + Thread-04 P0-1. KO 4-char `분리 심문 / 비공개 보호 / 즉답 요구` fits 92→58px max-width. EN `Separate Interrogation / Confidential Protection / Demand Answer` clip to 1-2 chars below 1320px.","Apply Thread-04 P0-1 (≥1320px max-width 120px; <1320px collapse inner span and rely on icon + kbd + title). EN compact aliases: hotbar.special.separation.compact=Separate / .confidential.compact=Confidential / .immediate.compact=Immediate. Match JA short forms (個別/守秘/即答 — verify with JA team) and zh-CN (分别/保密/即答)."
P0,en,combination kindLabel inline tags,"Thread-01 P0: 5 combination feed kind tags (Evidence Strengthened / Dispute Strengthened / Evidence Reframed / Dispute Reframed / Reliability Raised) wrap to 2 lines while KO is 4-5 chars.","Compress: combination.kindLabel.upgradeEvidence = Evidence ↑ / .upgradeDispute = Dispute ↑ / .reframeEvidence = Evidence reframed / .reframeDispute = Dispute reframed / .elevateReliability = Reliability ↑. Or move verb out of tag into sub-line."
P0,all,clearance disambiguation (RESOLVED 2026-05-06),"PROJECT_CONTROL_TOWER decision 1 confirmed: split. permission_level (renamed from clearance) = permission/security/unlock concept. clearance_rate = completion % / 클리어율. EN UI prefers Completion Rate (compact: Completion).","Apply rename + add new clearance_rate row. EN result.donut.clearance switches to Completion Rate. JA → 達成度. zh-CN → 完成度 (already correct in Thread-03)."
P1,en,dossier retirement (RESOLVED 2026-05-06),"PROJECT_CONTROL_TOWER decision 3 confirmed: dossier deprecated for user-facing UI. Engine-internal naming kept for legacy code only. UI surfaces use surface-specific terms.","Mark glossary dossier row status=deprecated. Use surface-specific replacements: decisive_question (combo unlock), case_file (case-detail screens), records (compact panel toggle), notes (note-style surfaces). Add 4 new rows."
P1,all,interrogation_phase glossary value `Interrogation Phase` does not match UI,"Thread-01 EN delta drops `Phase` suffix. JA `尋問` (no フェーズ) clean. zh-CN `讯问` (no 阶段) clean. All three locales render the noun-only form for the phase pill.","Update glossary interrogation_phase value across all 4 locales: drop `Phase / フェーズ / 阶段` suffix when used as a phase pill. Same pattern likely applies to briefing_phase / pretrial_phase / mediation_phase / verdict_phase / result_phase — all phase pills strip the suffix in UI usage. Add a usage note to glossary."
P1,en,pretrial_phase EN rename (RESOLVED 2026-05-06),"PROJECT_CONTROL_TOWER decision 9 confirmed: Pretrial Phase → Opening Statements.","Apply glossary patch."
P1,en,re_examination_phase EN rename (RESOLVED 2026-05-06),"PROJECT_CONTROL_TOWER decision 10 confirmed: Re-examination Phase → Final Interrogation.","Apply glossary patch."
P1,en,contradiction_pursuit verb-form variation,"glossary contradiction_pursuit=Contradiction Pursuit (noun). UI emits `Press the Contradiction` (verb imperative) for action button. Thread-01 medium-confidence delta. Different from JA (verb 突く / 追及 used dynamically).","Keep glossary noun form. Add a usage note: button labels may use verb imperative (`Press the Contradiction`) — translator decides per context. Do not change glossary value."
P1,ja,solution = 解決案 vs 解決策 (UI proposal),"Thread-02 medium-confidence delta. glossary draft 解決案 (formal/legal proposal). UI renders 解決策 (more natural for game UI choice copy). KR 해결안 = 解決案 literally.","Update glossary solution JA value: 解決案 → 解決策. Add note that 解決案 may still be used in formal verdict text. KR/EN/zh-CN unchanged."
P1,zh-CN,investigation_token = 调查代币 (token) vs 调查点数 (points),"Thread-03 medium-confidence delta + Thread-03 native flag: 代币 reads like crypto/casino token in modern CN. 调查点数 reads as natural game UI resource. requires_user_decision=true.","Update glossary investigation_token zh-CN value: 调查代币 → 调查点数. Confidence medium. Native CN reviewer should confirm before merge. Affects token.investigation.title + tactical.special.separationMeta + testConsole.investigationTokens."
P1,zh-CN,trust = 信任度 vs 信任 (base term),"Thread-03 medium-confidence delta. glossary 信任度 is the compound 'trust meter'. All in-UI surfaces use base 信任 (信任顺序 / 信任恢复). requires_user_decision=true.","Update glossary trust zh-CN value: 信任度 → 信任. 信任度 keeps as longer descriptive form for tooltip-only contexts. Affects target.profile.trust / target.drawer.trustTitle / etc."
P1,ko,trait 특성 vs 성향 KR duplication,"glossary trait=특성. UI renders 성향 in JA (傾向) + zh-CN (倾向). zh-CN audit marks `trait` glossary unused because UI uses 성향 not 특성.","KR-side cleanup: pick one. If 성향 is canonical for the axis-trait UI concept, update glossary trait KR field 특성 → 성향. JA 特性 → 傾向 (matches Thread-02 audit note). zh-CN stays 倾向. EN stays Trait (translates either KR word). Trait perk-descriptor uses (PCJudgeProgressionShared) keep 특성 / 特性 / 特性 — different concept."
P1,ko,엄격 ↔ 엄정 KR axis-pole duplication,"Thread-03 P2 + IMPLEMENTATION_NOTES §8: PCHomeScreen verdict-axis pole uses 엄격, PCJudgeProgressionShared trait uses 엄정. Same conceptual axis, two KR words. zh-CN folds both to 严正. JA renders 厳格 / 厳正 separately.","KR-side cleanup: pick 엄격 OR 엄정 across all surfaces. Recommend 엄격 (more game-UI tone, less legalistic). Update glossary entries that depend on this if any."
P1,ko,심판 축 ↔ 판결(균형) KR axis-name duplication,"Thread-03 P2: PCTraitEnhancePanel uses 심판 축 vs PCHomeScreen uses 판결(균형). Same axis, two KR phrases.","KR-side cleanup: pick 판결 균형 or 심판 축. Recommend 판결 균형 (matches existing axis pattern). Apply across PCTraitEnhancePanel."
P0,all,봉합 vs 화해 disambiguation (RESOLVED 2026-05-06 + EN axis label correction),"PROJECT_CONTROL_TOWER decision 4 confirmed: 봉합 = patching over / containment / closing without true reconciliation. 화해 = reconciliation / restored relationship. Distinct concepts. CRITICAL — existing EN UI label `judgeDesk.axes.reconcile = Reconcile` was the EN translation for 봉합, conflicting with 화해 = Reconciliation. Both names cannot coexist.","Add 2 separate glossary rows: axis_resolution_pole (봉합/Closure/収拾/弥合) + fragment_reconciliation existing (화해/Reconciliation/和解/和解). Update existing EN UI mapping `judgeDesk.axes.reconcile` from `Reconcile` → `Closure`. Same for JA / zh-CN. EN/JA/zh-CN axis-pole final translations require linguistic verification (requires_user_decision=true)."
P1,en,advance banner sentence repeats verb,"Thread-01 P1 + Thread-04 P1-5: `You can {label}` interpolated with `Advance to Verdict` repeats the advance verb. KR `XX할 수 있습니다` is short; EN combined exceeds 1280px row.","Refactor to t()-driven shorter form per Thread-04 P1-5. Add keys phase.advance.ready (Ready) + phase.advance.label.toVerdict / .toReexam / .next. Apply to PCBottomDock.tsx:281-285."
P1,all,judge_title KO rename (RESOLVED 2026-05-06),"PROJECT_CONTROL_TOWER decision 6 confirmed: KO source 타이틀 → 칭호 rename across all judge-progression surfaces.","Apply KO source rename. Add NEW glossary row judge_title (칭호/Title/称号/称号)."
P1,all,judge_fragment heavily used but not in glossary,"Thread-02: KR uses 판결 조각 across PCJudgeProgressionPanel + PCFragmentRewardOverlay + 9 fragment types. Thread-01 added new-coverage fragment_* entries (9 types). Not in glossary.","Add NEW glossary row judge_fragment. KO=판결 조각 / EN=Verdict Fragment / JA=判決の欠片 / zh-CN=判决碎片. Plus 9 sub-rows fragment_reasoning / .inquiry / .empathy / .severity / .deliberation / .leniency / .jurisprudence / .balance / .reconciliation. Cross-fill JA / zh-CN."
P1,all,emotion phase + lie state labels,"Thread-01 added new-coverage emotion_phase (5 states) + lie_state (S0–S5). Used in PCBottomDock + PCDialogueLog + PCVerdictScreen. Not in glossary.","Add NEW glossary rows: emotion_phase (KO=defensive/confident/shaken/angry/resigned, separate per-state rows or composite) and lie_state (S0–S5). Verify zh-CN 体念 → 放弃 (Thread-03 P2) is acceptable. JA emotion labels need fill (Thread-02 audit shows pc.emotion.* used but values not yet captured in audit)."
P1,all,relationship category labels (10 types),"Thread-01 new-coverage: 10 relationship types (spouse/family/friend/neighbor/partnership/workplace/tenantLandlord/headline/online/medical_education/public_system). Used in session category cards. Not in glossary.","Add 10 NEW glossary rows. Cross-fill JA / zh-CN. Some are case-content adjacent — verify with disclosure-policy that relationship labels are surface-safe."
P1,all,rarity labels,"Thread-01 new-coverage: rarity_common (일반/Common/-/-) / rarity_rare (희귀/Rare) / rarity_epic (영웅/Epic — KR literal `영웅` = hero, gaming convention prefers 史诗) / rarity_legendary (전설/Legendary). Thread-03 P2 confirmed CN convention 史诗.","Add 4 NEW glossary rows. EN=Common/Rare/Epic/Legendary / JA=コモン/レア/エピック/レジェンダリー (or 一般/希少/英雄/伝説 — verify) / zh-CN=普通/稀有/史诗/传说. Note KR 영웅 literal but Epic is gaming convention."
P1,zh-CN,objection register split (RESOLVED 2026-05-06),"PROJECT_CONTROL_TOWER decision 7 confirmed: UI noun = 异议, in-character spoken bark = 反对！. NOT 我提出异议 for compact UI.","Add 2 distinct glossary rows: objection (UI noun across 4 locales) + objection_bark (in-character speech across 4 locales). Wire as separate keys: pc.actions.objection.button (uses objection) + pc.actions.objection.dialogue (uses objection_bark)."
P1,en,solution category labels need design sign-off,"Thread-01 §9: 14 entries in verdict.solutionCategory.* are gameplay solution buckets (공동재산회복 / 신뢰순서분리 / etc.). Translations proposed but flagged do-not-auto-apply.","Out of scope for Thread-05. Hand off to design/QA for sign-off before EN integration. Block JA + zh-CN solution-category translation until EN signs off so all locales translate the same canonical English values."
P1,all,scripted system messages straddle UI/dialogue boundary,"Thread-01 §8 + Thread-02 §4: 이의 있습니다 / 즉답을 요구합니다 / pc.combo.summary.* / pc.dialogue.contradiction.body / pc.actions.system.shaken flow into dialogueLog channel via setDialogue/addDialogue.","Decide: route through UI thread (Thread-02 says yes with check:policy verification) or dialogue thread (Thread-01 says out of scope). Recommend route through UI thread for static flavor strings, dialogue thread for case-content-aware variants. Run npm run check:policy after JA / zh-CN apply."
P1,en,en JA zh-CN messages.ts split,"All 3 translation threads + Thread-04 implicit recommend splitting messages.ts into namespace files before adding 500+ keys. Thread-02 §3 specifies the namespace split.","Implement Thread-02 §3 split as PR-1 before any locale value PRs. Required for IDE autocomplete + MessageKey union evaluation health."
P2,en,party_a / party_b plural form `Party A / Party B`,"Thread-01 audit: used 3× each. JA 当事者A / zh-CN A 方. style guide says neutral labels.","No change needed. Glossary already aligned. Confirm with native review."
P2,all,perk = パーク (loanword) vs 特性 (Chinese-character form),"Thread-02 audit: JA team considered alternative 特性 but reverted to glossary パーク. zh-CN: 特性 (matches glossary). Different per locale by design.","No change. Document JA decision in glossary notes: パーク is preferred for game-UI register; 特性 reserved for 특성 trait concept."
P2,en,trust state labels (Trusting / Cautious / Suspicious),"Thread-01 new-coverage: 3 derived state labels for trust meter. Not in glossary. JA / zh-CN audits do not surface these (lower coverage).","Add 3 glossary rows: trust_state_high / trust_state_mid / trust_state_low. EN=Trusting/Cautious/Suspicious / JA=信頼/警戒/疑念 (proposed) / zh-CN=信任/警觉/怀疑 (proposed). Cross-locale fill needed."
P2,zh-CN,체념 emotion meter (RESOLVED 2026-05-06),"PROJECT_CONTROL_TOWER decision 8 confirmed: zh-CN uses 认命 (fatalistic acceptance) NOT 放弃 (give up). 默许 (tacit permission) only when source means looking the other way — does not apply here.","Update emotion_resigned zh-CN value to 认命. Earlier 放弃 proposal rejected."
P2,ja,봉합 axis right pole = 修復 / 融和 / 仲裁,"Thread-02 open question: 봉합 (resolution axis right pole). zh-CN renders 调和.","Cross-locale alignment: zh-CN 调和 + EN Reconcile. Recommend JA 調和 (matches zh-CN, natural game-UI). 修復 too literal (repair). 融和 too soft. 仲裁 = mediation (different concept). Document in JA style guide note."
P1,all,eyebrow uppercase English-only (RESOLVED 2026-05-06),"PROJECT_CONTROL_TOWER decision 5 confirmed: keep uppercase + letter-spacing on EN ONLY. Strip on ko / ja / zh-CN. Global letter-spacing remains 0 unless explicitly justified.","Apply Thread-04 P2-1 CSS targeting :not([lang^=en]). Update Thread-04 LOCALE_SPECIFIC_RULES.md ja and zh-CN sections to mandate strip (not optional). EN keeps existing eyebrow treatment."
P2,en,test console resource head label overflow,"Thread-04 P2-3: PCTestConsole `Investigation Token / Skill Point / Court Control` won't fit 1fr after 3 buttons.","Apply EN compact aliases (Token / Skill / Court) plus the inline ellipsis style from Thread-04 P2-3."
P2,all,token.recovery labels not in glossary,"Thread-01 audit: token.recovery.invest.label=Reorganize Records / .skill.label=Compress Disputes / .court.label=Call Order. Verb labels not glossary-tracked.","No glossary action. Confirm cross-locale renderings during native review. JA / zh-CN audits do not yet capture these."
P2,all,evidenceType.fileFallback = Evidence File / Document fallback variants,"Thread-01: 22 evidence type labels. Most consistent. evidenceType.financialRecord and evidenceType.bank both = Finance.","No action. Acceptable conflation. Document in glossary if a new evidence_type entry is added later."
P2,zh-CN,messages.ts dev hardcoded 솔로몬의 딜레마 in PCApp.tsx:132,"Thread-03 §5: Hardcoded splash literal not yet wired through t().","Codex: replace with t('splash.title') once the new key lands. EN/JA/zh-CN values then follow from home_brand glossary entry."
