row_id,source_ko,target_text,category,issue_dim,severity,option_a,option_b,recommendation,confidence,notes
spouse-01-jq-024-v1,"오피스텔 출입과 새벽 통화, 차 안 영수증이 모두 본인 쪽에서 비롯된 일이라는 점은 맞습니까. 그 가운데 외도와 무관하다고 보는 근거를 시간순으로 정리해 주십시오.",Please separate what you personally did from what you only learned afterward or do not remember.,judge_question_script,D2,P1,"Do you agree that the Officetel entries, early-morning calls, and receipts in the car all came from your side? Please lay out, in order, why you say they were unrelated to an affair.","First confirm whether the Officetel visits, early-morning calls, and car receipts were your actions, then explain chronologically why they were not about an affair.",a,0.93,judgeQuestions[24].variants[1].text; generic template loses the core affair-denial question.
spouse-01-jq-048-v1,공동 적금 계좌와 개인 계좌가 따로 있었다면 두 계좌의 잔액 변동을 각각 시간순으로 답해 주십시오.,Please separate what you personally did from what you only learned afterward or do not remember.,judge_question_script,D2,P1,"If the joint savings account and the personal account were separate, please explain the balance changes in each account in chronological order.","Please lay out, separately and in order, how the balances changed in the joint savings account and the personal account.",a,0.94,judgeQuestions[48].variants[1].text; account-balance timeline is replaced by an unrelated generic prompt.
spouse-01-jq-066-v1,"해지 신청, 서류 제출, 수령 계좌, 송금 가운데 본인이 직접 처리한 단계와 다른 사람에게 맡긴 단계를 시간순으로 정리해 주십시오.",Please separate the parts you directly confirmed from the parts that remained inference.,judge_question_script,D2,P1,"Please lay out, in order, which steps you handled yourself and which you left to someone else: the cancellation request, document submission, receiving account, and transfer.","For the cancellation request, submitted documents, receiving account, and transfer, separate what you did yourself from what someone else handled.",a,0.94,judgeQuestions[66].variants[1].text; procedural steps and agency distinction are lost.
spouse-01-jq-115-v0,"이준호 씨, 4개월 전 현금 출금 시점과 박지연 씨의 적금 해지·송금 시점을 본인이 아는 한 시간순으로 답해 주십시오.","Mr. Lee Jun-ho, please state the facts about your cash withdrawal four months ago and the silence that followed in chronological order.",judge_question_script,D2,P1,"Mr. Lee Jun-ho, as far as you know, please state in chronological order the timing of your cash withdrawal four months ago and Ms. Park Ji-yeon's savings cancellation and transfer.","Mr. Lee Jun-ho, please line up the timing of your cash withdrawal four months ago with Ms. Park Ji-yeon's cancellation and transfer of the savings account.",a,0.91,judgeQuestions[115].variants[0].text; EN omits Park Ji-yeon’s cancellation/transfer and adds silence.
spouse-01-jq-126-v0,"박지연 씨, 계좌 확인, 위임 서류 처리, 송금, 손실까지 네 단계로 나누어 본인이 한 일을 시간순으로 답해 주십시오.","Ms. Park Ji-yeon, please answer first when and through which material you confirmed separating your own responsibility from comparison.",judge_question_script,D2,P1,"Ms. Park Ji-yeon, please divide what you did into four steps-account checking, handling the authorization documents, the transfer, and the loss-and explain them in chronological order.","Ms. Park Ji-yeon, please state, in order, your own actions in the account check, authorization paperwork, transfer, and resulting loss.",b,0.97,judgeQuestions[126].variants[0].text; EN is semantically broken and drops all four required steps.
spouse-01-jq-127-v0,"이준호 씨, 침묵이 시작된 시점, 박지연 씨의 계좌 확인을 알게 된 시점, 본인이 현금을 움직인 시점, 박지연 씨가 적금을 움직인 시점을 각각 한 줄씩 시간순으로 답해 주십시오.","Mr. Lee Jun-ho, please state the facts about separating your own responsibility from comparison in chronological order.",judge_question_script,D2,P1,"Mr. Lee Jun-ho, please answer in chronological order, one line each: when your silence began, when you learned Ms. Park was checking the account, when you moved the cash, and when Ms. Park moved the savings.","Mr. Lee Jun-ho, line up four points: the start of your silence, your awareness of Ms. Park's account checking, your cash movement, and Ms. Park's savings movement.",a,0.97,judgeQuestions[127].variants[0].text; EN generic/nonsensical template loses the requested four-point chronology.
spouse-01-jq-106-v4,"박지연 씨, 침묵의 선후를 지금 결론짓자는 뜻은 아닙니다. 상대 침묵을 본인이 처음 알아챈 한 시점만이라도 다시 짚어 주실 수 있겠습니까.","Ms. Park Ji-yeon, this is not meant to settle the order of silence now. Could you revisit even one moment when you first noticed the other side's silence?",judge_question_script,D1,P2,"Ms. Park Ji-yeon, I am not asking you to decide who stayed silent first. Could you revisit just one moment when you first noticed the other side was holding something back?","Ms. Park Ji-yeon, this is not about settling who was silent first. Please return to one moment when you first sensed the other side's silence.",a,0.84,"judgeQuestions[106].variants[4].text; ""order of silence"" is a literal noun phrase flagged by V01."
spouse-01-st-jq-036-v1,"박지연 씨, 계좌를 먼저 확인하기 시작한 시점과 공동 적금을 해지한 시점을 구분해 말씀해 주십시오.","Ms. Park, please separate what you saw, did, and assumed, and set out the chronology of the order of concealment, monitoring, execution, and manipulation.",non_party_scripted_text,D2,P1,"Ms. Park, please separate when you first began checking the account from when you cancelled the joint savings account.","Ms. Park, tell us separately when you began looking at the account and when the joint savings account was cancelled.",a,0.95,channels.judge_question.entries[36].variants[1].text; generic template replaces the specific two-timepoint question.
spouse-01-st-contradiction-010-v1,"박지연 씨, 먼저 배신당했다는 감정이 해지 절차 문제의 책임을 없애지는 못합니다. 왜 두 문제를 하나로 묶으셨습니까.","Ms. Park, your statements on the order of concealment, monitoring, execution, and manipulation no longer line up. Separate the missing facts from the interpretation and answer plainly.",non_party_scripted_text,D2,P1,"Ms. Park, feeling betrayed first does not remove your responsibility for the cancellation procedure. Why did you treat those two issues as one?","Ms. Park, being hurt first does not erase the issue with the cancellation process. Explain why you combined the two.",a,0.95,channels.judge_contradiction.entries[10].variants[1].text; EN loses betrayal/procedure-responsibility contrast.
spouse-01-st-evidence-present-063-v0,제가 확인한 건 맞습니다. 같은 주소가 반복돼서 외도 동선으로 봤습니다.,"Your Honor, the dashcam GPS led to the same studio apartment address again and again. I admit my reading may have been colored by fear, but the records themselves are not made up. The act in the record was on my husband's side, not mine.",non_party_scripted_text,D2,P1,"I did check it myself. The same Officetel address kept repeating, so I read it as an affair route.","Yes, I verified it. Because the same Officetel address appeared repeatedly, I understood it as the route of an affair.",a,0.92,channels.evidence_present.entries[63].variants[0].text; EN adds defensive claims not in KO and uses studio apartment.
spouse-01-st-trust-action-002-v0,네. 혼자 말씀드리면 더 피하지 않겠습니다. 저는 동선만 본 게 아니라 돈 움직임까지 붙들고 있었습니다.,"Now that we are alone, Your Honor — I admit I was the one who moved money first, even before the truth was clear. Even in this protected setting, I am putting this on record as truth.",non_party_scripted_text,D2,P1,"Yes. If I am speaking to you alone, I will stop avoiding it. I was not only tracking his route; I was also holding on to the movement of money.","Yes. Since this is private, I will not dodge it: I was watching not just the route but the money movement as well.",a,0.9,channels.trust_action.entries[2].variants[0].text; EN overstates a confession of first money movement that KO does not directly make.
spouse-01-st-jec-001-v1,"이준호 씨, 차가 간 곳과 문자 속 그 개인적인 일정이 같은 생활권을 가리킵니다. 그곳에 있던 사람을 더 미룰 수 없습니다.","Mr. Lee, the submitted evidence narrow the issue to the hidden family circumstances behind the Officetel visits and calls. Please explain the point clearly.",non_party_scripted_text,D1,P2,"Mr. Lee, where the car went and the personal schedule in the text point to the same area of daily life. You can no longer put off saying who was there.","Mr. Lee, the car route and the personal schedule in the text point to the same place. Please explain who was there.",a,0.87,channels.judge_evidence_combo.entries[1].variants[1].text; subject-verb agreement error plus generic phrasing.
spouse-01-witness-w3-full-v0,"투자방 링크는 제가 보냈습니다. 사기인 줄 몰랐지만, 지연 씨를 그 방으로 보낸 건 저입니다.","I sent the investment chat link. I did not know it was a scam, but I was the one who sent Ji-yeon into that room.",witness_testimony,D1,P2,"I sent the investment chat link. I did not know it was a scam, but I was the one who led Ji-yeon to that chat room.","I sent the link to the investment chat. I did not know it was a scam, but I was the one who got Ji-yeon into that room.",a,0.82,"channels.witness.entries[8].variants[0].text; ""sent Ji-yeon into that room"" is unnatural in witness testimony."
