row_id,source_ko,target_text,category,issue_dim,severity,option_a,option_b,recommendation,confidence,notes,selected_option,applied_text,status,apply_method,resolved_targets,already_count,target_occurrences_exact,applied_files
family-01-rapport-a-low_to_mid-v2,처음엔 제 말이 끊길까 봐 더 세게 말했습니다. 이제는 조금 낮춰 말할 수 있을 것 같습니다.,比起最初，比起最初对裁判官说话，现在我没那么硬了。还远没把握把整件事讲清，但开始能开口。但我还没有把握把一切讲完。,non_party_scripted_text,D2,P1,一开始我怕自己的话被打断，所以说得更强硬。现在我想我可以稍微放低一些来说。,刚开始我怕话被截断，才说得那么重。现在应该能放缓一点说。,a,0.9,Repeated 比起最初 and added content not in KO; rapport variant meaning is not preserved.,a,一开始我怕自己的话被打断，所以说得更强硬。现在我想我可以稍微放低一些来说。,applied,source_path,1,1,0,src/data/scriptedText/family-01.zh-CN.json
family-01-contradict-a-1-v2,앞서 말한 것과 지금 말이 달라 보일 수 있습니다. 제 분노가 먼저 나간 탓도 있습니다.,我承认话有摇摆。我承认话有摇摆。但我并不是想把弟弟做的部分一起含糊掉。但我不打算再绕开。,non_party_scripted_text,D2,P1,我前面说的话和现在的话可能看起来不一样。也有我先被愤怒推着说出口的原因。,我知道前后说法可能显得不一致，其中也有愤怒先冲出去的缘故。,a,0.9,Target duplicates first sentence and changes the self-blame nuance into a generic non-evasion line.,a,我前面说的话和现在的话可能看起来不一样。也有我先被愤怒推着说出口的原因。,applied,source_path,1,1,5,src/data/scriptedText/family-01.zh-CN.json
family-01-phase1-dialogue-11,"알겠습니다. 그래도 재판관님, 말년의 어머니가 저 비율을 스스로 정했다는 말은 저는 도저히 받아들이기 어렵습니다.",好。但裁判官——母亲晚年的人，自己定下那个比例？我实在难以接受。,non_party_scripted_text,D1,P1,我明白。可是法官，我实在很难接受晚年的母亲是自己定下那个比例的说法。,我知道了。但法官，要说晚年的母亲亲自决定了那个比例，我实在无法接受。,a,0.96,母亲晚年的人 is ungrammatical and changes the predicate structure.,a,我明白。可是法官，我实在很难接受晚年的母亲是自己定下那个比例的说法。,applied,source_path,1,1,0,src/data/dialogues/phase1/family-01.zh-CN.json
family-01-judgeq-d-1-fact-pursuit-a-general-v3,동생은 어머니가 유서 내용을 이해하고 뜻을 표시하셨다고 진술합니다. 본인이 같은 시기에 본 어머니 모습과 어긋나는 부분이 있다면 사실관계 중심으로 짚어 주십시오.,弟弟陈述称母亲理解了遗嘱内容并表达了意愿。如果这与您同一时期看到的母亲状态有不一致之处，请以事实关系为中心指出。,judge_question_script,D1,P2,弟弟称母亲理解了遗嘱内容并表达了意愿。如果这与您同期看到的母亲状态不一致，请围绕事实指出差异。,弟弟说母亲理解遗嘱内容并表达了意愿。若与您当时看到的状态不符，请只就事实说明差异。,a,0.82,以事实关系为中心指出 is translationese; meaning recoverable.,a,弟弟称母亲理解了遗嘱内容并表达了意愿。如果这与您同期看到的母亲状态不一致，请围绕事实指出差异。,applied,source_path,1,1,0,src/data/scriptedAngles/family-01_judge_questions.zh-CN.json
family-01-judgeq-d-1-fact-pursuit-a-general-v4,공증된 서류에 남은 절차와 본인이 기억하는 어머니 상태가 어디에서 갈리는지 기록 쪽과 본인 기억 쪽을 따로 정리해 주십시오.,请分别从记录一方和您记忆一方，整理公证文件中留下的程序与您记忆中的母亲状态在哪里出现分歧。,judge_question_script,D1,P2,请分别根据记录和您自己的记忆，说明公证文件里的程序与您记得的母亲状态在哪些地方不一致。,请把公证文件中留下的程序和您记忆中的母亲状态分开整理，说明两者在哪里不同。,a,0.86,记录一方/记忆一方 is Korean-style phrasing in zh-CN.,a,请分别根据记录和您自己的记忆，说明公证文件里的程序与您记得的母亲状态在哪些地方不一致。,applied,source_path,1,1,0,src/data/scriptedAngles/family-01_judge_questions.zh-CN.json
family-01-judgeq-d-1-fact-pursuit-a-mother-intent-v4,"의무기록과 본인이 기억하는 어머니 모습이 다른 부분이 있다면, 기록 쪽과 본인 기억 쪽을 따로 답해 주십시오.",如果医疗记录与您记忆中的母亲状态有不同之处，请分别从记录一方和您记忆一方作答。,judge_question_script,D1,P2,如果医疗记录与您记得的母亲状态不一致，请分别按照记录和您的记忆作答。,若病历和您记忆中的母亲状态不同，请把记录显示的内容与您的记忆分开说明。,a,0.86,Same 记录一方/记忆一方 Korean-order issue.,a,如果医疗记录与您记得的母亲状态不一致，请分别按照记录和您的记忆作答。,applied,source_path,1,1,0,src/data/scriptedAngles/family-01_judge_questions.zh-CN.json
family-01-judgeq-d-1-motive-search-b-general-v2,"작성과 공증 일정이 진행되는 동안, 형에게 곧바로 알리지 않고 본인 선에서 정리해 두기로 한 이유가 무엇입니까.",在订立与公证日程推进期间，您为什么没有立即告知哥哥，而是决定先在自己这边整理？,judge_question_script,D1,P2,在订立和公证流程推进期间，您为什么没有立刻告诉哥哥，而是决定先由自己整理好？,办理遗嘱和公证期间，您为什么没有马上告知哥哥，而是先自己处理整理？,a,0.8,在自己这边整理 is understandable but translationese.,a,在订立和公证流程推进期间，您为什么没有立刻告诉哥哥，而是决定先由自己整理好？,applied,source_path,1,1,0,src/data/scriptedAngles/family-01_judge_questions.zh-CN.json
family-01-judgeq-d-1-empathy-approach-a-mother-intent-v5,"윤태성 씨, 어머니가 보이신 뜻과 본인이 그렇게 믿고 싶은 뜻을 분리해 주십시오. 두 가지가 같은 결인지 다른 결인지부터 짚어 주시면 됩니다.",尹泰成先生，请区分母亲表现出的意愿和您希望相信的意愿。先指出两者是同一脉络还是不同脉络即可。,judge_question_script,D1,P2,尹泰成先生，请区分母亲表现出的意愿和您希望相信的意愿。先说明这两者是一致还是不同即可。,尹泰成先生，请把母亲实际表现出的意思和您希望相信的意思分开。先说清两者是否一致即可。,a,0.83,同一脉络/不同脉络 is stiff and abstract for this judge line.,a,尹泰成先生，请区分母亲表现出的意愿和您希望相信的意愿。先说明这两者是一致还是不同即可。,applied,source_path,1,1,0,src/data/scriptedAngles/family-01_judge_questions.zh-CN.json
family-01-judgeq-d-5-motive-search-a-mother-voice-v4,"어머니의 말을 본인이 받아들이지 않은 자리가 있다면, 그 거부의 동기는 무엇입니까.",如果曾有您没有接受母亲话语的位置，请问这种拒绝的动机是什么？,judge_question_script,D1,P2,如果有某个场合您没有接受母亲的话，请说明当时拒绝接受的动机。,如果曾有某一刻您没有接受母亲的意思，请说明您拒绝的原因。,a,0.88,"位置 mistranslates 자리; sounds like physical location, not occasion.",a,如果有某个场合您没有接受母亲的话，请说明当时拒绝接受的动机。,applied,source_path,1,1,0,src/data/scriptedAngles/family-01_judge_questions.zh-CN.json
family-01-phase1-dialogue-22,"재판관님, 제가 어머니를 모시고 산 사람입니다. 식사 챙기고, 병원 모시고 가고, 실수 수습한 것도 다 저였습니다. 그런데 왜 유서에서 제가 40이어야 합니까.",裁判官，是我和母亲住在一起的人。给她做饭、陪她去医院、收拾她的失误——都是我。那为什么遗嘱上我是四？,non_party_scripted_text,D1,P2,法官，是我一直和母亲住在一起。给她做饭、陪她去医院、替她收拾失误的人都是我。可为什么遗嘱里我只有四成？,法官，我才是和母亲一起生活、照顾她的人。做饭、陪她去医院、处理她犯下的错，都是我。为什么遗嘱里我只能是四成？,a,0.84,我是四 is clipped and unnatural; also uses non-glossary 裁判官.,a,法官，是我一直和母亲住在一起。给她做饭、陪她去医院、替她收拾失误的人都是我。可为什么遗嘱里我只有四成？,applied,source_path,1,1,0,src/data/dialogues/phase1/family-01.zh-CN.json
