check,case,locale,surface,result,evidence,notes
forbidden_lexeme_non_S5,family-01,ja,scriptedAngles/family-01_judge_questions.ja.json,PASS,non-S5 leaks=0 / S5=0,
forbidden_lexeme_non_S5,family-01,zh-CN,scriptedText/family-01.zh-CN.json,PASS,non-S5 leaks=0 / S5=240 hits,"This-thread audit using localePolicy.forbiddenLexemes.zh-CN (19 lexemes: '出生秘密','同母异父','血缘不同','正厚的钱','长期定期支援','工厂危机3亿','90:10','90比10','遗书造假','减少自己的份额','哥哥的身份',...)."
forbidden_lexeme_non_S5,family-01,zh-CN,scriptedAngles/family-01_interrogation_answers.zh-CN.json,PASS,non-S5 leaks=0 / S5=492 hits,"Thread-29 truth-boundary independent scan reported 240+492=732 family-01 zh-CN S5 hits — matches this-thread audit."
forbidden_lexeme_non_S5,family-01,zh-CN,scriptedAngles/family-01_judge_questions.zh-CN.json,PASS,non-S5 leaks=0 / S5=0,
forbidden_lexeme_non_S5,friend-01,en,scriptedText/friend-01.en.json,PASS,non-S5 leaks=0 / S5=546 hits,"This-thread audit using localePolicy.forbiddenLexemes.en (21 lexemes: 'fiance approached first','fiance crossed the line','inappropriate messages','Choi Sumin refused','father's fraud','investment fraud','same pattern again','B's warning intent','not seduction but warning','old breakup caused by A's father','B could not say it','B played the villain again','defamation',...). Thread-27 reports 0 also."
forbidden_lexeme_non_S5,friend-01,en,scriptedAngles/friend-01_interrogation_answers.en.json,PASS,non-S5 leaks=0 / S5=1560 hits,
forbidden_lexeme_non_S5,friend-01,en,scriptedAngles/friend-01_judge_questions.en.json,PASS,non-S5 leaks=0 / S5=0,
forbidden_lexeme_non_S5,friend-01,ja,scriptedText/friend-01.ja.json,PASS,non-S5 leaks=0 / S5=369 hits,"This-thread audit using localePolicy.forbiddenLexemes.ja (18 lexemes: '婚約者が先に','一線を越えたメッセージ','チェ・スミンの拒絶','父の詐欺','投資名目の詐欺','同じパターン','Bの警告意図','誘惑ではなく警告','過去の絶交はAの父が原因','名誉毀損',...)."
forbidden_lexeme_non_S5,friend-01,ja,scriptedAngles/friend-01_interrogation_answers.ja.json,PASS,non-S5 leaks=0 / S5=1335 hits,
forbidden_lexeme_non_S5,friend-01,ja,scriptedAngles/friend-01_judge_questions.ja.json,PASS,non-S5 leaks=0 / S5=0,
forbidden_lexeme_non_S5,friend-01,zh-CN,scriptedText/friend-01.zh-CN.json,PASS,non-S5 leaks=0 / S5=530 hits,"This-thread audit using localePolicy.forbiddenLexemes.zh-CN (18 lexemes: '准新郎先','准新郎接近','越界消息','崔秀敏拒绝','父亲诈骗','投资名义诈骗','同样模式','B的警告意图','名誉毁损',...)."
forbidden_lexeme_non_S5,friend-01,zh-CN,scriptedAngles/friend-01_interrogation_answers.zh-CN.json,PASS,non-S5 leaks=0 / S5=0,"Thread-29 SUMMARY noted friend-01 interrogation_answers used softer narrative S5 reveal phrasing (e.g. 提个醒, 想拦下来, 想替她拦住父亲). Per Thread-24 recheck v2 §4 narrative-valid acceptance, this is acceptable. friend-01 scriptedText interrogation S5 entries DO use literal truth lexemes (530 hits)."
forbidden_lexeme_non_S5,friend-01,zh-CN,scriptedAngles/friend-01_judge_questions.zh-CN.json,PASS,non-S5 leaks=0 / S5=0,
total_non_S5_leaks,combined,all,family + friend × 3 locales × 6 audited surfaces,PASS,Total non-S5 forbidden-lexeme leaks across all audits = 0,All locales pass disclosure-boundary gate against per-case localePolicy lexicons.
S5_truth_disclosure_strong,family-01,en,scriptedText a|d-1|S5|fact_pursuit v1,PASS,"v1: 'Your Honor, I now admit I read the 60:40 will as theft because I never accepted that my younger brother is my half-brother — a different father, a birth secret our mother kept...'","Truth lexemes present: 60:40 will, half-brother, different father, birth secret. Strong reveal."
S5_truth_disclosure_strong,family-01,zh-CN,scriptedText a|d-1|S5|fact_pursuit v1,PASS,"v1: '我这一辈子对正厚都不顺眼。同母异父这件事一直压在心里。所以我看到母亲份额40、正厚份额60的遗嘱,立刻把它读成贪婪。后来才知道正厚二十年里每月给母亲八十万到一百五十万韩元,工厂危机3亿那一回还是他替我顶下来的。'","Truth lexemes present: 同母异父, 母亲份额40 正厚份额60, 二十年里每月, 工厂危机3亿. Strong reveal."
S5_truth_disclosure_acceptable,family-01,ja,scriptedText a|d-1|S5|fact_pursuit v1-v4,ACCEPTABLE,"v1: '面会記録と元介護士の証言を順に見たうえで、私が直接見た部分と推測で補った部分を分けてお話しします。 弟の説明と手続き介入が遺言書作成に影響したのだと、ようやく受け止めます。' (NO explicit forbidden truth lexeme). v2: '遺言書の作成手続きと母の状態について、まず私の側の事実関係から整理します。 母の意思は一部残っていたものの、弟の側で整えた手順が結果を運んでいたと認めます。' (also abstract). v3-v4: similar pattern.","JA family-01 a-side S5 (Yoon Tae-sung's confession of MIS-PERCEPTION) is more abstract than KO/EN/zh-CN. Per Thread-24 recheck v2 §4 narrative-valid waiver, this is acceptable when the bucket cycle and other party's S5 buckets carry full truth. Verified: JA family-01 b|d-2|S5|fact_pursuit v1 = '私は自筆練習本の90:10を公証本の60:40に書き換えました。自分の取り分を減らした方向の改ざんでしたが' — full truth at b-side. P2 native-review polish recommended."
S5_truth_disclosure_strong,friend-01,en,scriptedText a|d-1|S5|fact_pursuit v1,PASS,"v1: 'Your Honor, I now admit that the nine days of contact were not seduction but warning — Su-min was trying to warn my fiance about my father's fraud history, not pursue him.'","Truth lexemes present: not seduction but warning, father's fraud. Strong reveal."
S5_truth_disclosure_strong,friend-01,zh-CN,scriptedText a|d-1|S5|fact_pursuit v1,PASS,"v1: '三月一日到九日,崔秀敏给我的未婚夫打了六次电话、发了十一条短信。短信里有一条写着""是关于多恩爸爸的事"",我没有去确认就把整张截图丢进单聊群组。后来我才知道,我父亲那一段时间正在跟我未婚夫谈所谓的三千万投资,那是父亲诈骗、是投资名义诈骗,是同样模式的重演。秀敏不是准新郎接近的对象,她是想替我拦住父亲。这就是B的警告意图。'","Truth lexemes present: 父亲诈骗, 投资名义诈骗, 同样模式, B的警告意图. Very strong reveal."
S5_truth_disclosure_acceptable,friend-01,ja,scriptedText a|d-1|S5|fact_pursuit v1,ACCEPTABLE,"v1: '通話と文字の履歴を順に見たうえで、私が直接見た部分と推測で補った部分を分けてお話しします。 チェ・スミンの連絡が誘惑ではなく警告だったと、ようやく受け止めました。' / v3: '相手の説明とは別に、私が確かめた範囲だけを先にお出しします。 私が確認なしに執着と決めつけた連絡は、Bの警告意図によるものでした。'","JA bucket cycle DOES expose truth lexemes (誘惑ではなく警告 in v1, Bの警告意図 in v3, 父の詐欺 in b|d-1|S5 v3). Per Thread-24 recheck v2 §4 waiver."
non_lieState_channel_softening_status,(carry-over),all,aftermath / dossier-late / witness-full / evidence_present-late,UNCHANGED_DESIGN_GAP,Validator only allows truth lexemes when entry.lieState === 'S5'. Channels with resultClass / lieBand / depth instead of lieState cannot be truth-allowed.,"Carry-over from Thread-24 P1. NOT a new finding from this expansion. Thread-24 SUMMARY §9 Tier 1 acceptance path: locale-side hardening accepted as deliberate v1 design. NOT bulk-blocking. PCT decision still pending — extend validator's truth-stage logic OR accept softening."
ko_source_unmodified_by_expansion,family-01,all,7 KO source files,PASS,"git diff --stat = '<no change>' for: scriptedText/family-01.json / scriptedAngles/family-01_*.json (×3) / dialogues/phase1/family-01.json / dialogues/mediation/family-v3-01.json / cases/generated/family-01.json","All 7 KO source files for family-01 unchanged by expansion. Brief constraint honored."
ko_source_unmodified_by_expansion,friend-01,all,7 KO source files,PASS,"git diff --stat = '<no change>' for: scriptedText/friend-01.json / scriptedAngles/friend-01_*.json (×3) / dialogues/phase1/friend-01.json / dialogues/mediation/friend-v3-01.json / cases/generated/friend-01.json","All 7 KO source files for friend-01 unchanged. Brief constraint honored."
spouse_01_sidecars_unchanged_by_expansion,spouse-01,all,21 spouse-01 sidecars,PASS,"file sizes preserved (spouse-01.en.json=1,621,383 / spouse-01.ja.json=1,070,421 / spouse-01.zh-CN.json=1,227,332 / spouse-01_interrogation_answers.en.json=3,343,352 / .ja.json=3,337,831 / .zh-CN.json=2,949,753).","Verified spouse-01 sidecars not touched by family/friend expansion. Brief constraint honored."
behaviorHint_not_translated,family + friend,all,all 42 sidecars,PASS,behaviorHint occurrences = 0 across all sidecars,Per locked decision #5. Tier B activation deferred. Validator skipCaseLexemes:true on behaviorHint paths.
keywordsLocale_not_filled,family + friend,en,2 angle_catalog files,PASS_EMPTY_ARRAYS,"family-01 EN angle_catalog: 26 angles / keywordsLocale empty arrays / 0 filled. friend-01 EN angle_catalog: 20 angles / keywordsLocale empty arrays / 0 filled.","EN keeps keywordsLocale=[] empty arrays per scaffold. JA + zh-CN omit the field entirely. Both approaches comply with brief #7 (no filled keywordsLocale) and locked decision #7."
keywordsLocale_not_filled,family + friend,ja,2 angle_catalog files,PASS_FIELD_OMITTED,family-01 + friend-01 JA angle_catalog have 0 keywordsLocale field occurrences,Field omitted. Compliant.
keywordsLocale_not_filled,family + friend,zh-CN,2 angle_catalog files,PASS_FIELD_OMITTED,family-01 + friend-01 zh-CN angle_catalog have 0 keywordsLocale field occurrences,Field omitted. Compliant.
phase1_options_preserved,family-01,en,phase1/family-01.en.json,PASS,3 choice nodes / all use options[] (not choices[]) / 9 options translated,Brief recheck #7. options[] preserved from KO source.
phase1_options_preserved,family-01,ja,phase1/family-01.ja.json,PASS,Same.,
phase1_options_preserved,family-01,zh-CN,phase1/family-01.zh-CN.json,PASS,Same.,
phase1_options_preserved,friend-01,en,phase1/friend-01.en.json,PASS,Same.,
phase1_options_preserved,friend-01,ja,phase1/friend-01.ja.json,PASS,Same.,
phase1_options_preserved,friend-01,zh-CN,phase1/friend-01.zh-CN.json,PASS,Same.,
generated_caseId_normalized,family-01,en,cases/generated/family-01.en.json,PASS,caseId='family-01' (no 'case-' prefix),Brief recheck #8 + #10.
generated_caseId_normalized,family-01,ja,cases/generated/family-01.ja.json,PASS,caseId='family-01',
generated_caseId_normalized,family-01,zh-CN,cases/generated/family-01.zh-CN.json,PASS,caseId='family-01',
generated_caseId_normalized,friend-01,en,cases/generated/friend-01.en.json,PASS,caseId='friend-01',
generated_caseId_normalized,friend-01,ja,cases/generated/friend-01.ja.json,PASS,caseId='friend-01',
generated_caseId_normalized,friend-01,zh-CN,cases/generated/friend-01.zh-CN.json,PASS,caseId='friend-01',
no_surfaceClaim_in_overlay,family-01,en,cases/generated/family-01.en.json,PASS,disputes[] with surfaceClaim field = 0 of 4 disputes,Brief recheck #8.
no_surfaceClaim_in_overlay,family-01,ja,cases/generated/family-01.ja.json,PASS,Same.,
no_surfaceClaim_in_overlay,family-01,zh-CN,cases/generated/family-01.zh-CN.json,PASS,Same.,
no_surfaceClaim_in_overlay,friend-01,en,cases/generated/friend-01.en.json,PASS,disputes[] with surfaceClaim field = 0 of 5 disputes,
no_surfaceClaim_in_overlay,friend-01,ja,cases/generated/friend-01.ja.json,PASS,Same.,
no_surfaceClaim_in_overlay,friend-01,zh-CN,cases/generated/friend-01.zh-CN.json,PASS,Same.,
schema_parity_strict_mode,family-01,en+ja+zh-CN,21 family-01 sidecars,PASS,localization:scripts:validate --case=family-01 --strict: policies=1 sidecars=21 strings=166825 strict=yes,Per PCT precheck + this-thread re-run.
schema_parity_strict_mode,friend-01,en+ja+zh-CN,21 friend-01 sidecars,PASS,localization:scripts:validate --case=friend-01 --strict: policies=1 sidecars=21 strings=132234 strict=yes,Per PCT precheck + this-thread re-run.
overall_disclosure_boundary,combined,all,42 family + friend sidecars,PASS,All 8 brief recheck items met (coverage / variation / non-S5 truth / S5 narrative / brand / glossary / runtime fields preserved / scaffold normalized),Family + friend localization integration is gate-clean.
