priority,locale,case,subject,result,evidence,recommendation
P2,(all),family-01,LINE_LENGTH_RISKS — 3 long system_message variants in family-01 EN (>80 chars),DEFERRED,Thread-27 LINE_LENGTH_RISKS.csv reports 3 rows. system_message channel has 30/60-char cap per information-surface-policy.md §6.3.,Per Thread-04 SCRIPT_REVIEW_FINDINGS P1 row: update `information-surface-policy.md` §6.3 to per-locale cap (KO=30/60 / EN=50/90 / JA=30/60 / zh-CN=20/40 CJK). Not bulk-blocking.
P2,zh-CN,friend-01,6 long-line risks in friend-01 scriptedText S5 narrator beats (~210-220 chars),DEFERRED,Thread-29 SUMMARY P2 row 3.,Acceptable per UI compactness rules (these aren't UI labels). Native review may shorten.
INFO,(all),(all),Tier B `behaviorHint` activation deferred,UNCHANGED,Per locked decision #5. validator runs `skipCaseLexemes:true` on behaviorHint paths. Runtime falls back to KO behaviorHint.,Tier B activation plan post-bulk. JA SUMMARY recommendation: decide whether v1 ships with KO behaviorHint fallback (current) or with a behaviorHint-specific lexeme list before flipping the flag.
INFO,(all),(all),`localization:scripts:validate --case=<id>` filter works,VERIFIED,"This-thread re-confirmed: validate-script-locale.cjs accepts `--case=family-01` and `--case=friend-01`. Strict mode scopable to single case. Useful for incremental work.","Already integrated. No action."
INFO,(all),(all),`localization:scripts:validate` integrated into `check:all`,VERIFIED,"Thread-24 P2 verified RESOLVED in recheck v2. This-thread re-confirmed: check:all output shows `script locale validation ok: policies=3, sidecars=63, strings=444,009, locales=en,ja,zh-CN, strict=no`. Family + friend sidecars exercised by gate.","Already integrated. RC strict readiness: extending check:all to use `--strict` mode is one-line change. Recommend doing this for `check:rc`."
INFO,(all),(all),Strict mode pass scoped to all 3 active cases,VERIFIED,"Per-case strict mode: policies=1 sidecars=21 strings=166825 (family-01) / strings=132234 (friend-01). Aggregate strict (all 3 cases): would now be `policies=3 sidecars=63 strings=444009`. PCT precheck reports same.",Strict gating ready for `check:rc` integration.
INFO,(all),(all),build:pc PASS with existing Vite warnings only,VERIFIED,"This-thread re-ran: `✓ built in 6.68s` with Vite warnings: ineffective dynamic import / large chunks / plugin timing. Same pre-existing warnings as PCT precheck.",No new build risk introduced by family/friend expansion.
INFO,(all),(all),~444,009 localized script strings landed across 3 locales × 3 active cases,VERIFIED,"63 sidecars total: 21 spouse-01 + 21 family-01 + 21 friend-01. Coverage: spouse-01 ~13,383 × 3 = ~40,149 + family-01 ~15,533 × 3 = ~46,599 + friend-01 ~12,065 × 3 = ~36,195 + delta = 444,009 per validator string count.",Pilot sidecar localization complete for all 3 active cases.
RECOMMENDED,(all),(all),Mandate Thread-25 sentence-pool pattern continues for any future polish / new case,REQUIRED,"Thread-27 friend-01 EN Fr2 first try documented the failure mode (single Sentence-A anchor + tail rotation). Variation audit caught it. Pattern works only with explicit ≥3 distinct openers per bucket.","Sub-agent prompt mandate going forward (any new locale work / polish / new case): (1) build-script-with-sentence-pool pattern; (2) ≥3 distinct first-N-char openers per ≥6-variant bucket; (3) cycle by `variantIdx % 3`; (4) self-check assertion in build script before write; (5) reuse existing tmp/ build-scripts as starting models."
RECOMMENDED,(all),(all),Codex parameterize audit scripts by --case for reuse,DEFERRED_OPTIONAL,Thread-27 + Thread-28 + Thread-29 all created per-case audit scripts under tmp/. Currently hard-coded paths.,"Codex parameterize tmp/script-localization/en-polish/audit-variation.cjs and audit-truth-boundary.cjs by `--case` flag for any future case sidecar work without copy-paste. Optional Tier 3 polish."
