id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_mid_.variants_judgewit-w-1-mid-v1_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|mid].variants[judgewit-w-1-mid-v1].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_mid_.variants_judgewit-w-1-mid-v1_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|mid].variants[judgewit-w-1-mid-v1].text,오피스텔 경비님 증언이 필요합니다. 두 분의 해석이 갈리는 만큼 출입 빈도와 해당 층 상황을 직접 확인하겠습니다.,"Testimony from the studio-apartment security officer is required. With the two readings divided, we will hear directly the entry frequency and what occurred on the floor in question.",オフィステルの警備員にお越しいただきます。出入りがいつ、どれほど繰り返されたのかから整えて確認します。,"需要公寓保安先生的证言。两位的解读出现分歧,出入频率与该楼层的情况,要由本人直接确认。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_mid_.variants_judgewit-w-1-mid-v2_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|mid].variants[judgewit-w-1-mid-v2].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_mid_.variants_judgewit-w-1-mid-v2_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|mid].variants[judgewit-w-1-mid-v2].text,"오피스텔 경비님을 모시겠습니다. 오피스텔 방문을 외도 정황으로 볼지 다른 사정으로 볼지, 현장 기억을 들어야 합니다.","The court calls the studio-apartment security officer. With the two readings divided, we will hear directly the entry frequency and what occurred on the floor in question.",オフィステルの警備員を証人としてお呼びします。記録の範囲で答えていただけますか。,"从另一面来看,需要公寓保安先生的证言。两位的解读出现分歧,出入频率与该楼层的情况,要由本人直接确认。请将这一段串起来。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_mid_.variants_judgewit-w-1-mid-v3_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|mid].variants[judgewit-w-1-mid-v3].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_mid_.variants_judgewit-w-1-mid-v3_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|mid].variants[judgewit-w-1-mid-v3].text,정황만으로 판단하지 않겠습니다. 오피스텔 경비님께 차량 출입과 거주 현황을 바로 확인하겠습니다.,"I will summon the studio-apartment security officer now. With the two readings divided, we will hear directly the entry frequency and what occurred on the floor in question.",オフィステルの警備員を法廷へお招きします。当時の状況を整えてお話しください。,"换一个角度。需要公寓保安先生的证言。两位的解读出现分歧,出入频率与该楼层的情况,要由本人直接确认。我们需要把这点定准。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_mid_.variants_judgewit-w-1-mid-v4_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|mid].variants[judgewit-w-1-mid-v4].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_mid_.variants_judgewit-w-1-mid-v4_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|mid].variants[judgewit-w-1-mid-v4].text,"오피스텔 경비님, 방문 차량을 본 기억과 그 층의 거주자를 구분해서 말씀해 주셔야 합니다.","The studio-apartment security officer's testimony is needed at this point. With the two readings divided, we will hear directly the entry frequency and what occurred on the floor in question.",オフィステルの警備員にお話を伺います。差し障りのない範囲で結構です。,"让我们再确认一次。需要公寓保安先生的证言。两位的解读出现分歧,出入频率与该楼层的情况,要由本人直接确认。请您再确认一次。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_mid_.variants_judgewit-w-1-mid-v5_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|mid].variants[judgewit-w-1-mid-v5].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_mid_.variants_judgewit-w-1-mid-v5_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|mid].variants[judgewit-w-1-mid-v5].text,오피스텔 경비님을 통해 같은 장소가 반복된 이유를 좁히겠습니다. 더는 추측만으로 둘 수 없습니다.,"Bring the studio-apartment security officer forward. With the two readings divided, we will hear directly the entry frequency and what occurred on the floor in question.",オフィステルの警備員に同席をお願いし、当時の様子を整えて確認します。,"请把焦点放在这里。需要公寓保安先生的证言。两位的解读出现分歧,出入频率与该楼层的情况,要由本人直接确认。这一点必须摆在桌面上。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_soft_.variants_judgewit-w-1-soft-v1_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|soft].variants[judgewit-w-1-soft-v1].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_soft_.variants_judgewit-w-1-soft-v1_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|soft].variants[judgewit-w-1-soft-v1].text,"오피스텔 경비님을 모시겠습니다. 차량 출입이 언제, 얼마나 반복됐는지부터 차분히 확인하겠습니다.","I will summon the studio-apartment security officer. We will confirm, calmly, when and how often vehicle entries were repeated.",オフィステルの警備員にお越しいただきます。出入りがいつ、どれほど繰り返されたのかから整えて確認します。,"请公寓的保安先生上来。先从容确认,车辆出入是何时、有多频繁。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_soft_.variants_judgewit-w-1-soft-v2_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|soft].variants[judgewit-w-1-soft-v2].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_soft_.variants_judgewit-w-1-soft-v2_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|soft].variants[judgewit-w-1-soft-v2].text,오피스텔 경비님께 먼저 묻겠습니다. 해당 층의 거주 현황과 방문 빈도를 기록과 기억으로 맞춰 보겠습니다.,"Let us call the studio-apartment security officer forward. We will confirm, calmly, when and how often vehicle entries were repeated.",オフィステルの警備員を証人としてお呼びします。記録の範囲で答えていただけますか。,"请再讲一次:请公寓的保安先生上来。先从容确认,车辆出入是何时、有多频繁。请将这一段串起来。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_soft_.variants_judgewit-w-1-soft-v3_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|soft].variants[judgewit-w-1-soft-v3].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_soft_.variants_judgewit-w-1-soft-v3_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|soft].variants[judgewit-w-1-soft-v3].text,오피스텔 경비님을 부르겠습니다. 정황 해석보다 실제 출입 장면을 먼저 확인하겠습니다.,"The studio-apartment security officer will be invited to the stand. We will confirm, calmly, when and how often vehicle entries were repeated.",オフィステルの警備員を法廷へお招きします。当時の状況を整えてお話しください。,"请把这一段讲清:请公寓的保安先生上来。先从容确认,车辆出入是何时、有多频繁。我们需要把这点定准。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_soft_.variants_judgewit-w-1-soft-v4_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|soft].variants[judgewit-w-1-soft-v4].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_soft_.variants_judgewit-w-1-soft-v4_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|soft].variants[judgewit-w-1-soft-v4].text,"오피스텔 경비님, 들어와 주십시오. 이준호 씨 차량을 본 시간대와 횟수를 순서대로 듣겠습니다.","I will hear from the studio-apartment security officer directly. We will confirm, calmly, when and how often vehicle entries were repeated.",オフィステルの警備員にお話を伺います。差し障りのない範囲で結構です。,"请按时间顺序复述:请公寓的保安先生上来。先从容确认,车辆出入是何时、有多频繁。请您再确认一次。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_soft_.variants_judgewit-w-1-soft-v5_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|soft].variants[judgewit-w-1-soft-v5].behaviorHint,오피스텔 경비 증언이 차량 출입 빈도와 해당 층 거주 현황에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-1_soft_.variants_judgewit-w-1-soft-v5_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-1|soft].variants[judgewit-w-1-soft-v5].text,"오피스텔 경비님의 기억을 통해 그 층에 누가 살았는지, 방문이 어떤 패턴이었는지 확인하겠습니다.","Please bring the studio-apartment security officer forward. We will confirm, calmly, when and how often vehicle entries were repeated.",オフィステルの警備員に同席をお願いし、当時の様子を整えて確認します。,"请客观地说:请公寓的保安先生上来。先从容确认,车辆出入是何时、有多频繁。这一点必须摆在桌面上。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-2_hard_.variants_judgewit-w-2-hard-v1_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-2|hard].variants[judgewit-w-2-hard-v1].behaviorHint,은행 직원 증언이 위임장 적금 해지 절차와 확인 미흡 가능성에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-2_hard_.variants_judgewit-w-2-hard-v1_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-2|hard].variants[judgewit-w-2-hard-v1].text,은행 직원님을 즉시 모시겠습니다. 해지 서류와 해지 절차를 더 이상 모호하게 둘 수 없습니다.,The bank officer who handled the joint-savings cancellation will be summoned at once. The cancellation paperwork and the procedure cannot remain ambiguous any longer.,銀行員にお越しいただきます。出入りがいつ、どれほど繰り返されたのかから整えて確認します。,"请银行职员先生立刻上来。解约文件和解约程序,不能再含糊处理。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-2_hard_.variants_judgewit-w-2-hard-v2_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-2|hard].variants[judgewit-w-2-hard-v2].behaviorHint,은행 직원 증언이 위임장 적금 해지 절차와 확인 미흡 가능성에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-2_hard_.variants_judgewit-w-2-hard-v2_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-2|hard].variants[judgewit-w-2-hard-v2].text,"은행 직원님, 들어오십시오. 공동 적금 해지 과정에서 어떤 확인이 빠졌는지 바로 답해 주셔야 합니다.",The court summons the bank officer who handled the joint-savings cancellation immediately. The cancellation paperwork and the procedure cannot remain ambiguous any longer.,銀行員を証人としてお呼びします。記録の範囲で答えていただけますか。,"请再讲一次:请银行职员先生立刻上来。解约文件和解约程序,不能再含糊处理。请将这一段串起来。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-2_hard_.variants_judgewit-w-2-hard-v3_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-2|hard].variants[judgewit-w-2-hard-v3].behaviorHint,은행 직원 증언이 위임장 적금 해지 절차와 확인 미흡 가능성에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-2_hard_.variants_judgewit-w-2-hard-v3_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-2|hard].variants[judgewit-w-2-hard-v3].text,은행 직원님의 증언으로 서류 처리 과정을 확정하겠습니다. 해지 서류 진위를 지금 확인해야 합니다.,Bring the bank officer who handled the joint-savings cancellation forward without delay. The cancellation paperwork and the procedure cannot remain ambiguous any longer.,銀行員を法廷へお招きします。当時の状況を整えてお話しください。,"请把这一段讲清:请银行职员先生立刻上来。解约文件和解约程序,不能再含糊处理。我们需要把这点定准。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-2_hard_.variants_judgewit-w-2-hard-v4_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-2|hard].variants[judgewit-w-2-hard-v4].behaviorHint,은행 직원 증언이 위임장 적금 해지 절차와 확인 미흡 가능성에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-2_hard_.variants_judgewit-w-2-hard-v4_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-2|hard].variants[judgewit-w-2-hard-v4].text,은행 직원님을 부르겠습니다. 해지 절차의 빈틈이 이 사건의 핵심입니다.,"The bank officer who handled the joint-savings cancellation, please come forward. The cancellation paperwork and the procedure cannot remain ambiguous any longer.",銀行員にお話を伺います。差し障りのない範囲で結構です。,"请按时间顺序复述:请银行职员先生立刻上来。解约文件和解约程序,不能再含糊处理。请您再确认一次。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-2_hard_.variants_judgewit-w-2-hard-v5_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-2|hard].variants[judgewit-w-2-hard-v5].behaviorHint,은행 직원 증언이 위임장 적금 해지 절차와 확인 미흡 가능성에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-2_hard_.variants_judgewit-w-2-hard-v5_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-2|hard].variants[judgewit-w-2-hard-v5].text,은행 직원님께 바로 묻겠습니다. 이준호 씨 동의가 실제로 확인됐는지 명확히 들어야 합니다.,The bank officer who handled the joint-savings cancellation is called to the stand now. The cancellation paperwork and the procedure cannot remain ambiguous any longer.,銀行員に同席をお願いし、当時の様子を整えて確認します。,"请客观地说:请银行职员先生立刻上来。解约文件和解约程序,不能再含糊处理。这一点必须摆在桌面上。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-2_mid_.variants_judgewit-w-2-mid-v1_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-2|mid].variants[judgewit-w-2-mid-v1].behaviorHint,은행 직원 증언이 위임장 적금 해지 절차와 확인 미흡 가능성에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-2_mid_.variants_judgewit-w-2-mid-v1_.text,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-2|mid].variants[judgewit-w-2-mid-v1].text,은행 직원님 증언이 필요합니다. 해지 서류 절차가 쟁점이 된 만큼 접수와 확인 과정을 직접 듣겠습니다.,"Testimony from the bank officer who handled the joint-savings cancellation is required. With the cancellation paperwork now in dispute, we will hear directly how it was filed and verified.",銀行員にお越しいただきます。出入りがいつ、どれほど繰り返されたのかから整えて確認します。,"需要银行职员先生的证言。解约文件的程序成为争点,所以受理与确认过程要直接听。","Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
non_party_scripted_text_src_data_scriptedText_spouse-01_channels_judge_witness_summon_.entries_w-2_mid_.variants_judgewit-w-2-mid-v2_.behaviorHint,non_party_scripted_text,src/data/scriptedText,spouse-01,channels[judge_witness_summon].entries[w-2|mid].variants[judgewit-w-2-mid-v2].behaviorHint,은행 직원 증언이 위임장 적금 해지 절차와 확인 미흡 가능성에 미치는 영향을 재판관이 먼저 밝힌다.,,,,"Scripted text channel without party a/b as speaker: system, judge, witness, dossier, mediation, aftermath, and milestone copy."
