source_ko,proposed_ja,context,path_or_key,relation_to_ui_glossary,risk,notes
심문 경로 확정,尋問ルート確定,P0-F free-interrogation cutscene closing line per information-surface-policy.md §5.2,"information-surface-policy.md §5.2 + future scriptedText system_message",extends,low,"UI glossary has interrogation = 尋問. JA `尋問ルート確定` matches the SF-but-not-SF tone target. Alt `審問経路の確定` (more legalistic)."
질문 분석,質問の分析,P0-F cutscene allowed surface phrase,"information-surface-policy.md §5.3",extends,low,UI standard. JA exact.
쟁점 연결,争点との接続,P0-F cutscene allowed surface phrase,"information-surface-policy.md §5.3",extends,low,JA `争点との接続` natural.
관련 증거 확인,関連証拠の確認,P0-F cutscene allowed surface phrase,"information-surface-policy.md §5.3",extends,low,JA exact.
이의 있습니다,異議あり！,Objection bark — in-character spoken,"glossary.csv objection_bark + future scriptedText",matches,low,UI glossary already has objection_bark = 異議あり！. Use exclamation mark.
조건부 조정안,条件付きの調停案,Mediation path label — appears inside spouse-v3-01 mediation judge speech,"dialogues/mediation/spouse-v3-01.json paths.conditional.judge",extends,low,UI glossary has mediation_phase = 調停. JA `条件付きの調停案` natural.
즉시 판단,直ちに判断,Mediation immediate-path judge phrase,"dialogues/mediation/spouse-v3-01.json paths.immediate.judge",new_script_term,low,JA `直ちに判断` natural.
사실관계,事実関係,Mediation fact_first phrase,"dialogues/mediation/spouse-v3-01.json paths.fact_first.judge",new_script_term,low,JA `事実関係` matches legal register.
보류,留保,Mediation postpone-path phrase,"dialogues/mediation/spouse-v3-01.json paths.postpone.judge",new_script_term,low,"JA `留保` legal/formal. Alt `先送り` casual."
가족 사정,家族の事情,Surface paraphrase for B's hidden truth — must NOT appear in JA judge/system channels,"disclosure-policy.md §4.1 forbidden paraphrase set + scriptedText surface-only channels",conflicts,critical,"`가족 사정` is on the KO forbidden-paraphrase list (disclosure-policy.md §4.1 — `가족을 돕는`/`가족 일이라` paraphrase wedge). JA `家族の事情` is the natural equivalent and inherits the same risk. Add to JA forbidden-paraphrase set. RECOMMEND surface phrasing: `身内の件` / `事情のある相手`. Critical glossary decision item."
가족을 돌본,家族の世話,Same paraphrase wedge — must NOT appear in JA judge/system,disclosure-policy.md §4.1,conflicts,critical,"JA `家族の世話` inherits same risk. Use `事情のある対応` / `身内対応` in surface channels."
형 빚,身内の借金,Forbidden truth lexeme — JA must not say `兄の借金` in surface channels,disclosure-policy.md §4.1,conflicts,critical,"JA paraphrase set entry. Surface alternative: `身内の負債` / `親族の事情` — but these are STILL family-domain leaks. Best surface: `第三者への私的な対応` or omit subject entirely."
공동 적금 해지,共同貯蓄の解約,S5-allowed truth lexeme (A's confession content),"confessionScripts.ts spouse-01 A-d4 + scriptedText a S5 entries",extends,medium,"JA `共同貯蓄の解約`. NOTE: appears as TRUTH lexeme in disclosure-policy.md but is also part of evidence e-7 surfaceName chain — judge can reference the EVIDENCE existence (e-7) without naming A as the actor. Gating distinction is on actor-attribution, not noun."
위임장 조작,委任状の偽造,High-risk S5-only truth lexeme,disclosure-policy.md §4.1,extends,critical,JA `委任状の偽造`. Forbidden in surface channels. Add to JA forbidden-lexeme set.
배신감,裏切られた気持ち,A's S4 emotional outburst register,"scriptedText/spouse-01.json a S4 entries (presumed)",new_script_term,low,"JA `裏切られた気持ち` / `裏切られた思い`. For compact UI `裏切り`. Tone-locked: A's S4 emotional voice."
3,000만원,3,000万ウォン,Currency mention — spouse-01 truth at S5,"confessionScripts.ts B-d3 + cases/generated/spouse-01.json",new_script_term,medium,"Keep `ウォン` (Korean Won) — do NOT convert to yen. Standard JA convention for KR currency: `〇〇ウォン` or `〇〇万ウォン`. Truth Throttle (disclosure-policy.md §3.1) gates this — at S0/S1 must use `該当の金額`, S2 `数百万ウォン台`, only at S3+ specific."
2,000만원,2,000万ウォン,Currency at S5 confession,confessionScripts.ts A-d4,new_script_term,medium,Same convention.
해당 금액,該当の金額,Truth Throttle S0/S1 surface for amounts,disclosure-policy.md §3.1,new_script_term,low,"JA `該当の金額` natural for courtroom register. Add to surface-allowed set."
그 사람,その人物,Truth Throttle S0/S1 surface for persons,disclosure-policy.md §3.1,new_script_term,low,"JA `その人物` formal / `その人` neutral. Use `その人物` for judge channels."
그곳,その場所,Truth Throttle S0/S1 surface for places,disclosure-policy.md §3.1,new_script_term,low,JA `その場所` standard.
약칭,略称,Truth Throttle S2 institutional reference,disclosure-policy.md §3.1,matches,low,JA exact.
방어,防御,lie_state_s0 label,glossary.csv lie_state_s0,matches,low,Glossary `防御` confirmed.
동요,動揺,"emotion_shaken / lie_state_s1 — same KO term reused with same JA",glossary.csv,matches,low,Glossary confirmed.
변명,弁明,lie_state_s2,glossary.csv lie_state_s2,matches,low,Glossary confirmed.
궁지,窮地,lie_state_s3,glossary.csv lie_state_s3,matches,low,Glossary confirmed.
붕괴,崩壊,lie_state_s4,glossary.csv lie_state_s4,matches,low,Glossary confirmed.
자백,自白,lie_state_s5,glossary.csv lie_state_s5,matches,low,Glossary confirmed.
관찰,観察,judge observation system,glossary.csv observation,matches,low,Glossary confirmed.
수첩,ノート,judge notebook,glossary.csv notebook,matches,low,Glossary confirmed.
사실 추궁,事実追及,questionType,glossary.csv fact_pursuit,matches,low,Glossary confirmed.
동기 탐색,動機探索,questionType,glossary.csv motive_search,matches,low,Glossary confirmed.
공감 접근,共感アプローチ,questionType,glossary.csv empathy_approach,matches,low,Glossary confirmed.
모순 추궁,矛盾追及,action,glossary.csv contradiction_pursuit,matches,low,Glossary confirmed.
즉답 요구,即答要求,action,glossary.csv demand_answer,matches,low,Glossary confirmed.
증거 카드,証拠カード,UI element,glossary.csv evidence_card,matches,low,Glossary confirmed.
증거 단계,証拠段階,system,glossary.csv evidence_stage,matches,low,Glossary confirmed.
심층 조사,深掘り調査,action,glossary.csv deep_investigation,matches,low,Glossary confirmed.
신뢰함,信頼,trust_state_high,glossary.csv,needs_decision,medium,Glossary marks needs-rework. JA team to confirm.
경계함,警戒,trust_state_mid,glossary.csv,needs_decision,medium,Same.
의심함,疑念,trust_state_low,glossary.csv,needs_decision,medium,Same.
체념,諦観,emotion_resigned,glossary.csv,needs_decision,medium,Glossary marks needs-rework. Alt `諦め`. JA team to confirm before bulk.
