term_id,source_ko,current_glossary_en,used_translation,issue,recommendation
motive_search,동기 탐색,Motive Search,Motive Search (proposed),Clean.,No action.
empathy_approach,공감 접근,Empathy Approach,Empathy Approach (proposed),Clean.,No action.
dossier,사건 기록,Dossier,(not used in current i18n; `결정적 질문` decisive question banner uses `Decisive Question Unlocked` instead),"KO source uses `결정적 질문` not `사건 기록` for the unlock banner. EN UI never surfaces `Dossier` — it’s engine-internal naming only.","Mark glossary `dossier` as engine-internal; document that EN UI uses `Decisive Question` for the runtime banner. No code change needed."
notebook,수첩,Notebook,Notebook (judgeNotebook proposals + Evidence Notebook),Compound `Evidence Notebook` reuses noun consistently.,No action.
observation,관찰,Observation,Observation / Observations (proposed),Singular for filter chip, plural for panel title.,No action.
record_summary,기록 요약,Record Summary,Records (proposed for pc.recordSummary.title),Compact UI prefers single noun `Records`.,Keep glossary as `Record Summary`; allow `Records` as the compact variant.
investigation_token,조사 토큰,Investigation Token,Investigation Token / Investigation Tokens,Plural in popup titles.,No action.
skill_point,스킬 포인트,Skill Point,Skill Point / Skill Points,Same.,No action.
trust,신뢰도,Trust,Trust (proposed via target.profile.trust),Glossary entry intact.,"Add new glossary entries `trust_state_high|mid|low` for derived state buckets (Trusting / Cautious / Suspicious)."
stress,압박도,Stress,(not surfaced in current i18n; engine concept),Clean.,No action.
perk,특전,Perk,Perk (used in profile.pc.perk.required),Glossary entry intact.,No action.
trait,특성,Trait,Trait (proposed),Glossary entry intact.,No action.
clearance,클리어런스,Clearance,Clearance (proposed for result.donut.clearance),Glossary entry intact.,No action.
session,세션,Session,SESSION (eyebrow) + lower-case in session.preparing.title,Consistent.,No action.
save_data,저장 데이터,Save Data,(used in body copy of settings data export),Consistent.,No action.
test_console,테스트 콘솔,Test Console,Test Console (proposed),Clean.,No action.
llm,LLM,LLM,LLM (used in settings about description and audio voice option),Locked entry intact.,No action.
api,API,API,(not surfaced),Locked.,No action.
jwt,JWT,JWT,(not surfaced),Locked.,No action.
score_axis_insight,탐구 (점수 축),(none — proposed new),Insight (used in pc.sort.insight + result.donut.insight via SOURCE_STRING_MAP),"NEW. Korean `탐구` is reused both as judge-axis label (`Inquiry`) and score-axis label (`Insight`). Distinct concepts.",Add new glossary entry `score_axis_insight` (EN=Insight). high confidence.
score_axis_authority,판결 (점수 축),(none — proposed new),Authority (used in pc.sort.authority + result.donut.authority),NEW. Korean `판결` overloaded with `verdict` (phase) and `Authority` (score axis).,Add new glossary entry `score_axis_authority` (EN=Authority). high confidence.
score_axis_wisdom,해결 (점수 축),(none — proposed new),Wisdom (used in pc.sort.wisdom + result.donut.wisdom),NEW. Korean `해결` overloaded with `solution` (gameplay) and `Wisdom` (score axis).,Add new glossary entry `score_axis_wisdom` (EN=Wisdom). high confidence.
court_control,법정 장악 / 법정 지배력,(none — proposed new),Court Control (used in token.court.title etc.),"NEW. Korean source has TWO terms for the same resource. Source-side cleanup needed (Codex non-translation issue).",Add new glossary entry `court_control` (EN=Court Control). Source-side: unify `법정 장악` and `법정 지배력`. high confidence.
demand_answer,즉답 요구,(none — proposed new),Demand Answer (proposed for hotbar.special.immediate),NEW. Recurring action label.,Add new glossary entry. high confidence.
separate_interrogation,분리 심문,(none — proposed new),Separate Interrogation (proposed),NEW.,Add new glossary entry. high confidence.
confidential_protection,비공개 보호,(none — proposed new),Confidential Protection (proposed),NEW.,Add new glossary entry. high confidence.
objection,이의 제기 / 이의 있습니다.,(none — proposed new),Objection (proposed for tactical.special.objection),NEW. Spoken line straddles UI/dialogue boundary.,Add new glossary entry. medium confidence — flag for dialogue thread.
emotion_phase,경계/자신감/동요/격앙/체념,(none — proposed new),Guarded / Confident / Shaken / Enraged / Resigned (proposed),NEW. Drives character emotion donut + dialogue bubble.,Add new glossary group `emotion_phase_*`. high confidence.
lie_state,방어/동요/변명/궁지/한계/고백,(none — proposed new),Defense / Wavering / Excuse / Cornered / Breaking / Confession (proposed),NEW. S0–S5 truth-progress labels.,Add new glossary group `lie_state_*`. high confidence.
decisive_question,결정적 질문,(none — proposed new),Decisive Question (used in court.dossierUnlock copy in prior thread),"NEW. Distinct from `dossier` (engine-internal). UI-facing term should be `Decisive Question`.",Add new glossary entry. high confidence.
