priority,locale,key_or_source,issue,recommendation
PASS,en|ja|zh-CN,locale normalization,"normalizeLocale (line 384-389) handles `zh_cn` / `zh-cn` / `zh` aliases → `zh-CN`. CLI accepts --locale flag. Default runs all 3 SCRIPT_LOCALES.",no action
P2,en,Tier A draft lexeme coverage gaps (spouse-01),"KO forbiddenLexemes (line 242, 23 entries) > EN forbiddenLexemes (line 309, 19 entries). Missing in EN: `brother's place` (KO 형네 — partly covered by `brother's officetel`), `caregiving` / `cared for family` (KO 돌봄 / 가족을 돌본), `family circumstances` (KO 가족 사정 — overlaps with covered `family support`), `8th grader` / `eighth grade` (KO 중2 — partly via `middle school niece`). Same gaps in JA and zh-CN parallel lists. Expected for tier-a-draft status; native review pass would close gaps.","Native review pass when content stabilizes. Add missing semantic anchors per locale. Not blocking in Tier A draft."
P2,all,paraphraseLexemes EN/JA/zh-CN aligned but small (6 entries each),"All 3 cases × 3 locales have exactly 6 paraphrase entries each. Symmetric but lean. Real translators may produce paraphrase forms not on the list (e.g. `looked after his brother's family` or `kept the inheritance ratio different from the notarized version`).","Native review pass should expand paraphrase coverage based on real translation drafts. Acceptable in Tier A baseline."
P2,all,doNotLocalizeFields is declarative only (not enforced by validator),"localePolicy.uiSurfaceMap[locale].doNotLocalizeFields lists: `id, key, tags, sourceRefs, behaviorHint, evidence.name`. The validator does not actively enforce that these fields stay KO-only — it walks all strings indiscriminately and only checks for forbidden lexemes / brand. If a translator localizes the `id` field by mistake, the validator catches it only if Solomon-related literal sneaks in.","Add validator step: when walking sidecar overlay JSON, error if a field path matches doNotLocalizeFields AND its value differs from base (or simply: error if any of those fields is non-empty in sidecar). Defer to Tier B — schema enforcement complements lexeme guard."
P2,ja,JA brand pattern doesn't catch non-locked Solomon-based JA forms,"`/ソロモン法廷/` only catches the rejected credit subtitle. Other Solomon-based JA forms (e.g. `ソロモンの裁判`, `ソロモン裁判官`, `ソロモン王`) would slip through. Brand rule allows JA Solomon-based generally, but only `ソロモンのジレンマ` is the LOCKED title — other forms are unsanctioned.","Optional hardening: extend JA pattern to catch additional forms outside the locked `ソロモンのジレンマ` whitelist. Tier A draft state — not blocking."
P2,en,EN \\bSolomon\\b catches innocent dictionary uses,"Pattern `/\\bSolomon(?:'s)?(?:\\s+Dilemma)?\\b/i` matches any `Solomon` word — including potential case-content uses (witness names, biblical references, geographic Solomon Islands). False positive risk if case content ever needs to use the proper noun.","Acceptable in current scope (active 3 cases do not reference Solomon as a non-brand term). If future case content needs the noun, add case-specific allowlist or scope the regex.",
P2,all,paraphrase vs forbidden — same blocking severity,"validateCaseLexemes treats both lists as equally blocking (both raise addError). Distinction is only in the error message (`truth lexeme` vs `truth paraphrase`).","Acceptable design. Documented split lets reviewers triage by error category. No change needed."
P2,all,behaviorHint Tier B activation marker,"4 places use `skipCaseLexemes: true` for behaviorHint: validateScriptedTextOverlay line 125-127 (variant.behaviorHint) + collectAndValidateVariantIds line 276-278 (judge_questions / interrogation_answers variant.behaviorHint). When Tier B lands, removing this flag at all 4 call sites activates lexeme check.","Document the activation switch in scripts/validate-script-locale.cjs header comment so future maintainer knows where to flip."
INFO,all,Tier B activation effects (when ready),"Removing `skipCaseLexemes: true` for behaviorHint will: (1) require behaviorHint to honor truthStage gating; (2) require behaviorHint translations to avoid forbidden/paraphrase lexemes pre-S5; (3) likely surface failures because behaviorHint often references the underlying truth (e.g. `S3 짜증나서 부분 시인` referencing 형/조카/돌봄 surface knowledge but containing truth-adjacent hints). Tier B will need either: a parallel `behaviorHintLexemes` list scoped narrower than the case-content lexemes, OR an enforcement model where behaviorHint must paraphrase truth at S0-S4 and may state truth at S5.","Tier B planning input — not actionable in v4 recheck."
INFO,all,strict mode coverage assertion,"`--strict` flag enables: (a) missing sidecar = error (else warning); (b) full coverage assertion (every base ID has overlay equivalent). Strict mode currently OFF in default check:all run. Recommended for release-candidate gating once sidecars are ready.","No action this batch. Tier B / RC stage decision: enable --strict in check:rc once full sidecar coverage lands."
