path_pattern,surface_type,decision,reason,next_action
src/data/dialogues/phase1/friend-01.json,phase1_dialogue,localize,Active case 3 phase1.,Same gate.
src/data/dialogues/mediation/spouse-v3-01.json,mediation_dialogue,localize,"Active spouse-01 mediation via versioned-alias rule (`mediationScriptLoader.ts`). 4 paths × ~2 dialogues each. Mediation phase = S3+ unlocked Truth Throttle per disclosure-policy §3.3.","Bulk localize after Codex one-line `mediationScriptLoader.ts` confirmation that `spouse-01 → spouse-v3-01.json` mapping is canonical. JA truth-boundary row 8 noted: confirm engine guarantees lieState ≥ S3 on relevant disputes when mediation is invoked; otherwise add early-mediation alt-variant."
src/data/dialogues/mediation/family-v3-01.json,mediation_dialogue,localize,"Likely-active family-01 mediation per zh-CN intake pattern. NEEDS verification.",Codex confirm versioned-alias map for family-01 in `mediationScriptLoader.ts`. Bulk localize only after confirmation.
src/data/dialogues/mediation/friend-v3-01.json,mediation_dialogue,localize,"Likely-active friend-01 mediation. NEEDS verification.",Same as family-v3-01.
src/data/dialogues/mediation/spouse-v2-01.json,mediation_legacy,exclude_legacy,Superseded by `-v3-01` via versioned-alias rule. EN intake confirmed.,No translation.
src/data/dialogues/mediation/spouse-{05,11,12,new-01..10,v2-01}.json,mediation_legacy,exclude_legacy,"Inactive case suffixes. 3-way intake agreement.",No translation.
src/data/dialogues/mediation/family-{05,09,new-01..10,v3-01}.json,mediation_legacy,exclude_legacy,Inactive (except family-v3-01 which is likely-active — see row above).,No translation for non-v3-01 entries.
src/data/dialogues/mediation/friend-{03,07,new-01..05,v3-01}.json,mediation_legacy,exclude_legacy,Inactive (except friend-v3-01).,Same.
"src/data/dialogues/mediation/{civic-new-*,headline-*,neighbor-*,online-*,partnership-*,professional-*,tenant-*,workplace-*}.json",mediation_legacy,exclude_legacy,~120 inactive case files per `project_active_cases` memory + 3-way intake agreement.,No translation.
src/data/cases/generated/spouse-01.json,case_meta_text,localize,"`meta.*`, `duo.partyA/B.*`, `context.*`, `disputes[].title/surfaceText`, `evidence[].surfaceName/surfaceDescription`, `combinationLab.nodes[].label`, `combinationLab.outputs[].summary/judgeHint`, `solutions[]`, `evidence[].v3DepthPlan[].summary`. Truth-bearing fields (`evidence[].name`, `description`, `truthTable[]`, hidden `disputes[].truthDescription`) recommended SKIP per locale (see SCRIPT_REVIEW_FINDINGS P0 evidence.name row).","Bulk localize surface fields per locale. Truth-bearing fields stay KO-only (engine-internal) for v1 unless Tier 3 LLM Guard locale-side runs — then mirror per locale forbidden block."
src/data/cases/generated/family-01.json,case_meta_text,localize,Same.,Same.
src/data/cases/generated/friend-01.json,case_meta_text,localize,Same.,Same.
"src/data/cases/refined/{spouse-01,family-01,friend-01}_texts.json",refined_legacy,exclude_legacy,"3-way intake agreement: `caseLoader.ts` reads `manifest.json` only, not `_texts.json` body. zh-CN flagged content drift (280만원/추석/돌봄센터 vs disclosure-policy 3,000만원/형/조카) — older v1 storyline. 0 runtime grep hits.","No translation. PROJECT_CONTROL_TOWER decide: physical delete OR `_LEGACY_*` rename per memory `session_handoff_20260428_v3_correction.md` 84-건 격리 패턴."
src/data/cases/refined/spouse-01_backup.json,backup_snapshot,exclude_legacy,"Self-evident `_backup` suffix.",No translation. Routine-cleanup candidate (PCT decision).
src/data/cases/refined/manifest.json,case_manifest,exclude_test_policy,"Manifest metadata; no human-language strings.",No translation. KO-only.
src/data/witnessTestimonyData/spouse-01.ts,witness_ts_module,needs_codex_investigation,"TS source module embeds text inside object literals. Locale strings cannot be added without TS edit (CT-Main change-control scope) OR migration to JSON sidecars. EN intake §4 + zh-CN intake recommend migration. JA accepts KO fallback.",Codex migrate to JSON sidecar pattern (`src/data/witnessTestimonyData/spouse-01.ko.json` + locale overlays) BEFORE bulk locale pass. Convert TS module to thin loader. Keep exported function signatures stable.
src/data/witnessTestimonyData/family-01.ts,witness_ts_module,needs_codex_investigation,Same.,Same.
src/data/witnessTestimonyData/friend-01.ts,witness_ts_module,needs_codex_investigation,Same.,Same.
src/data/evidencePresentationScripts.ts,ts_module,needs_codex_investigation,"Single TS module; ~255 KO strings indexed by case + evidence + party + lieBand + investigationStage. Same migration path as witnessTestimonyData.",Codex migrate to JSON sidecar (per-case files: `evidencePresentationScripts/spouse-01.ko.json` + locale overlays). Or one combined `evidencePresentationScripts.ko.json` if file-split increases churn.
src/data/confessionScripts.ts,ts_module,needs_codex_investigation,"~13 confession entries × 3 strings (preConfession / confessionMain / postConfession). S5-licensed truth-disclosure surface — translation MUST replicate the reveal.",Codex migrate to JSON sidecar pattern. Validator: locale `confessionMain` MUST contain locale-equivalent of KO truth lexemes per case (negative validator).
src/data/combinationComments.ts,ts_module,needs_codex_investigation,"~30 comment entries. Truth-leak risk — comments must remain abstract per disclosure-policy §2.1 dossier rule.",Codex migrate to JSON sidecar. Include in `check:policy --locale` audit pass.
src/data/legacy/dialogues/phase1.ts,legacy,exclude_legacy,Pre-V4 legacy. 3-way intake agreement.,No translation.
src/data/legacy/dialogues/phase2.ts,legacy,exclude_legacy,Same.,Same.
src/data/legacy/dialogues/phase3-5.ts,legacy,exclude_legacy,Same.,Same.
"src/data/cases/generated/{caseId}.json — meta.anchorTruth, partyA/B.fear truth fields",case_meta_truth,needs_user_decision,"JA intake row 12+13: `meta.anchorTruth` and `partyB.fear` are dev-facing case-data, not displayed to player. Per JA: keep JA literal translation for case-data parity (so JA-locale dev tooling shows full truth). zh-CN intake row 18: also flag as engine vs UI separation. EN intake row 12: do NOT translate evidence.name in this pass.","User decision: (a) skip truth fields per locale (engine reads KO; lowest leak risk), (b) mirror truth fields per locale with audit step confirming no UI surface reads them. Recommend (a) for v1. Re-evaluate when Tier 3 LLM Guard runs locale-side."
"src/data/scriptedText/{caseId}.json — variants[].behaviorHint",writer_director_note,needs_user_decision,"3-way intake disagreement on translation policy. Type comment says writer/director note (informational). EN says KO-only. JA accepts KO fallback. zh-CN pilot translates.",User decision after Codex grep audit (see SCRIPT_REVIEW_FINDINGS P0 row). Recommend KO-only across all locales (matches EN intake + reduces volume ~50%).
"src/data/scriptedAngles/*_angle_catalog.json — angles[].keywords[]",runtime_intent_match,needs_codex_investigation,"zh-CN intake question 4: are keywords runtime regex against KO player input or human reference? Runtime use = locale split required (`keywords` stays KO + sibling `keywords_zh_cn`).",Codex grep `keywords` consumers in `src/engine/freeInterrogation/intentClassifier.ts` and `contextMapper.ts`. Lock decision before bulk angle_catalog locale work.
"src/data/scriptedAngles/*_angle_catalog.json — angles[].truthBoundary.{beforeS5MustNotSay,s5CanSay}",policy_lexeme_array,needs_codex_investigation,"Per-angle truth-boundary lexeme arrays. EN intake row 10 of EXTRACTION_PLAN: stay KO unless EN runtime guard added. JA intake equivalent.",Lock as KO-only for v1. Mirror per locale only if Tier 3 LLM Guard runs locale-side. Tied to disclosure-policy locale extension scope.
src/data/dialogues/generic-phase1.ts,generic_legacy,exclude_legacy,JA inventoried as legacy.,No translation.
src/data/disclosurePolicy/{caseId}.json,policy_data,needs_codex_investigation,"Codex-owned. Currently single-locale (KO). Per all 3 intakes + SCRIPT_REVIEW_FINDINGS P0-1 + P0-10: must extend with `forbiddenLexemes.{locale}` + `paraphraseLexemes.{locale}` + `surfaceMap.{locale}` blocks BEFORE bulk locale work.",Codex schema sign-off + content authoring. Schema decision precedes locale content.
"src/i18n/messages/*.ts — script-related rendered tokens",ui_message_map,needs_codex_investigation,"Per SCRIPT_REVIEW_FINDINGS P1 row: tag-side address forms (`judgeAddress:재판관님` / `callTerm:제_남편`) should render from per-locale message map at runtime, leaving tag values KO as runtime control signal.",Codex add `src/i18n/messages/scripts.ts` namespace with per-locale rendering helpers. No tag mutation in 14,931 variants.
