priority,locale,path_or_surface,issue,recommendation
P1,all,`cases/refined/{case}_texts.json` legacy status confirmed (3-way agreement),"EN: `caseLoader.ts` reads `manifest.json` only, not `_texts.json` body. JA: 0 runtime grep hits. zh-CN: truth content (280만원/추석/돌봄센터) does NOT match disclosure-policy.md §4.1 (3,000만원/형/조카) — drift v1 storyline. All 3 = exclude from translation.","Decision = `exclude_legacy`. PROJECT_CONTROL_TOWER also confirm whether to physically delete or `_LEGACY_*` rename per memory `session_handoff_20260428_v3_correction.md` 84-건 격리 패턴. Translation = SKIP regardless of disposal decision."
P1,all,`scriptedAngles/free_interrogation_*` test/policy fixtures — exclude_test_policy,"All 3 intakes confirmed: `free_interrogation_mapping_schema.json` / `free_interrogation_response_policy.json` / `free_interrogation_test_cases.json` / `free_interrogation_prompt_blocks.md` are policy/test inputs, not user-facing dialogue.","Decision = `exclude_test_policy`. Lock as KO-only. If a locale-side LLM prompt or fallback ever consumes them, escalate per locale Tier 3 work — out of scope for v1 bulk."
P1,en,Vocative `재판관님` glossary lock missing in `glossary.csv`,"EN intake P0 question 2: UI glossary has `judge=Judge` (referential) but no spoken vocative form. Every NPC line addressing the player uses `재판관님`. Without lock, EN translators will produce inconsistent vocatives (`Your Honor` / `Judge` / `Justice`).","Add row to `glossary.csv`: `judge_vocative,role,재판관님,Your Honor,裁判官,裁判官,...,locked,true`. JA + zh-CN already use `裁判官` directly so no separate vocative form needed there; row exists for EN priority. Optionally add per-case relationship vocative rows (`my husband` / `my wife` / `my brother` / `老公` / `亲爱的` etc.) under script-only scope."
P1,en+ja+zh-CN,Per-case relationship vocative + name transliteration tables,"EN: `자기야 → Honey` (locked candidate per case), spouse uses `남편/아내`, family uses `형/동생`, friend uses `친구`. JA: `자기야 → あなた` (intimate accusatory) — needs native review. zh-CN: 3-way ambiguous (`老公` / `亲爱的` / omit) + name transliteration table needed (pilot uses `朴智妍 / 李俊昊` for `박지연 / 이준호`). Without locks, NPC dialogue voice drifts variant-to-variant.","Codex add `glossary.csv` rows OR `docs/localization/script-glossary.csv` (script-scope appendix): per-case vocative + name transliteration. zh-CN: lock NPC name table (spouse-01: 朴智妍 / 李俊昊 / 박미라 / 朴美罗 etc., family-01: 윤태성 / 尹泰成, friend-01: 송다은 / 宋多恩). JA: confirm `あなた` vs `ねえ` for `자기야` per native review. EN: lock `Honey` for spouse, `my brother` for family, `friend / her` etc. for friend."
P1,all,Volume divergence 42K (EN) vs 50K (JA) vs 84K (zh-CN) due to behaviorHint inclusion,"Once P0 behaviorHint policy (KO-only recommended) is locked, all 3 estimates converge to ~42–45K per locale. Bulk planning needs unified volume number for translation budget / batch sizing.","After P0-4 (behaviorHint) decided, recompute: ~45K per locale × 3 locales = ~135K total. Batch by case (spouse-01 → family-01 → friend-01) × locale (en → ja → zh-CN) × channel (interrogation → answers → judge_q → special → angles → phase1 → mediation → witness → cases meta → TS sidecars). Each batch ≤ 5K strings, baseline anchor regression check between batches."
P1,en,System-message length cap (≤30 chars / line per `information-surface-policy.md` §6.3) — EN almost never fits,"EN intake P0 question 4: KO authored against 30-char line; EN equivalents typically ≥45 chars (`Repeating the same press only knocks on a closed door. Change direction.`). Either rewrite each system message tighter for EN or relax cap.","Update `information-surface-policy.md` §6.3 to a per-locale cap: KO=30/60, EN=50/90, JA=30/60, zh-CN=20/40 (CJK). Apply to system_message channel only (other channels unconstrained). Update CSS clamps per restart-thread-05 P2 row 26 (Steam Deck CJK floor + EN long-word break)."
P1,en,EN forbidden-lexeme set must include both `nephew` and `niece` for `조카`,"EN intake glossary row 15: KO `조카` is gender-neutral; spouse-01 hidden truth specifies a 중2 nephew. Translator picks `nephew`, but disclosure guard forbidden-lexeme list must also include `niece` (paraphrase guard catches both). Same logic for all gender-neutral KO truth lexemes that EN must split.","Codex EN forbidden block: include both `nephew` and `niece` for spouse-01. Apply same pattern to other gender-neutral KO terms (`사촌` → `cousin`, `친척` → `relative`). Family-01 and friend-01 should be audited for similar splits."
P1,zh-CN,zh-CN paraphrase blocklist for family-01 + friend-01 has higher P1 density than spouse-01,"zh-CN TRUTH_BOUNDARY_RISKS row 16: family-01 KO source had 14 P1 paraphrase findings vs spouse-01's 1 (per disclosure-policy.md §4.2). Korean evasion patterns (`문서를 손으로 고친` / `유서를 손댄`) map to multiple zh-CN forms (`动过文书` / `改过文件` / `修改了文书`) — translator paraphrase will silently re-introduce leaks. Same risk for friend-01 §4.3 `선을 넘는 메시지` etc.","Codex authoring effort for zh-CN paraphrase blocklist must be per-case proportional: spouse-01 = small set, family-01 = ≥14 paraphrase variants × 3 fields, friend-01 = 4–5 paraphrase variants × 3 fields. Block bulk family-01 zh-CN bulk until paraphrase blocklist authored + wrapper extended."
P1,ja,JA needs_decision glossary rows (체념/신뢰함/엄격↔엄정)`,"JA intake glossary candidates flag: `체념 → 諦観` vs `諦め` (locked needs_decision). Trust state labels (신뢰함/경계함/의심함) → JA forms not yet locked. KO axis pole `엄격` vs fragment `엄정` collision (KR cleanup pending) propagates to JA.","JA native review: confirm `諦観` for emotion_resigned (already locked). Approve trust state JA forms. After KR cleanup of `엄격↔엄정`, lock JA `厳格 / 厳正` mapping. Block JA bulk until these locked OR ship with `needs-rework` status acknowledging native pass after."
P1,zh-CN,`angle_catalog.keywords[]` runtime semantics unknown,"zh-CN intake question 4: are these Korean-text intent-match literals (runtime regex against player input), or human reference? If runtime, leave KO and add `keywords_zh_cn` sibling. If human reference, translate.","Codex: grep `angles[*].keywords` consumers. Inspect `src/engine/freeInterrogation/intentClassifier.ts` and `contextMapper.ts` for KO-text matching. Decision: locale-only translate keywords if zero runtime regex consumers. Otherwise keep KO + add sibling locale keywords array per intake recommendation."
P1,all,UI restart-thread-05 P0 8건 not yet resolved → script bulk gating,"Restart-thread-05 CONSISTENCY_FINDINGS lists 8 P0 (brand_full_title verification PASS / pcHomeShared.ts:134 / 4 numeric prefix 충돌 / Settings categories+About / Verdict+Hotbar t() 0건 / pc.css uppercase·tracking · h1 nowrap / language fallback). Most are UI scope. Script bulk pass needs them resolved to avoid surface mismatch (script EN says `Verdict Zero` while UI label still says raw KO `솔로몬`).","Sequence: UI Codex resolves restart-05 P0 8건 (specifically pcHomeShared.ts:134 i18n promotion + Settings categories + Verdict step labels + Hotbar slot labels) before script EN bulk pass. JA + zh-CN can run in parallel with UI Codex since restart-05 P1 zh-CN (~250 hardcoded strings) blocks zh-CN UI bulk separately."
P1,all,Tag-side address forms (`judgeAddress:재판관님` / `callTerm:제_남편`) embed KO tokens,"EN intake row 7: tags currently embed Korean tokens. EN locale must NOT silently rewrite tag values. Two options: (a) add `judgeAddress.en:Your Honor` / `callTerm.en:my husband` as parallel tag values; (b) render addresses from a per-locale message map at runtime, leave tag values KO as runtime control signal. Option (a) requires editing 14,931 tag-values. Option (b) is the same approach as UI restart-05 P1-13 (objection 3-tier).","Recommend Option (b): tag values stay KO as control signals; locale runtime address rendering pulls from a new `src/i18n/messages/scripts.{ts}` map keyed on the KO tag value. No tag mutation. This is consistent with how `judge_question` channel addresses already work in the UI message map."
P2,all,Currency / unit handling (`원` / `만원`),"All 3 intakes: keep `원` / `万원` / `만원` style — never convert to USD/JPY/CNY. JA `ウォン` (existing intake decision). EN `won` lower-case body / `KRW 30 million` for compact fields. zh-CN `韩元` / `万韩元`.","Add glossary rows: `currency_won = won (en) / ウォン (ja) / 韩元 (zh-CN)`. Lock. Ensure no auto-conversion in any locale. Add validator note in IMPLEMENTATION_PLAN."
P2,en,EN typography polish (em-dash + apostrophe),"Restart-05 P2 rows 35–40 cover UI patches. Same apply to script EN: typographic apostrophes (`I'll` not `I'll`), em-dash for parenthetical (`— `) instead of `--`. EN intake samples already use typographic style.","Translator style guide: lock typographic apostrophe + em-dash + Title Case for evidence card labels. Add to `style-guide.md` §English subsection."
P2,zh-CN,zh-CN punctuation polish (em-dash + Chinese commas),"Restart-05 P2 row 43: 3 patches replace ASCII hyphen with em-dash for CJK polish. zh-CN intake mediation pilot uses `——` correctly. Recurrence risk: translator inconsistency.","Translator style guide: zh-CN uses `——` em-dash, `，。` full-width punctuation for body text, `；` for clause separation. Add to `style-guide.md` §Simplified Chinese."
P2,all,`spouse-01_backup.json` snapshot — exclude,"EN inventoried as snapshot. Self-evident `_backup` suffix.","Decision = `exclude_legacy`. No translation."
P2,all,Pilot truth-boundary noted minor risks (서점 → bookshop / 書店 / 书店),"EN row 10 / JA row 2: KO `서점` (bookstore) hint at school-supplies inference. EN+JA equivalent literal preserves same risk. zh-CN `书店` not flagged.","Acceptable for v1 — translator faithfulness preserves KO-equivalent leak risk. If JA playtest shows premature inference, paraphrase to `普段の買い物` / general store. Re-validate after each locale's first playtest."
P2,all,`combinationComments.ts` is small (~30 entries) but truth-leak prone,"zh-CN intake §combinationComments: comments must remain abstract per disclosure-policy §2.1 dossier rule. Easy to overlook because file size suggests low priority.","Include `combinationComments` in same `check:policy --locale` audit pass as scriptedText. Do not exempt due to small size."
