locale,path,key_or_id,quality,truth_boundary_risk,tone_risk,recommendation
ja,src/data/scriptedText/spouse-01.json,w-1|vague (3 of 10 variants),accepted,low — `何号室までかは私のほうでは確認しておりません` preserves non-confirmation discipline.,low — formal `お見かけしたことはございます` register matches KO witness elder/staff tone.,Approve.
ja,src/data/scriptedText/spouse-01.json,interrogation|repeat_warning (3 of 5 variants),accepted,none (system_message).,low — JA fits 30-char cap (`同じ問いが空回りしている。別の隙を探そう。` ≈ 21 chars).,Approve. JA system_message cap 30/60 per `information-surface-policy.md` §6.3 OK as-is.
ja,src/data/scriptedAngles/spouse-01_judge_questions.json,d-1|fact_pursuit|b|general (3 of 5 variants),accepted_with_notes,low — `どこまで立ち寄られた` carries multi-stop nuance (matches KO `어디까지 들렀는지`). Surface-equivalent.,low — judge polite-formal register intact.,Approve.
ja,src/data/scriptedAngles/spouse-01_interrogation_answers.json,b|d-1|S0|fact_pursuit|general (3 of 10 variants),accepted_with_notes,low — `금액` (category) safe at S0 because no specific amount named. Truth Throttle reminder needed for JA bulk: any S0/S1 ScriptedText with specific Won amount must use Throttle paraphrase (`該当の金額` for S0/S1).,low — B's defensive S0 register preserved.,Approve. Add Truth Throttle reminder note to JA bulk translation guidelines (per JA TRUTH_BOUNDARY_RISKS row 7).
ja,src/data/dialogues/phase1/spouse-01.json,4 entries (system intro / A opening / choice c1 / B branch),revise_before_bulk,CRITICAL — `부모님 재산을 형이 다 날린` line: JA literal `兄が両親の財産を全部失った` could conflate with hidden truth (B's brother on personal-bankruptcy). JA reader has weaker schema separation between past-family-money-loss and current-brother-issue. NOT translated in pilot.,medium — `자기야 → あなた` works in accusatory context; native review needed for warmth-vs-coldness register.,"BLOCK bulk JA phase1 until disclosure-policy author / CT-Main reviews KO line itself (per SCRIPT_REVIEW_FINDINGS P0 row). JA recommendation if KO retains: `義実家の問題` / `夫の家族の借金事情` (preserve past-family-discord meaning without naming `兄`). Coordinate with disclosure-policy.md author."
ja,src/data/dialogues/mediation/spouse-v3-01.json,paths.conditional (judge + 2 dialogues),accepted_with_notes,medium — `3,000万ウォン` specific amount in mediation phase implies S3+ Truth Throttle unlocked. RISK: if player triggers mediation BEFORE B reaches S3+ on h-d3 (개인 비자금 출처) the JA player sees the number without KO-side narrative justification.,low — judge formal mediation + B partial-admission register.,"Approve content. Codex confirm `mediationScriptLoader.ts` + game-loop guarantees lieState ≥ S3 on relevant disputes at mediation invocation. If not, add early-mediation alt-variant using `数千万ウォン規模の出金` (S2 register)."
zh-CN,src/data/scriptedText/spouse-01.json,a|d-1|S0|fact_pursuit (1 variant translated of 10),accepted,low — `公寓` keeps surface vocab; no truth lexeme. zh-CN translator must flag any future variant using `哥/侄子/委托书` in zh-CN before NPC S5.,low — A's S0 surface frame preserved (`已经知道答案了` accusatory register).,Approve. Translator instruction lock: NEVER add 哥/亲哥/侄子/委托书/投资诈骗 to S0–S2 variants in zh-CN.
zh-CN,src/data/scriptedText/spouse-01.json,b|e-1|early|self (1 variant of 5),accepted,low — `那是……我买的` preserves abstraction without recipient. Translator must NOT add `为了…` recipient clause.,low — B early-band hedge (single short sentence with hesitation marker `……`) preserved.,Approve. Translator instruction lock: do not add recipient clause at lieBand=early.
zh-CN,src/data/scriptedText/spouse-01.json,w-1|vague (1 variant of 10),accepted,low — `具体是哪一户，我没去核对过` preserves vague non-confirmation. Translator must NOT clarify `哥哥住在那一层` even if context tempts.,low — security guard polite formal register matches KO.,Approve.
zh-CN,src/data/scriptedText/spouse-01.json,interrogation|repeat_warning (1 variant of 5),accepted_with_notes,none (system_message).,medium — CJK glyph length cap floor 11px per restart-thread-05 P2-3 row. `同一个问题在打转。换个切口试试。` ≈ 16 zh-CN chars (≈ 28 px-equiv); fits 30-char cap.,Approve. Reviewer confirm `换个切口` does not read as crime jargon (alt `换个角度` if reviewer prefers).
zh-CN,src/data/scriptedAngles/spouse-01_judge_questions.json,d-1|fact_pursuit|b|general (3 variants of 5),accepted_with_notes,medium — judge_question = surface-only channel. zh-CN preserved without 哥/侄子. Risk: translator may write `…到底見了誰?` under emphasis temptation — must be avoided.,low — judge polite-formal register intact.,Approve. Lock current phrasing as canonical for judge channel zh-CN.
zh-CN,src/data/scriptedAngles/spouse-01_interrogation_answers.json,b|d-1|S0|fact_pursuit|general (3 variants of 10),accepted_with_notes,medium — translator may instinctively soften `外遇情形` to `不正当关系` which would inflate suspicion register. Keep literal `外遇情形` matching KO `외도 정황`.,low — B S0 defensive register preserved.,Approve. Translator instruction lock: literal `外遇情形`. NEVER `不正当关系`.
zh-CN,src/data/dialogues/phase1/spouse-01.json,5 indices (incl. index 14 `부모님 재산을 형이 ~ 숨기고` + index 31 `당신 형님?`),revise_before_bulk,HIGH+CRITICAL — index 14: zh-CN `公婆的财产被我哥(他哥)败光的事` = ambiguous antecedent (`我哥` reads as A's brother but speaker is A about B's brother). Must disambiguate to `丈夫的哥哥` (his older brother). Index 31: A's `您哥` is suspicion register accepted but guard wrappers must whitelist this entry from forbidden block while still blocking the lexeme in system_message/judge_question channels.,medium — `자기야` rendering not finalized (老公/亲爱的/omit 3-way ambiguous per zh-CN intake question 6).,"BLOCK bulk zh-CN phase1 until SCRIPT_REVIEW_FINDINGS P0 phase1 KO-line decision + per-locale phrase whitelist authored. Lock zh-CN translator instructions: `丈夫的哥哥` for B's brother in A's accusation register; whitelist phase1 indices 14+31 from forbidden-lexeme guard."
zh-CN,src/data/dialogues/mediation/spouse-v3-01.json,paths.conditional (judge + 1 dialogue),accepted_with_notes,medium — mediation judge line names dispute SURFACES (visit/call/private fund/joint savings termination) — not the truth (forged proxy/fraud). PASS. Risk: 委托书伪造 / 投资诈骗 must remain blocked in zh-CN judge channels until NPC S5.,low — judge formal mediation register; `条件式调解方案` pragmatic + court-formal.,Approve. Lock translator instruction: 委托书伪造 / 投资诈骗 NEVER appear in mediation judge channel.
