source_ko,en,ja,zh_cn,issue,recommendation,blocks_bulk_translation
스튜디오 어퍼트먼트 (오피스텔) / 형의 오피스텔,brother's studio apartment,兄のオフィステル,哥哥的公寓,Compound forbidden (brother + apartment) for spouse-01 surface.,Per-locale forbidden block: must catch compound `[brother+studio]` paraphrase regardless of word order.,yes
편의점 + 서점 (paired),"convenience store + bookshop","コンビニ + 書店","便利店 + 书店","JA TRUTH_BOUNDARY_RISKS row 2 + EN row 10: `서점` hint at school-supply inference. JA reading culture flags this stronger than KO.",Acceptable for v1. Add per-locale playtest re-validation step. If JA playtest leaks too early, paraphrase to `普段の買い物` / generic store category. Same fallback for EN/zh-CN.,no
직장 (씨/さん) honorific,"Mr. / Mrs. / Ms. + surname",さん / 様,先生 / 女士,"All 3 intakes: KO `씨` is gender-neutral → EN/zh-CN must split (`Mr.`/`Mrs.`/`Ms.` / `先生`/`女士`). JA `さん` direct. spouse-01 S2 throttle uses `김 씨` for surname-only address (disclosure-policy §3.1).",Lock per-locale honorific table per character (e.g. spouse-01: A=Mrs. Park / 朴さん / 朴女士; B=Mr. Lee / 李さん / 李先生).,yes
박지연 / 이준호 / 박미라 / 윤태성 / 윤정후 / 송다은 / 최수민 (NPC names),"Park Ji-yeon / Lee Jun-ho / Park Mi-ra / Yun Tae-sung / Yun Jung-hu / Song Da-eun / Choi Su-min","パク・ジヨン / イ・ジュノ / パク・ミラ / ユン・テソン / ユン・ジョンフ / ソン・ダウン / チェ・スミン",朴智妍 / 李俊昊 / 朴美罗 / 尹泰成 / 尹正厚 / 宋多恩 / 崔秀敏,zh-CN intake question 5: official transliteration table needed. JA: katakana convention. EN: revised romanization (Park Ji-yeon style).,Codex add per-character transliteration table to script-glossary appendix. Lock for all active 3 cases. zh-CN should use authentic Han characters for Korean names where common (朴/李/尹/宋/崔/etc.); pilot transliteration accepted.,yes
영수증 묶음 5장,bundle of 5 receipts,5枚の領収書の束,五张收据,spouse-01 e-1 surfaceName per evidence card. EN row 32.,Lock per locale.,no
블랙박스 GPS 기록,dashcam GPS log,ドラレコGPSログ,行车记录仪 GPS 记录,spouse-01 e-2 surfaceName.,Lock per locale.,no
발신자 미상 문자,text from an unknown sender,差出人不明のメッセージ,未知发件人的短信,spouse-01 e-4 surfaceName (NEVER `brother's text thread` etc.). EN row 34.,Lock per locale. NEVER widen to mention sender / family / brother in surface channels.,no
공동 적금 해지 서류,joint savings cancellation record,共同貯蓄解約書類,共同存款解约文件,spouse-01 e-7 surfaceName.,Lock per locale.,no
경비원,security guard,警備員,保安,spouse-01 w-1 (오피스텔 경비).,Lock per locale.,no
은행 직원,bank teller / bank employee,銀行員,银行职员,spouse-01 w-2.,Lock per locale.,no
새벽 전화,late-night call / pre-dawn call,深夜の通話,凌晨通话,spouse-01 evidence detail. EN row 18: KO 새벽 ≈ 02:00–06:00. EN must avoid `early morning` (reads as 06:00+).,Lock per locale. EN context-pick `late-night` (~01:00–04:00 implied).,no
원 / 만원,won / KRW,ウォン,韩元 / 万韩元,All 3 intakes: NEVER convert to USD/JPY/CNY. JA `ウォン`. zh-CN `韩元`.,Lock per locale. Validator: no auto-conversion. EN compact UI may use `KRW 30M` for evidence card label.,no
score_axis_insight / authority / wisdom,"Insight / Authority / Wisdom","洞察 / 権威 / 知恵","洞察 / 权威 / 智慧","Glossary status `needs-rework`. EN value high-confidence per UI restart-05 P1 row 26. JA + zh-CN need native review.",Promote EN to `draft`. JA + zh-CN keep `needs-rework` pending native pass. No value change.,no
권한 등급 (clearance) vs 클리어율 (completion),"Permission Level vs Completion Rate","権限レベル / 達成度","权限等级 / 完成度","Glossary row already split. UI restart-05 P1 row 8. Script may not use these directly but distinct score-axis.","Reuse glossary. Script no immediate impact.",no
법정 장악,Court Control,法廷掌握,法庭掌控,UI restart-05 P1 row 12: missing glossary row added.,Reuse UI glossary. Script consistent.,no
emotion_*,Defense / Wavering / Excuse / Cornered / Breaking / Confession,"防衛 / 動揺 / 弁明 / 窮地 / 崩壊 / 自白","防御 / 动摇 / 辩解 / 窘迫 / 崩溃 / 自白",lieState UI badges. EN row 57. All locked in glossary.,Reuse glossary. Script must NOT translate enum value (S0–S5) but may render label per locale.,no
keywords[] in angle_catalog,(KO retained) + en sibling,(KO retained) + ja sibling,(KO retained) + zh-CN sibling,"zh-CN intake question 4: runtime semantics unknown. EN intake row in EXTRACTION_PLAN: `keywords` should get parallel `keywords.en` array (NOT translated in place; KO morphology matchers still need KO list).","Codex grep consumers in `freeInterrogation/intentClassifier.ts` + `contextMapper.ts`. If runtime regex matcher: leave KO + add sibling per locale. If human reference only: translate. Lock decision before bulk angle_catalog locale work.",yes
behaviorHint,(KO retained recommended),(KO retained recommended),(KO retained recommended),"3-way intake disagreement. Type comment says writer/director note. EN says KO across all locales. JA accepts KO fallback. zh-CN pilot translates.",Codex grep `behaviorHint` runtime consumers. If zero: lock as KO across all locales. Saves ~50% bulk volume per locale.,yes
truthBoundary.beforeS5MustNotSay / s5CanSay,(KO retained) per case,(KO retained) per case,(KO retained) per case,Per-angle truth-boundary lexeme arrays. EN intake EXTRACTION_PLAN row.,Lock as KO-only for v1. Mirror per locale only if Tier 3 LLM Guard runs locale-side.,no
brand_full_title,Verdict Zero: Trial of Truth,ソロモンのジレンマ：真実の裁き,真相裁决：零点审判,Locked per UI restart-05. All 3 intakes used correctly.,Locked. No further action. Script translator MUST never substitute reject candidates (`Project Solomon` / `Solomon's Dilemma` / `Solomon Court` / `ソロモン法廷` / `所罗门的法庭` / `所罗门的两难`).,no
Project_Solomon (internal codename),Project_Solomon,Project_Solomon,Project_Solomon,Internal/dev codename. Locked across all locales. Never user-facing.,Locked. Verify no script accidentally surfaces `Project_Solomon` to UI.,no
시댁 갈등,in-law conflict,義実家の不和,姻亲冲突,spouse-01 special_scripts post-S5. EN row 20.,Lock per locale. Surface label only post-S5.,no
재판관의 수첩 / 메모,Notebook / Notes,ノート / メモ,笔记本 / 笔记,UI glossary record_summary / notebook / notes already locked.,Reuse glossary. No conflict.,no
관찰,Observation,観察,观察,UI glossary already locked.,Reuse.,no
사실 추궁 / 동기 탐색 / 공감 접근,Fact Pursuit / Motive Search / Empathy Approach,事実追及 / 動機探索 / 共感アプローチ,事实追问 / 动机探查 / 共情接近,UI glossary locked.,Reuse.,no
모순 / 모순 추궁,Contradiction / Contradiction Pursuit,矛盾 / 矛盾追及,矛盾 / 矛盾追问,UI glossary locked.,Reuse.,no
