path,surface_type,case_id,authoritative_status,text_fields,estimated_text_items,notes
src/data/dialogues/mediation/family-09.json,mediation_dialogue,(unmapped),legacy,paths.*,~12 strings,Numeric suffix belongs to Legacy storyline.
src/data/dialogues/mediation/family-05.json,mediation_dialogue,(unmapped),legacy,paths.*,~12 strings,Same.
src/data/dialogues/mediation/friend-03.json,mediation_dialogue,(unmapped),legacy,paths.*,~12 strings,Same.
src/data/dialogues/mediation/friend-07.json,mediation_dialogue,(unmapped),legacy,paths.*,~12 strings,Same.
src/data/dialogues/mediation/{civic|family|friend|neighbor|online|partnership|professional|spouse|tenant}-new-*.json,mediation_dialogue,(non-active cases),likely_active,paths.*,roughly 100 files × ~12 strings,"-new-* mediation files are wired through mediationScriptLoader (no -v versioning needed) for cases that will become active later. Out of scope for spouse-01 pilot, but flagged so EN doesn't translate the wrong file."
src/data/dialogues/mediation/headline-01.json,mediation_dialogue,(non-active),likely_active,paths.*,~12 strings,Same.
src/data/dialogues/mediation/headline-02.json,mediation_dialogue,(non-active),likely_active,paths.*,~12 strings,Same.
src/data/dialogues/mediation/neighbor-03.json,mediation_dialogue,(unmapped),legacy,paths.*,~12 strings,Numeric suffix belongs to Legacy storyline.
src/data/dialogues/mediation/neighbor-08.json,mediation_dialogue,(unmapped),legacy,paths.*,~12 strings,Same.
src/data/dialogues/mediation/partnership-04.json,mediation_dialogue,(unmapped),legacy,paths.*,~12 strings,Same.
src/data/dialogues/mediation/partnership-09.json,mediation_dialogue,(unmapped),legacy,paths.*,~12 strings,Same.
src/data/dialogues/mediation/tenant-02.json,mediation_dialogue,(unmapped),legacy,paths.*,~12 strings,Same.
src/data/dialogues/mediation/tenant-09.json,mediation_dialogue,(unmapped),legacy,paths.*,~12 strings,Same.
src/data/cases/generated/spouse-01.json,case_data,spouse-01,active,"meta.*, duo.*.speechStyle/fear/verbalTells, context.*, disputes[].name/truthDescription, evidence[].name/description/surfaceName/viewerData, evidenceCombinations, truthTable, solutions, combinationLab, v3Design, dossierCards, uiSurfaceMap","~1274 KO string fields out of 3171 total","Primary case data. Includes both narrative truth fields (e.g. evidence[].name = ground-truth label) and surface fields (evidence[].surfaceName, uiSurfaceMap.*) that the UI is allowed to show. Localization MUST translate the surface side; ground-truth side may stay KO if EN guard does not consume them."
src/data/cases/generated/family-01.json,case_data,family-01,active,(same as spouse-01),~1000+ KO strings,Same.
src/data/cases/generated/friend-01.json,case_data,friend-01,active,(same as spouse-01),~1500+ KO strings,Same.
src/data/cases/refined/spouse-01_texts.json,case_text_refined,spouse-01,legacy,"fields.*.label/original/refined",~80 strings,"Pre-v2 storyline (different characters: 지석/280만원 etc.). REFINED_SET is read by caseLoader.ts only as a manifest filter — the *_texts.json content itself is NOT loaded at runtime. Treat as legacy artifact; do not translate."
src/data/cases/refined/family-01_texts.json,case_text_refined,family-01,legacy,fields.*,~80 strings,Same.
src/data/cases/refined/friend-01_texts.json,case_text_refined,friend-01,legacy,fields.*,~80 strings,Same.
src/data/cases/refined/spouse-01_backup.json,case_data_backup,spouse-01,legacy,(snapshot),N/A,Backup snapshot. Not loaded.
src/data/cases/refined/manifest.json,manifest,(global),active,(no user-visible text),3 entries,"Only the {""refined"": [...]} list is consumed; entries are filenames."
src/data/witnessTestimonyData/spouse-01.ts,witness_testimony,spouse-01,active,"topic, question, testimony, behaviorHint",21 testimony slots,TS module exporting TestimonySlot[]. Used by witness flow.
src/data/witnessTestimonyData/family-01.ts,witness_testimony,family-01,active,(same),18 testimony slots,Same.
src/data/witnessTestimonyData/friend-01.ts,witness_testimony,friend-01,active,(same),18 testimony slots,Same.
src/data/evidencePresentationScripts.ts,evidence_presentation,(spouse-01/family-01/friend-01),active,"facts[stage], partyFacts.{a|b}[stage], stances.{a|b}.{early|mid|late}, BEHAVIOR_HINT_BY_BAND",~255 KO strings (rough),"Hard-coded TS module with per-evidence per-stage per-band lines. Currently KO-only; localization needs a parallel locale lookup or a JSON migration."
src/data/confessionScripts.ts,confession_scripts,(spouse-01/family-01/friend-01),active,"preConfession, confessionMain, postConfession",~13 confession entries,TS module. Used at S5 confession trigger. May overlap with scriptedAngles/*_special_scripts.json `confessions` bucket — verify dedupe before translation.
src/data/combinationComments.ts,combination_comments,(spouse-01/family-01/friend-01),active,comment,~30 lines,TS module. Judge comment after evidence combination success.
src/data/legacy/dialogues/phase1.ts,legacy_dialogue,(legacy),legacy,(static dialogues),108 lines,Pre-V4 dialogue. Not active.
src/data/legacy/dialogues/phase2.ts,legacy_dialogue,(legacy),legacy,(static dialogues),87 lines,Same.
src/data/legacy/dialogues/phase3-5.ts,legacy_dialogue,(legacy),legacy,(static dialogues),472 lines,Same.
src/data/disclosurePolicy/*.json,policy_data,(spouse-01/family-01/friend-01),test_or_policy,"forbiddenLexemes, paraphraseSet, surfaceMap entries, gating notes",per-case policy file (Codex-owned),"Disclosure policy JSON used by check:policy wrapper. Lexemes are KO source; an EN runtime guard would need a parallel EN lexeme set. Not a runtime import today."
