source_ko,proposed_en,context,path_or_key,relation_to_ui_glossary,risk,notes
조카,niece/nephew,"spouse-01 hidden truth (조카 학교 알림). Korean 조카 is gender-neutral; EN must pick.","scriptedText/spouse-01 (post-S5 only), special_scripts.confessions[0,1], cases/generated/spouse-01 evidence e-1/e-4 truth",new_script_term,high,"Per disclosure-policy §4.1, ""조카"" is a forbidden lexeme on judge/system/dossier channels before S5. spouse-01's hidden niece/nephew is specifically a 중2 nephew. Recommend ""nephew"" (matches 중2 boy in story); ensure EN forbidden-lexeme list includes both ""nephew"" and ""niece"" so paraphrase guard catches both."
친형,(my) older brother,"spouse-01 hidden truth (친형 오피스텔, 형 빚, 형에게 전달). KO 친형 is more specific than 형 (older brother by blood, distinguishing from in-law).","scriptedText/spouse-01 (post-S5 only), special_scripts.confessions[0,2], cases/generated/spouse-01",new_script_term,high,"EN ""older brother"" loses the 친 (blood) distinction but in spouse-01 context it's already implied (B's biological brother). Recommend ""my (older) brother"" or just ""my brother"". Note: forbidden lexeme on judge/system/dossier before S5."
중학생 조카,middle-school nephew,"spouse-01 — disclosure-policy.md §4.1 lists 중2 specifically.",confessions + truthBoundary lists,new_script_term,medium,"Map 중2 to ""eighth-grader"" (US K-12 grade) or ""second-year of middle school"" depending on register. middle-school nephew preserves register without grade specificity. EN forbidden lexeme set should include both."
새벽 전화,early-morning call / late-night call,"spouse-01 — recurring evidence detail. KO 새벽 spans roughly 02:00–06:00, EN ""early morning"" sometimes reads as 06:00+.","scriptedText/spouse-01 evidence_present, judge_question",new_script_term,low,Recommend ""late-night call"" if context implies ~01:00–04:00; ""pre-dawn call"" for atmospheric register. Pick one and lock per case.
형 문자 스레드,(brother's) text thread,"spouse-01 e-4 ground-truth name. UI surfaceName is ""발신자 미상 문자"" (text from unknown sender).",scriptedText/spouse-01 evidence_present e-4 + cases/generated/spouse-01 e-4.name,new_script_term,high,"Truth-channel only. Surface label maps to ""text from unknown sender"". The truth label maps to ""brother's text thread"". Two distinct EN strings per evidence — same disclosure split as KO."
시댁 갈등,in-law conflict,"spouse-01 confessions / special_scripts. 시댁 = husband's family side (from wife's POV).","scriptedText/spouse-01 special_scripts.confessions[1], post-S5",new_script_term,medium,"in-law conflict is the readable EN; family tension is too vague. Confirm with reviewer."
모순 추궁,contradiction pursuit,"Player action label. Judge-channel use.","glossary already; channel name judge_contradiction; reused in scripted text variants",matches,low,UI glossary entry contradiction_pursuit = Contradiction Pursuit confirmed.
즉답 요구,demand answer / Demand an immediate answer,"spouse-01 — recurring action label inside variants.",scriptedText/* + scriptedAngles/*,matches,low,UI glossary already has Demand Answer (locked candidate). Use as button label.
이의 있습니다,Objection!,"In-character spoken bark.",scriptedText/* + dialogues/phase1,matches,low,UI glossary already separates objection (button noun) from objection_bark (Objection!).
판결,verdict,Pervasive — but disclosure-policy notes 판결 (verdict) collides with 판결 (axis_authority score) in result phase.,scriptedText/* + verdict messages,matches,medium,"UI glossary verdict=Verdict (gameplay) and score_axis_authority=Authority for the axis. The script files only refer to gameplay verdict — keep ""verdict""."
쟁점,dispute,"Pervasive.",scriptedText/* + cases/generated.disputes[].name,matches,low,UI glossary dispute=Dispute.
사건,case,Pervasive.,(everywhere),matches,low,UI glossary case=Case.
재판관의 수첩,Notebook / Records,"System-message / dossier text.",scriptedText system_message + verdict_phase notes,matches,low,"UI glossary record_summary=Records, notebook=Notebook. Check per surface."
잠시만요,Wait a moment / Just a moment,"Common interjection.",scriptedText interjection variants,new_script_term,low,Idiomatic options: One moment / Hold on / Just a moment.
사정이 있다,it's complicated / there are reasons / I have my reasons,"Recurring evasion phrase (B in spouse-01 phase1).",dialogues/phase1/spouse-01 + scriptedText interrogation S0–S2,new_script_term,medium,"This is a deliberately ambiguous phrase used to defer disclosure. EN ""it's complicated"" reads with the same evasion register; ""there are circumstances"" reads more formal/legal. Confirm tone with reviewer per scene."
가족 일,family matter / family business,"Recurring S2 paraphrase. Disclosure-policy lists ""가족 사정 / 가족을 돌본"" as paraphrase-forbidden lexemes before S5.","scriptedText/spouse-01 interrogation S2, paraphrase set",new_script_term,medium,"Translate consistently as ""family matter"" (lower truth disclosure) vs ""family business"" (slightly higher). Forbidden-lexeme equivalents in EN: ""family matter"" / ""family business"" must NOT leak before S5 in surface-only channels."
재판관님,Your Honor (vocative) / Judge (referential),"Distinguish vocative (''Your Honor, ...'') from referential (''The judge said...'')",scriptedText + phase1,extends,low,UI glossary judge=Judge; recommend script glossary adds vocative form locked.
영수증 묶음 5장,bundle of 5 receipts,"spouse-01 e-1 surfaceName.",cases/generated/spouse-01 e-1.surfaceName,new_script_term,low,Title-case as needed for evidence card.
블랙박스 GPS 기록,dashcam GPS log,"spouse-01 e-2 surfaceName.",cases/generated/spouse-01 e-2.surfaceName,new_script_term,low,Title-case for evidence card.
발신자 미상 문자,text from an unknown sender,"spouse-01 e-4 surfaceName (the surface form for ""형 문자 스레드"").",cases/generated/spouse-01 e-4.surfaceName,new_script_term,medium,"This is the surface-only label. Avoid ""anonymous text"" which sounds threatening; the case-data is deliberately neutral."
개인 계좌 출금 내역,personal account withdrawal record,"spouse-01 e-5 surfaceName.",cases/generated/spouse-01 e-5.surfaceName,new_script_term,low,
공동 적금 해지 서류,joint savings cancellation record,"spouse-01 e-7 surfaceName.",cases/generated/spouse-01 e-7.surfaceName,new_script_term,low,Alt: joint savings closure paperwork.
경비원,security guard,"spouse-01 w-1 (오피스텔 경비).",witnessTestimonyData/spouse-01.ts + scriptedText witness w-1,new_script_term,low,
은행 직원,bank teller / bank employee,"spouse-01 w-2.",witnessTestimonyData + scriptedText witness w-2,new_script_term,low,
삼촌이 챙겨주는,(things) Uncle picks up,"spouse-01 e-1 description (truth-leaking).",cases/generated/spouse-01 e-1.description (truth field),conflicts,high,"Truth-channel string. ""삼촌이 챙겨주는"" must NOT appear on surface channels. EN equivalent ""things Uncle picks up"" or ""things the uncle gets"" — same constraint applies to EN forbidden-lexeme set."
조카 학교 알림,nephew's school notice,"spouse-01 e-4 description (truth-leaking).",cases/generated/spouse-01 e-4.description (truth field),conflicts,high,Same constraint. Forbidden-lexeme equivalent in EN.
형 빚,brother's debt,"spouse-01 truth-channel — disclosure-policy §4.1 forbidden lexeme.",spouse-01 truth fields,conflicts,high,Forbidden in EN surface channels too.
형에게 전달,handed (cash) to brother,"spouse-01 truth-channel.",spouse-01 truth fields,conflicts,high,Same.
형의 오피스텔,brother's studio apartment,"spouse-01 truth-channel.",spouse-01 truth fields,conflicts,high,Same.
유서를 손댄,(someone) tampered with the will,"family-01 paraphrase set — forbidden in surface channels.",disclosure-policy §4.2 paraphrase set,conflicts,high,EN paraphrase set: ""tampered with the will"" / ""altered the will"" / ""changed the will"" — translator must keep the equivalent phrasing as guarded.
20년 동안 매달 보낸,20 years of monthly transfers,"family-01 truth — long-term remittance to mother.",family-01 truth fields,conflicts,high,Forbidden in EN surface channels before S5.
60대 40,60-40 split,"family-01 will ratio. Disclosure-policy lists 60대 40, 60대40, 40 대 60 as paraphrase variants.",family-01 truth fields + paraphrase set,conflicts,high,"EN paraphrase variants: ""60-40"", ""60/40"", ""60 to 40"", ""40 to 60"" — guard must catch all."
출생 비밀,birth secret / parentage secret,"family-01 truth (혈연 다른).",family-01 truth fields,conflicts,high,Forbidden in EN surface channels.
혈연이 다른,unrelated by blood / not blood-related,"family-01 truth.",family-01 truth fields,conflicts,high,Same. EN paraphrase guard input.
선을 넘는 메시지,inappropriate message / out-of-line message,"friend-01 d-1 truth. Disclosure-policy §4.3 paraphrase set.",friend-01 truth fields,conflicts,high,"EN equivalent: ""inappropriate message"", ""crossing the line"", ""out of line"" — all forbidden in surface channels before S5."
예비신랑,fiance / fiancé,"friend-01 — A's fiance.",scriptedText/friend-01 + cases/generated/friend-01,new_script_term,low,EN locked.
아버지의 사기,father's fraud / father's scam,"friend-01 truth (A 아버지가 과거 B 아버지에게 사기).",friend-01 truth fields,conflicts,high,Forbidden in EN surface channels before S5.
같은 패턴 반복,same pattern repeating,"friend-01 paraphrase set.",friend-01 paraphrase set,conflicts,high,EN equivalents.
관찰,Observation,UI surface glossary already has it,messages/court.ts,matches,low,Reuse glossary.
사실 추궁,Fact Pursuit,Question type label.,scriptedText keys + UI,matches,low,Glossary fact_pursuit=Fact Pursuit.
동기 탐색,Motive Search,Question type.,(same),matches,low,Glossary motive_search=Motive Search.
공감 접근,Empathy Approach,Question type.,(same),matches,low,Glossary empathy_approach=Empathy Approach.
방어 / 동요 / 변명 / 궁지 / 붕괴 / 자백,Defense / Wavering / Excuse / Cornered / Breaking / Confession,LieState labels.,system_message + UI badges,matches,low,Glossary lie_state_s0..s5 — stay consistent with UI labels.
자기야,Honey / love (KO conjugal endearment),"phase1 spouse-01 — A→B and B→A direct address.",dialogues/phase1/spouse-01,new_script_term,medium,"Honey reads natural as a stressed-couple conjugal endearment in EN courtroom register. Avoid ""darling"" (too period). Locked candidate per case."
재판관님,(also vocative ""Your Honor"") - reused row dropped intentionally,,,,,
김 씨 / 박 씨,Mr. / Mrs. (surname),"S2 throttle — disclosure-policy §3.1 maps 김 씨 to surname-only address.",scriptedText interrogation S2,new_script_term,medium,"EN convention: Mr./Mrs./Ms. + last name. The S2 ""김 씨"" register exists to preserve formality without revealing intimacy. Recommend Mr. / Mrs. + surname; locked per case."
그 사람,that person,S0/S1 throttle — disclosure-policy §3.1.,scriptedText interrogation S0/S1,new_script_term,low,Locked.
그곳,that place,S0/S1 throttle.,scriptedText interrogation S0/S1,new_script_term,low,Locked.
해당 금액,the amount in question,S0/S1 throttle.,scriptedText interrogation S0/S1,new_script_term,low,Alt: that amount / the said amount.
재판관님 측,re: judge,(rare) — likely scripted error if found,,,,
직접 추궁하시거나,if you press directly,"combinationLab.outputs.dc-2.judgeHint surface phrasing",cases/generated/spouse-01,new_script_term,low,"Recommend ""press directly"" or ""ask directly"" for EN judgeHint."
