key_or_source,locale,current_proposal,shorter_alternative,notes
pc.verdictAdvance.minimumVisible,zh-CN,需要至少揭示 {required} 个争议点后才能进入裁决。当前已揭示 {visible} 个。,至少揭示 {required} 个争议点才能进入裁决。当前 {visible} 个。,Reduce padding word.
splash.subtitle,ja,法廷シミュレーションゲーム,法廷シミュ,Compact for very narrow splash. Default OK.
splash.subtitle,zh-CN,法庭模拟游戏,法庭模拟,Compact for very narrow splash. Default OK.
home.gameTitle,en,Verdict Zero: Trial of Truth,Verdict Zero / Trial of Truth (2-line),"Stack on Steam Deck 1280×800 (Thread-04 P0-3 — controlled wrap)."
home.gameTitle,ja,ソロモンのジレンマ：真実の裁き,ソロモンのジレンマ / 真実の裁き (2-line),Same.
home.gameTitle,zh-CN,真相裁决：零点审判,真相裁决 / 零点审判 (2-line),Same.
result.tab.* numeric prefix,en,01 Result / 02 Verdict / 03 Epilogue / 04 Bonus,Result / Verdict / Epilogue / Bonus,Drop numeric prefix on non-KO. Thread-04 P0-4. Resolves Thread-01 conflict.
result.tab.* numeric prefix,ja,01 結果確認 / 02 判決宣告 / 03 後日談 / 04 ボーナス,結果 / 判決 / 後日談 / ボーナス,Same.
result.tab.* numeric prefix,zh-CN,01 结果 / 02 判决 / 03 后日谈 / 04 奖励,结果 / 判决 / 后日谈 / 奖励,Same.
verdict.step.* numeric prefix,en,01 Dispute Judgment / 02 Responsibility / 03 Solutions / 04 Verdict,Disputes / Responsibility / Solution / Verdict,Same.
verdict.step.* numeric prefix,ja,01 争点判断 / 02 責任配分 / 03 解決策 / 04 判決文,争点判断 / 責任配分 / 解決策 / 判決文,Same.
verdict.step.* numeric prefix,zh-CN,01 争点判断 / 02 责任分配 / 03 解决方案 / 04 判决文,争点判断 / 责任分配 / 解决方案 / 判决文,Same.
court.tools.investigation,en,Investigation Resource (header tool button),Token (compact),Header shows icon + counter only; tooltip is full text.
court.tools.skill,en,Skill Points,Skill (compact),Same header pattern.
court.tools.courtControl,en,Court Control,Court (compact),Same header pattern.
testConsole.investigationTokens,en,Investigation Token,Token,Test console resource head — Thread-04 P2-1.
testConsole.skillPoints,en,Skill Point,Skill,Same.
testConsole.courtControl,en,Court Control,Court,Same.
phase.advance.label.toVerdict,en,Advance to Verdict,To Verdict,Drop verb when banner sentence already says ready.
phase.advance.label.toReexam,en,Advance to Final Interrogation,To Final Interrogation,Same.
phase.advance.label.next,en,Advance to Next Phase,Next Phase,Same.
