source_term_or_id,en,ja,zh_cn,notes
investigation_token,Investigation Token,調査トークン,调查点数,zh-CN delta applied.
skill_point,Skill Point,スキルポイント,技能点,Glossary-aligned.
court_control,Court Control,法廷掌握,法庭掌控,KR canonicalize 법정 장악 (drop 법정 지배력).
trust,Trust,信頼,信任,zh-CN delta applied (was 信任度).
trust_state_high,Trusting,信頼,信任,Trust meter bucket.
trust_state_mid,Cautious,警戒,警觉,Trust meter bucket.
trust_state_low,Suspicious,疑念,怀疑,Trust meter bucket.
stress,Stress,圧力,压力,Engine-only.
perk,Perk,パーク,特性,Locale-specific by design.
trait,Trait,特性 / 傾向 (axis-trait),特质 / 倾向 (axis-trait),KR-side cleanup pending: 특성 vs 성향 distinction.
permission_level,Permission Level,権限レベル,权限等级,"Renamed from clearance. Permission/security/unlock concept."
clearance_rate,Completion Rate (compact: Completion),達成度,完成度,EN prefers Completion Rate; compact Completion.
session,Session,セッション,会话,Glossary-aligned.
season,Season,シーズン,赛季,NEW row. Lobby category grouping; distinct from session.
save_data,Save Data,セーブデータ,存档数据,Glossary-aligned.
mock_mode,Mock Mode,モックモード,模拟模式,Engine-only.
test_console,Test Console,テストコンソール,测试控制台,KR uses Token Console literal; KO normalize first.
llm,LLM,LLM,LLM,Locked.
api,API,API,API,Locked.
jwt,JWT,JWT,JWT,Locked.
score_axis_insight,Insight,洞察,洞察,Score-axis. JA/zh-CN needs-rework pending native review.
score_axis_authority,Authority,権威,权威,Score-axis. CRITICAL — disambiguates from gameplay verdict.
score_axis_wisdom,Wisdom,知恵,智慧,Score-axis. Distinct from solution.
demand_answer,Demand Answer,即答要求,即答要求,UI action noun.
demand_bark,Answer me!,即答してください！,请立即回答！,NEW. In-character spoken bark for demand_answer.
separate_interrogation,Separate Interrogation,個別尋問,分别讯问,Special action.
confidential_protection,Confidential Protection,非公開保護,保密保护,Special action.
objection,Objection (noun) / Raise Objection (button),異議申立 (noun) / 異議を申し立てる (button),异议 (noun) / 提出异议 (button),"3-tier split: glossary noun (compact) / UI verb-button / spoken bark."
objection_bark,Objection!,異議あり！,反对！,In-character spoken bark.
truth_progress,Truth Progress,真相把握段階,真相进度,Per-dispute truth-stage gauge.
combination,Combination,組合せ,组合,Card-combination gameplay concept.
judge_fragment,Verdict Fragment,判決の欠片,判决碎片,Used 11× JA + 9 sub-types.
judge_title,Title,称号,称号,KO source 타이틀 → 칭호 rename (PROJECT_CONTROL_TOWER decision 6).
emotion_defensive,Guarded,警戒,警戒,Emotion meter state.
emotion_confident,Confident,自信,自信,Emotion meter state.
emotion_shaken,Shaken,動揺,动摇,Emotion meter state.
emotion_angry,Enraged,激昂,激愤,Emotion meter state.
emotion_resigned,Resigned,諦観,认命,zh-CN uses 认命 (PROJECT_CONTROL_TOWER decision 8).
lie_state_s0,Defense,防衛,防御,Lie state stage S0.
lie_state_s1,Wavering,動揺,动摇,Note: same KR as emotion_shaken — verify intentional.
lie_state_s2,Excuse,弁明,辩解,Lie state stage S2.
lie_state_s3,Cornered,窮地,窘迫,Lie state stage S3.
lie_state_s4,Breaking,崩壊,崩溃,Lie state stage S4.
lie_state_s5,Confession,自白,自白,Lie state stage S5.
fragment_reasoning,Reasoning Fragment,論理の欠片,逻辑碎片,Trait fragment.
fragment_inquiry,Inquiry Fragment,探究の欠片,探究碎片,Trait fragment.
fragment_empathy,Empathy Fragment,共感の欠片,共情碎片,Trait fragment.
fragment_severity,Severity Fragment,厳正の欠片,严正碎片,KR axis cleanup: 엄정 reserved for fragment.
fragment_deliberation,Deliberation Fragment,審議の欠片,审议碎片,Trait fragment.
fragment_leniency,Leniency Fragment,寛容の欠片,宽容碎片,Trait fragment.
fragment_jurisprudence,Jurisprudence Fragment,法理の欠片,法理碎片,Trait fragment.
fragment_balance,Balance Fragment,均衡の欠片,均衡碎片,Trait fragment.
fragment_reconciliation,Reconciliation Fragment,和解の欠片,和解碎片,화해 = reconciliation (distinct from 봉합 = closure).
axis_resolution_pole,Closure,収拾,弥合,봉합 = patching over. JA/zh-CN need native verification.
axis_principle_pole,Principle,原則,原则,Resolution-axis left pole.
axis_logic_pole,Logic,論理,逻辑,Inquiry-axis left pole.
axis_intuition_pole,Intuition,直感,直觉,Inquiry-axis right pole.
axis_severity_pole,Strict,厳格,严格,Judgment-axis left pole. KR cleanup: 엄격 (axis pole) vs 엄정 (fragment).
axis_leniency_pole,Lenient,寛容,宽容,Judgment-axis right pole.
rarity_common,Common,コモン,普通,JA needs-rework: コモン (loanword) vs 一般 (kanji).
rarity_rare,Rare,レア,稀有,Title rarity.
rarity_epic,Epic,エピック,史诗,KR 영웅 literal but Epic = gaming convention.
rarity_legendary,Legendary,レジェンダリー,传说,Title rarity.
relationship_spouse,Spouse,夫婦,夫妻,Session category.
relationship_family,Family,家族,家庭,Session category.
relationship_friend,Friend,友人,朋友,Session category.
relationship_neighbor,Neighbor,隣人,邻居,Session category.
relationship_partnership,Business Partner,共同事業,合伙,Session category.
relationship_workplace,Workplace,職場,职场,Session category.
relationship_tenant_landlord,Tenant–Landlord,賃借人・家主,租户·房东,Session category.
relationship_online,Online,オンライン,网络,Session category.
relationship_medical_education,Medical / Education,医療・教育,医疗·教育,Session category.
relationship_public_system,Public / Civic,公共・制度,公共·制度,Session category.
hotbar.slot.fact compact (EN only),Facts,—,—,EN compact alias for narrow buckets.
hotbar.slot.motive compact (EN only),Motive,—,—,Compact alias.
hotbar.slot.empathy compact (EN only),Empathy,—,—,Compact alias.
hotbar.slot.free compact (EN only),Free Q,—,—,Compact alias.
hotbar.slot.evidence compact (EN only),Evidence,—,—,Compact alias.
hotbar.slot.witness compact (EN only),Witness,—,—,Compact alias.
hotbar.special.separation compact (EN only),Separate,—,—,Compact alias.
hotbar.special.confidential compact (EN only),Confidential,—,—,Compact alias.
hotbar.special.immediate compact (EN only),Immediate,—,—,Compact alias.
result.tab.* / verdict.step.* numeric prefix,(prefix dropped — Result/Verdict/Epilogue/Bonus + Disputes/Responsibility/Solution/Verdict),(prefix dropped — 結果/判決/後日談/ボーナス + 争点判断/責任配分/解決策/判決文),(prefix dropped — 结果/判决/后日谈/奖励 + 争点判断/责任分配/解决方案/判决文),KO retains numeric prefix; non-KO drops. Thread-04 P0-4. RESOLVES Thread-01 SOURCE_STRING_MAP `01 Result` proposal — must update to drop prefix.
home.gameTitle,Verdict Zero: Trial of Truth,ソロモンのジレンマ：真実の裁き,真相裁决：零点审判,Consumes brand_full_title.
splash.title (split rendering option),Verdict Zero,ソロモンのジレンマ,真相裁决,Optional split rendering using brand_title.
splash.subtitle (genre eyebrow),COURT SIMULATION GAME,法廷シミュレーションゲーム,法庭模拟游戏,EN ALL-CAPS scoped via [lang^=en] CSS. Other locales sentence form.
home.tagline (current i18n value),Take the bench and weigh every claim against the truth.,現代の裁判官となり、証言の奥にある真相を見極めましょう。,化身现代裁判官，辨明证词背后的真相。,EN brand-clean (no Solomon). JA + zh-CN patches enforce 裁判官 alignment.
pcHomeShared.ts:134 (intro slide 1 title — pending i18n promotion),Step onto the bench and untangle every dispute yourself.,現代の裁判官として葛藤を解きほぐしてください。 (proposal — JA team to verify),化身现代裁判官，亲手化解每一桩纠纷。 (proposal — zh-CN team to verify),"KO source may keep 솔로몬 metaphor (KO/JA brand rule allows). EN/zh-CN MUST avoid Solomon. Promote PC_HOME_INTRO_SLIDES to i18n first; brand-clean translations land after."
pc.notes.unseen,({count} unverified),（未確認項目 {count}件）,（未确认项目 {count} 个）,EN tone fix: unseen → unverified (matches KO 미확인).
pc.combo.ready,{count} ready to combine,組み合わせ可能 {count}件 ─ 今すぐ連結できます,可组合 {count} 个 — 现在可连接,EN drops `connect now`; em-dash polish on JA + zh-CN.
pc.recordSummary.moreConvincing,{party}'s claim is more convincing.,{party}側の主張のほうが説得力があると判断しました。,判定 {party} 一方的主张更有说服力。,Typographic apostrophe + present tense on EN.
pc.verdictAdvance.conditionsMissing,"Verdict conditions are not met yet. Verify each dispute, truth, and evidence first.","まだ判決条件を満たしていません。争点ごとの真相と証拠をさらに確認してください。",尚未满足裁决条件。请先确认各争议点的真相与证据。,JA truth=真相 alignment; zh-CN uses 裁决 (process/action sense).
pc.verdict.factOption.partyClaimCorrectWithContradiction,Differs from facts — {party}'s claim,この争点は事実と異なります ─ {party}側の主張が正しい,该争议点与事实不符 — {party} 一方的主张正确,EN compact alt for verdict picker; em-dash polish on JA + zh-CN.
pc.verdict.responsibility.major,Primary responsibility: {party},{party}側に主たる責任,{party} 一方承担主要责任,EN: KO 주요 책임 closer to Primary than Major.
pc.home.countdown.ready,Ready soon,まもなく回復,即将补充,zh-CN delta: 恢复 → 补充 (KO 충전 = recharge).
pc.actions.objectionLabel (button),Raise Objection,異議を申し立てる,提出异议,3-tier split: button uses verb form. Compact 2-char glossary noun (异议 / Objection / 異議申立) reserved for chip space.
