priority,locale,key_or_source,issue,recommendation
P1,all,9 hardcoded KO toast/dialogue literals (Thread-02),"Thread-02 P1: showToast in PCInteractionPanel ×2 / PCRightPanel ×4 / useActionDispatch ×2 / resourceSlice ×2 still ship raw KO. Examples: 스킬 포인트가 부족합니다. / 같은 카드가 이미 슬롯에 있습니다. / 조합은 하이라이트 중인 핵심 발언만 가능합니다. / 법정 장악이 부족합니다. / 증인의 증언 생성에 실패했습니다. 토큰을 반환했습니다.","Codex: wire via new namespace pc.toast.* + pc.dialogue.system.* + pc.resource.recovery.*.failure. Detailed mapping in Thread-02 SOURCE_STRING_MAP.csv."
P1,en,hotbar slot label overflow,"Thread-01 P0 + Thread-04 P1 (LAYOUT_RISKS row 14): KO 4 chars vs EN 12-16 chars. No clamp/ellipsis fallback in current CSS.","Apply Thread-04 P0-7 (2-line clamp + min-height) AND register compact EN aliases via t() (Facts / Motive / Empathy / Free Q / Evidence / Witness). User decision (Thread-04 Q5): glossary `compact` column or t() only?"
P1,en,hotbar special-btn label overflow,"Thread-01 P0 + Thread-04 P1 (LAYOUT_RISKS row 13): KO 4 chars vs EN 8-13 chars. Demand Answer is widest.","Apply Thread-04 P0-7 (≥1320px max-width 120px; <1320px collapse inner span). Register compact EN aliases (Separate / Confidential / Immediate / Answer Now)."
P1,en,verdict factOption EN 2-line wrap,"Thread-01 LONG_TEXT_RISKS row 7 (P0 in original): `This dispute differs from the facts — {party}'s claim is correct` exceeds 1 line in verdict picker after name interpolation.","Compact alt: `Differs from facts — {party}'s claim`. Add CSS [lang=""en""] .pc-verdict-fact__option-text { font-size: 13px; }."
P1,zh-CN,~250 hardcoded zh-CN UI strings still uncovered,"Thread-03 SUMMARY: ~250 strings in PC source not yet in i18n (this restart pass only audited 55 i18n keys + flagged the gap).","Codex bulk migration. Sequence: PCSettingsPanel CATEGORIES + AboutSection (P0) → PCVerdictScreen STEPS + footer (P0) → PCBottomDock hotbar (P0) → other surfaces (P1)."
P1,en,objection rendering split (3 forms),"Thread-03 patches `pc.interaction.objectionLabel` = `提出异议` (verb-button, 4 chars) while glossary objection (UI noun) = 异议 (2 chars) and objection_bark = 反对！. The button uses a 4-char verb form. NOT a contradiction with the rule but adds a third form.","Document the 3-tier split in glossary objection row notes: glossary noun=异议 (2 chars compact), UI verb-button=提出异议 (4 chars action), spoken bark=反对！ (in-character dialogue). Apply same pattern in EN: noun Objection / button Raise Objection / bark Objection!."
P1,all,objection_bark currently routed via UI thread,"Thread-02 §4 + Thread-01 §8: in-character spoken lines (이의 있습니다. / 즉답을 요구합니다.) flow through addDialogue. Translation must run check:policy.","Wire as separate keys pc.actions.objection.dialogue + pc.actions.demand.dialogue. EN/JA/zh-CN values from glossary objection_bark + new demand_bark. After landing, run npm run check:policy."
P1,en,splash.subtitle EN ALL-CAPS retention,"Thread-01 question 5: KO `법정 시뮬레이션 게임` is sentence form; EN `COURT SIMULATION GAME` is ALL-CAPS branding. JA `法廷シミュレーションゲーム` / zh-CN `法庭模拟游戏` are sentence form. EN intentionally diverges per Steam-style splash convention.","Approve EN ALL-CAPS retention. Update glossary court_simulation note to: `Title Case in body; ALL-CAPS in genre eyebrows (EN only).` Per Thread-04 P0-2 the uppercase rule is already scoped to html[lang^='en']."
P1,all,score_axis_* glossary status,"Glossary lines 83-85 currently mark score_axis_insight/authority/wisdom as needs-rework. Thread-01 audits with high-confidence: EN=Insight/Authority/Wisdom. JA=洞察/権威/知恵 + zh-CN=洞察/权威/智慧 still need native verification.","Update status: EN values can promote to draft (high confidence). JA + zh-CN remain needs-rework pending native review. No value change."
P1,all,4-key duplication for full-title,"Thread-01 question 4: 4 keys carry the same locked brand_full_title value (app.title / brand.fullTitle / home.gameTitle / settings.about.credits.title). DRY violation. If brand changes once, 4 places must update.","Codex: refactor 3 keys to read brand.fullTitle (e.g. app.title := brand.fullTitle, home.gameTitle := brand.fullTitle, settings.about.credits.title := brand.fullTitle). Or define them as TS const in messages/common.ts and reference from other namespaces."
P1,all,EN brand band overflow on PCIntroSlides,"Thread-04 P1 row 8: `Verdict Zero: Trial of Truth | COURT SIMULATION GAME | <kicker>` overflows at 1280×800.","Apply Thread-04 P1-1 CSS (.pc-intro__brand flex-wrap:wrap + 3 children min-width:0 + ellipsis) and translate intro buttons via intro.{skip|prev|next|enter}."
P1,all,~80 hardcoded ko literals across PCHomeScreen modes/desk/leaderboard/settings,"Thread-04 P1 row 9-15: '일반 모드' / '시즌 모드' / '재판관 정보' / '판결 기록' / '재판관 관리' / '리더보드' / '시즌 랭킹' / '명예의 전당' / '설정' / 'NORMAL MODE' badge / AxisRow poles / leaderboard rows etc.","Bulk migrate to home.* namespace per Thread-04 P1-2 spec. CSS guards on .pc-mode-card__title / .pc-axis-row__pole / .pc-ranking-row-v2."
P1,all,EN word-break + overflow-wrap baseline missing,"Thread-04 P1 row 21: 80+ rules with word-break:keep-all without paired overflow-wrap; EN long words won't break in flex containers.","Apply Thread-04 P0-1 i18n base CSS (one block adds locale-aware text-wrap defaults)."
P1,all,Steam Deck breakpoint (1280×800),"Thread-04 P1 row 22 + Q7: Steam Deck sits exactly on 1320px boundary; EN/JA hotbar special row clips between steps.","Apply Thread-04 P1-7 Steam-Deck-tuned media query. User decision (Q7): confirm 1280×800 is absolute minimum (no 1024×768 target)."
P1,all,Solution category labels need design sign-off,"Thread-01 §9 (carry-over from previous Thread-05): 14 entries in verdict.solutionCategory.* are gameplay buckets, not pure UI labels. Translations proposed but flagged do-not-auto-apply.","Out of scope for Thread-05. Hand off to design/QA before EN integration. Block JA + zh-CN translation until EN signs off so all locales translate the same canonical English values."
P1,all,JudgeObservationSection stringly-typed Set keys,"Thread-04 P2 row 25: LOW_VALUE_OBSERVATION_TITLES / IMPORTANT_EVENT_OBSERVATION_TITLES use Korean string keys. Once translated they will not match the Set lookups; filtering logic silently fails.","Decouple keys from labels. Store internal id ('decisive_question_unlock') and render localized title via t(). Migration cost flagged for PROJECT_CONTROL_TOWER scheduling."
P2,en,pc.notes.unseen tone,"Thread-01 patch: `unseen` → `unverified` (matches KO 미확인 항목 = unverified/unconfirmed). Tonal mismatch fix.","Apply changed patch."
P2,en,pc.combo.* polish,"Thread-01 patches: redundant `available now`, em-dash, drops `are` for compactness, Title Case for `Combinable Item Details`. 6 changed keys.","Apply 6 changed patches (high confidence)."
P2,en,pc.recordSummary.moreConvincing typography + tense,"Thread-01 patch: typographic apostrophe + present tense.","Apply changed patch."
P2,en,pc.verdict typography + Title Case,"Thread-01 patches: em-dash + typographic apostrophe + Title Case for buttons. 5 changed keys.","Apply 5 changed patches."
P2,en,pc.verdict.responsibility.major Major → Primary,"Thread-01 patch: KO 주요 책임 closer to Primary; reads cleaner alongside Greater.","Apply patch."
P2,en,pc.verdict.responsibility.similar Similar → Comparable,"Thread-01 patch: needs_native_review.","Apply patch (low risk)."
P2,en,pc.profile.fragments.needCount noun-first,"Thread-01 patch: `Need at least {count}` → `At least {count} required` for parallelism with pc.perk.required.","Apply patch."
P2,ja,JA polish patches (7 changed),"Thread-02 patches: 真実→真相, 裁き手→裁판官, 接続可能→連結できます, 準備できました→揃いました, 主な責任→主たる責任, ASCII hyphen→em-dash, 真実→真相 in conditionsMissing.","Apply 7 changed patches."
P2,ja,JA needs_native_review (7 patches),"Thread-02 needs_native_review: minor flow refinement on steam.authRequired.description / pc.resolutionConfirm.rollback / pc.combo.potential variant / pc.verdictAdvance.minimumVisible 進行→進められる / pc.verdictAdvance.hidden.body 明らかな→明らかになっている / pc.verdict.responsibility.major 主な→主たる / pc.verdict.responsibility.similar 近い→同等.","Defer to JA native review pass. Apply changed patches first; needs_native_review patches can ship with native pass."
P2,zh-CN,zh-CN em-dash polish (3 changed),"Thread-03: pc.combo.ready / pc.combo.potential / pc.verdict.factOption.partyClaimCorrectWithContradiction — replace ASCII hyphen with em-dash for CJK polish.","Apply 3 changed patches."
P2,all,Steam Deck CJK font-size floor,"Thread-04 P2 row 26: 100+ instances of font-size 9-10px; CJK glyphs unreadable on Steam Deck DPI.","Apply Thread-04 P2-3 floor CSS (CJK font-size:11px) for slot-nm / hotbar-special-btn / settings sidebar badge."
P2,all,Compact hotbar aliases storage decision,"Thread-04 Q5: where do compact EN aliases (Facts/Motive/Empathy/Free Q/Evidence/Witness) live?","User decision. Recommend t() keys with `.compact` suffix (hotbar.slot.fact.compact = Facts) — simpler than glossary `compact` column. JA/zh-CN do not need compact aliases."
P2,all,ModeCard NORMAL MODE badge mixed source,"Thread-04 Q4 + LAYOUT_RISKS row 9: badge='NORMAL MODE' (EN brand) + season.name (KO) both feed .pc-mode-card__badge styling that uppercases + tracks. Mixed render: EN brand OK, KO season distorted.","User decision (Q4). Recommend split: keep .pc-mode-card__badge--brand for EN constants (uppercase + 0.2em locked) and .pc-mode-card__badge--locale for season.name etc. (text-transform:none + letter-spacing:0.04em)."
P2,all,observation Set migration sequence,"Thread-04 Q6: PC_HOME_INTRO_SLIDES + EMOTION_LABELS + observation Set keys all use stringly-typed KO keys. Migration order matters because Set lookups break on translation.","User decision (Q6). Recommend: (1) PC_HOME_INTRO_SLIDES first (P0 brand leak); (2) EMOTION_LABELS / TYPE_LABELS extract to shared label helper (Thread-01 §2) before hotbar P0-7 lands; (3) observation Set decouple last (P2 priority)."
