term_id,category,ko,frequency,case_scope,sample_context_1,sample_context_2,sample_context_3,current_en,current_ja,current_zh,notes
WITNESS-005,WITNESS,박준혁,34,friend-01,friend-01 case_surface_content: w-2 박준혁 증언 축,friend-01 case_surface_content: 박준혁,friend-01 case_surface_content: 박준혁을 통해 예비신랑의 행동 패턴 확인,Park Jun-hyeok,パク・ジュンヒョク,朴俊赫,P0 explicit witness name (w-2) from generated case metadata. / P0 explicit w-2 label from generated case metadata. / 검수: 증인 인명 표기 통일
WITNESS-006,WITNESS,오미경,34,friend-01,friend-01 case_surface_content: w-3 오미경 증언 축,friend-01 case_surface_content: 오미경,friend-01 case_surface_content: 오미경을 통해 과거 돈 거래 목격 사실 확인,Oh Mi-gyeong,オ・ミギョン,吴美京,P0 explicit witness name (w-3) from generated case metadata. / P0 explicit w-3 label from generated case metadata. / 검수: 증인 인명 표기 통일
WITNESS-007,WITNESS,오피스텔 경비,34,spouse-01,spouse-01 case_surface_content: w-1 오피스텔 경비 증언 축,spouse-01 case_surface_content: 이제 오피스텔 경비를 증인으로 불러 동선을 확정하실 수 있습니다.,spouse-01 case_surface_content: 오피스텔 경비,Officetel Security Guard,オフィステル警備員,韩式商住公寓保安,P0 explicit witness name (w-1) from generated case metadata. / P0 explicit w-1 label from generated case metadata. / 검수: 한국식 오피스텔 맥락 유지
WITNESS-008,WITNESS,김영수,33,family-01,family-01 case_surface_content: w-2 김영수 증언 축,family-01 case_surface_content: 김영수,(global) hardcoded_source_literal: 김영수,Kim Yeong-su,キム・ヨンス,金英秀,P0 explicit witness name (w-2) from generated case metadata. / P0 explicit w-2 label from generated case metadata. / 검수: 증인 인명 표기 통일
WITNESS-009,WITNESS,박순애,33,family-01,family-01 case_surface_content: w-3 박순애 증언 축,family-01 case_surface_content: 박순애,(global) hardcoded_source_literal: 박순애,Park Sun-ae,パク・スネ,朴顺爱,P0 explicit witness name (w-3) from generated case metadata. / P0 explicit w-3 label from generated case metadata. / 검수: 증인 인명 표기 통일
EVIDENCE-001,EVIDENCE,연락 기록,121,friend-01,friend-01 case_surface_content: e-1 연락 기록,"friend-01 case_surface_content: 연락 기록과 단톡방 캡처를 대조하면, 최수민의 연락 사실이 확인도 없이 '집착'으로 프레이밍된 과정이 보인다.","friend-01 case_surface_content: 연락 기록과 예비신랑의 선 넘는 메시지를 대조해본 결과, 선을 넘은 건 예비신랑이었던 것으로 보인다. 새로운 증인에게 관련 사실을 묻도록 하자.",Contact Logs,連絡記録,联系记录,P0 explicit e-1 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-002,EVIDENCE,단톡방 캡처,81,friend-01,friend-01 case_surface_content: e-2 단톡방 캡처,"friend-01 case_surface_content: 연락 기록과 단톡방 캡처를 대조하면, 최수민의 연락 사실이 확인도 없이 '집착'으로 프레이밍된 과정이 보인다.",friend-01 case_surface_content: 단톡방 캡처,Group Chat Screenshot,グループチャットのスクリーンショット,群聊截图,P0 explicit e-2 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-003,EVIDENCE,대조표,73,friend-01,friend-01 case_surface_content: e-7 대조표,"friend-01 case_surface_content: 예비신랑의 접근과 대조표를 합치면, 최수민의 연락이 경고였다는 결론이 강화된다.",friend-01 case_surface_content: 과거 카톡과 대조표를 합치면 두 시점 모두 말이 끊긴 순서가 반복됩니다. 누가 먼저 단정했고 누가 침묵했는지는 심문으로 확인해야 합니다.,Comparison Chart,対照表,对照表,P0 explicit e-7 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-004,EVIDENCE,과거 카톡,59,friend-01,friend-01 case_surface_content: e-3 과거 카톡,friend-01 case_surface_content: 과거 카톡과 대조표를 합치면 두 시점 모두 말이 끊긴 순서가 반복됩니다. 누가 먼저 단정했고 누가 침묵했는지는 심문으로 확인해야 합니다.,"friend-01 case_surface_content: 과거 카톡의 '돈 문제' 언급과 과거 송금 기록을 대조하면, 손절의 진짜 원인이 변심이 아니라 차용금 미상환 문제였다는 사실이 드러난다.",Old KakaoTalk Chat,過去のカカオトーク,过去的KakaoTalk,P0 explicit e-3 label from generated case metadata. / 검수: 카카오톡 고유명 유지
EVIDENCE-005,EVIDENCE,발신자 미상 문자,54,spouse-01,spouse-01 case_surface_content: e-4 발신자 미상 문자,spouse-01 case_surface_content: 이 감정 패턴을 이준호 씨에게 직접 추궁하시거나 발신자 미상 문자(e-4)를 제시하면 구체적 사연이 드러날 것입니다.,spouse-01 case_surface_content: 발신자 미상 문자,Text from Unknown Sender,送信者不明のメッセージ,未知发件人短信,P0 explicit evidence label (e-4) from generated case metadata. / P0 explicit e-4 label from generated case metadata. / 검수: 오역 수정
EVIDENCE-006,EVIDENCE,예비신랑 메시지,41,friend-01,friend-01 case_surface_content: e-4 예비신랑 메시지,"friend-01 case_surface_content: 수민이 '참았어야 했다'는 말과 예비신랑 메시지를 대조해본 결과, 선을 넘은 건 예비신랑이었던 것으로 보인다. 새로운 증인에게 관련 사실을 묻도록 하자.",friend-01 case_surface_content: 예비신랑 메시지,Fiancé's Message,婚約者のメッセージ,未婚夫留言,P0 explicit e-4 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-007,EVIDENCE,통화기록,32,spouse-01,friend-01 case_surface_content: 원본 통화기록 대조 중,spouse-01 case_surface_content: e-3 새벽 통화기록,spouse-01 case_surface_content: 새벽 통화기록,Call Logs,通話記録,通话记录,P0 explicit evidence label (e-3) from generated case metadata. / P0 explicit e-3 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-008,EVIDENCE,어머니 일기장,29,family-01,family-01 case_surface_content: e-7 어머니 일기장,family-01 case_surface_content: 자필 연습본과 어머니 일기장의 시점이 한 흐름으로 묶인다. 비율을 낮춰 가면서까지 막으려 한 것이 무엇인지 물어야 한다.,family-01 case_surface_content: 유서 비율과 어머니 일기장의 기록이 겹친다. 장남 당연시와 보호 명분이 같은 구조 위에 서 있다.,Mother's Diary,母の日記,母亲日记,P0 explicit evidence label (e-7) from generated case metadata. / P0 explicit e-7 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-009,EVIDENCE,과거 송금 기록,27,friend-01,friend-01 case_surface_content: e-6 과거 송금 기록,"friend-01 case_surface_content: 과거 카톡의 '돈 문제' 언급과 과거 송금 기록을 대조하면, 손절의 진짜 원인이 변심이 아니라 차용금 미상환 문제였다는 사실이 드러난다.",friend-01 case_surface_content: 과거 송금 기록,Past Transfer Records,過去の送金記録,过往转账记录,P0 explicit e-6 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-010,EVIDENCE,공증인 메모 기록,24,family-01,family-01 case_surface_content: e-4 공증인 메모 기록,family-01 case_surface_content: 윤정후의 차단 발언과 공증인 메모 기록이 맞물린다. 유언장에 손댄 경위를 따져야 한다.,family-01 case_surface_content: 공증인 메모 기록,Notary's Memo Notes,公証人のメモ記録,公证人备忘记录,P0 explicit evidence label (e-4) from generated case metadata. / P0 explicit e-4 label from generated case metadata. / 검수: 공증 용어 통일
EVIDENCE-011,EVIDENCE,오래된 계좌 흐름,21,family-01,family-01 case_surface_content: e-6 오래된 계좌 흐름,family-01 case_surface_content: 자필 연습본의 비율과 오래된 계좌 흐름이 이어집니다. 어머니 통장을 거친 돈의 출처를 확인해야 합니다.,family-01 case_surface_content: 오래된 계좌 흐름과 일기장이 형제의 침묵을 같은 방향으로 가리킵니다. 민감한 가족 사정을 확인해야 합니다.,Old Account Trail,古い口座の流れ,旧账户流水,P0 explicit evidence label (e-6) from generated case metadata. / P0 explicit e-6 label from generated case metadata. / 검수: 계좌 흐름을 trail/流水로 자연화
EVIDENCE-012,EVIDENCE,최수민→예비신랑 연락 기록,14,friend-01,friend-01 case_surface_content: 최수민→예비신랑 연락 기록,,,Choi Su-min → Fiancé Contact Logs,チェ・スミン→婚約者の連絡記録,崔秀敏→未婚夫联系记录,P0 explicit evidence label (e-1) from generated case metadata. / P0 explicit e-1 label from generated case metadata. / 검수: 인명/관계 표기 통일
EVIDENCE-013,EVIDENCE,어머니 자필 유언장 연습본,12,family-01,family-01 case_surface_content: e-5 어머니 자필 유언장 연습본,family-01 case_surface_content: 어머니 자필 유언장 연습본,,Mother's Handwritten Will Draft,母の自筆遺言書下書き,母亲亲笔遗嘱草稿,P0 explicit evidence label (e-5) from generated case metadata. / P0 explicit e-5 label from generated case metadata. / 검수: 법률 문서식 과번역 완화
EVIDENCE-014,EVIDENCE,요양원 방문기록,12,family-01,family-01 case_surface_content: e-2 요양원 방문기록,family-01 case_surface_content: 요양원 방문기록의 증가 시점과 전 요양보호사가 종이를 읽어드린 시점이 겹친다.,family-01 case_surface_content: 요양원 방문기록,Care Home Visit Logs,介護施設の訪問記録,疗养院探访记录,P0 explicit evidence label (e-2) from generated case metadata. / P0 explicit e-2 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-015,EVIDENCE,전 요양보호사 음성증언,10,family-01,family-01 case_surface_content: e-3 전 요양보호사 음성증언,family-01 case_surface_content: 전 요양보호사 음성증언,(global) hardcoded_source_literal: 전 요양보호사 음성증언,Former Caregiver Audio Testimony,元介護職員の音声証言,前护理员语音证言,P0 explicit evidence label (e-3) from generated case metadata. / P0 explicit e-3 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-016,EVIDENCE,송다은 아버지 문자,9,friend-01,friend-01 case_surface_content: e-5 송다은 아버지 문자,friend-01 case_surface_content: 송다은 아버지 문자,"friend-01 judge_question_script: 최수민 씨, 송다은 아버지 문자에서 마음에 걸린 대목과 과거 경험의 연결점에 대해 기록 기준으로 말씀해 주십시오.",Text from Song Da-eun's Father,ソン・ダウンの父からのメッセージ,宋多恩父亲短信,P0 explicit e-5 label from generated case metadata. / 검수: 오역 수정
EVIDENCE-017,EVIDENCE,60:40 유서 사본,7,family-01,family-01 case_surface_content: e-1 60:40 유서 사본,family-01 case_surface_content: 60:40 유서 사본,,60:40 Will Copy,60:40遺言書コピー,60:40遗嘱副本,P0 explicit evidence label (e-1) from generated case metadata. / P0 explicit e-1 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-018,EVIDENCE,공동 적금 해지 서류,6,spouse-01,spouse-01 case_surface_content: 공동 적금 해지 서류와 처리 기록. A가 해지 절차를 어떻게 진행했는지 가리키는 자료.,"spouse-01 case_surface_content: 공동 적금 해지 서류와 위임장이다. 해지 금액은 2,000만원.",spouse-01 case_surface_content: 공동 적금 해지 서류,Joint Savings Cancellation Papers,共同積立預金の解約書類,共同储蓄账户解约文件,P0 explicit evidence label (e-7) from generated case metadata. / P0 explicit e-7 label from generated case metadata. / 검수: 한국 적금 맥락 현지화
EVIDENCE-019,EVIDENCE,이준호의 개인 계좌 출금 내역,6,spouse-01,spouse-01 case_surface_content: 이준호의 개인 계좌 출금 내역,,,Lee Jun-ho's Personal Withdrawal Records,イ・ジュノの個人口座出金履歴,李俊浩个人账户取款记录,P0 explicit evidence label (e-5) from generated case metadata. / P0 explicit e-5 label from generated case metadata. / 검수: 인명 표기 통일
EVIDENCE-020,EVIDENCE,새벽 통화기록,5,spouse-01,spouse-01 case_surface_content: e-3 새벽 통화기록,spouse-01 case_surface_content: 새벽 통화기록,"spouse-01 non_party_scripted_text: 이준호 씨, 발신자 미상 문자와 새벽 통화기록이 놓인 지금 시댁 이야기가 두려웠다는 말만으로 은폐가 사라지지 않습니다. 무엇을 두려워했는지 지금 말씀해 주십시오.",Early-Morning Call Logs,早朝の通話記録,凌晨通话记录,P0 explicit e-3 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-021,EVIDENCE,과거 손절 직전 카톡,3,friend-01,friend-01 case_surface_content: 과거 손절 직전 카톡,friend-01 case_surface_content: 상환이 끊긴 시점과 과거 손절 직전 카톡을 함께 보면 최수민이 송다은에게 말하지 못한 이유를 물어볼 근거가 생긴다.,"friend-01 phase_dialogue_judge_choice: 예비신랑 연락 기록, 공통 친구 단톡방 캡처, 과거 손절 직전 카톡까지 공개됐다. 최수민은 연락 사실은 인정하지만 의도는 집착이 아니었다고만 말한다. 이제 심문을 통해 그 연락이 정말 선을 넘은 집착이었는지, 아니면 다른 이유가 있었는지 가려야 한다.",KakaoTalk Before the Old Fallout,絶交直前のカカオトーク,旧日决裂前的KakaoTalk,P0 explicit evidence label (e-3) from generated case metadata. / P0 explicit e-3 label from generated case metadata. / 검수: 손절 맥락 자연화
EVIDENCE-022,EVIDENCE,공통 친구 단톡방 캡처,2,friend-01,friend-01 case_surface_content: 공통 친구 단톡방 캡처,"friend-01 phase_dialogue_judge_choice: 예비신랑 연락 기록, 공통 친구 단톡방 캡처, 과거 손절 직전 카톡까지 공개됐다. 최수민은 연락 사실은 인정하지만 의도는 집착이 아니었다고만 말한다. 이제 심문을 통해 그 연락이 정말 선을 넘은 집착이었는지, 아니면 다른 이유가 있었는지 가려야 한다.",,Mutual Friends Group Chat Screenshot,共通の友人グループチャットのスクリーンショット,共同朋友群聊截图,P0 explicit evidence label (e-2) from generated case metadata. / P0 explicit e-2 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-023,EVIDENCE,오피스텔 출입 기록,2,spouse-01,spouse-01 case_surface_content: e-2 오피스텔 출입 기록,"spouse-01 non_party_scripted_text: 이준호 씨, 오피스텔 출입 기록과 발신자 미상 문자를 나란히 보니 장소와 사람이 함께 좁혀집니다. 그렇게 이어진 정황을 처음부터 말씀해 주십시오.",,Officetel Entry Logs,オフィステル出入記録,韩式商住公寓出入记录,P0 explicit e-2 label from generated case metadata. / 검수: 한국식 오피스텔 맥락 유지
EVIDENCE-024,EVIDENCE,개인 계좌의 큰 금액 출금,1,spouse-01,spouse-01 case_surface_content: e-5 개인 계좌의 큰 금액 출금,,,Large Personal Account Withdrawal,個人口座の高額出金,个人账户大额取款,P0 explicit e-5 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-025,EVIDENCE,과거 송금 기록과 차용증,1,friend-01,friend-01 case_surface_content: 과거 송금 기록과 차용증,,,Past Transfers and IOU,過去の送金記録と借用書,过往转账记录与借条,P0 explicit evidence label (e-6) from generated case metadata. / P0 explicit e-6 label from generated case metadata. / 검수: 차용증 용어 정리
EVIDENCE-026,EVIDENCE,과거·현재 대조표,1,friend-01,friend-01 case_surface_content: 과거·현재 대조표,,,Past/Present Comparison Chart,過去・現在対照表,过去与现在对照表,P0 explicit evidence label (e-7) from generated case metadata. / P0 explicit e-7 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-027,EVIDENCE,블랙박스 GPS / 네비 즐겨찾기,1,spouse-01,spouse-01 case_surface_content: 블랙박스 GPS / 네비 즐겨찾기,,,Dashcam GPS / Navigation Favorites,ドライブレコーダーGPS／ナビのお気に入り,行车记录仪GPS / 导航收藏,P0 explicit evidence label (e-2) from generated case metadata. / P0 explicit e-2 label from generated case metadata. / 검수: 블랙박스 용어 교정
EVIDENCE-028,EVIDENCE,송다은 아버지와 예비신랑의 문자,1,friend-01,friend-01 case_surface_content: 송다은 아버지와 예비신랑의 문자,,,Texts Between Song Da-eun's Father and the Fiancé,ソン・ダウンの父と婚約者のメッセージ,宋多恩父亲与未婚夫的短信,P0 explicit evidence label (e-5) from generated case metadata. / P0 explicit e-5 label from generated case metadata. / 검수: 인물 관계 명확화
EVIDENCE-029,EVIDENCE,영수증 묶음 (5장),1,spouse-01,spouse-01 case_surface_content: 영수증 묶음 (5장),,,Receipt Bundle (5),レシート束（5枚）,收据包（5张）,P0 explicit evidence label (e-1) from generated case metadata. / P0 explicit e-1 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-030,EVIDENCE,예비신랑의 선 넘는 메시지와 최수민의 거절 답장,1,friend-01,friend-01 case_surface_content: 예비신랑의 선 넘는 메시지와 최수민의 거절 답장,,,Fiancé's Overstepping Message and Choi Su-min's Rejection,婚約者の踏み越えたメッセージとチェ・スミンの拒絶返信,未婚夫越界留言与崔秀敏拒绝回复,P0 explicit evidence label (e-4) from generated case metadata. / P0 explicit e-4 label from generated case metadata. / 검수: 선 넘는 메시지 자연화
EVIDENCE-031,EVIDENCE,카드 명세서,1,spouse-01,spouse-01 case_surface_content: e-1 카드 명세서,,,Card Statement,カード明細書,银行卡账单,P0 explicit e-1 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-032,EVIDENCE,통화·출입·계좌 이동 대조표,1,spouse-01,spouse-01 case_surface_content: e-7 통화·출입·계좌 이동 대조표,,,Call / Entry / Account Movement Chart,通話・出入・口座移動対照表,通话 / 出入 / 账户变动对照表,P0 explicit e-7 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-033,EVIDENCE,"투자방 텔레그램 + 2,000만 원 송금",1,spouse-01,"spouse-01 case_surface_content: e-6 투자방 텔레그램 + 2,000만 원 송금",,,Investment Chat Telegram + ₩20M Transfer,"投資チャットのTelegram＋2,000万ウォン送金",投资群Telegram＋2000万韩元转账,P0 explicit e-6 label from generated case metadata. / 검수: 증거 아이템명
EVIDENCE-034,EVIDENCE,투자방 텔레그램 + 송금 기록,1,spouse-01,spouse-01 case_surface_content: 투자방 텔레그램 + 송금 기록,,,Investment Chat Telegram + Transfer Records,投資チャットのTelegram＋送金記録,投资群Telegram＋转账记录,P0 explicit evidence label (e-6) from generated case metadata. / P0 explicit e-6 label from generated case metadata. / 검수: 증거 아이템명
DISPUTE-001,DISPUTE,어머니의 뜻,78,family-01,family-01 case_surface_content: dc-5 어머니의 뜻,family-01 case_surface_content: 어머니의 뜻을 두 아들 모두 왜곡했다,(global) hardcoded_source_literal: 어머니의 뜻,Mother's Wishes,母の意思,母亲的意愿,P0 explicit dc-5 label from generated case metadata. / 검수: 쟁점명
DISPUTE-002,DISPUTE,감춘 이유,33,family-01,family-01 case_surface_content: dc-4 감춘 이유,family-01 non_party_scripted_text: 제가 보낸 돈이 형을 받친 건 맞습니다. 다만 그 사실을 감춘 이유가 더 중요했습니다.,family-01 non_party_scripted_text: 재판관이 감춘 이유 콤보를 근거로 즉답을 요구한다. 회피를 끊는 톤이다.,Why It Was Hidden,隠した理由,隐瞒的理由,P0 explicit dc-4 label from generated case metadata. / 검수: 쟁점명
DISPUTE-003,DISPUTE,가족 쪽 정황,18,spouse-01,spouse-01 case_surface_content: dc-6 가족 쪽 정황,spouse-01 case_surface_content: 문자와 구매 품목이 같은 가족 쪽 정황을 가리킵니다. 누구와 관련된 일인지와 왜 숨겼는지를 따로 확인해야 합니다.,spouse-01 case_surface_content: 가족 쪽 정황,Family Circumstances,家族側の事情,家族方面的情况,P0 explicit dc-6 label from generated case metadata. / 검수: 쟁점명
DISPUTE-004,DISPUTE,아버지의 돈 접근 패턴,9,friend-01,friend-01 case_surface_content: 초반에는 최수민의 9일간 연락 기록과 송다은의 단톡방 발언이 겹치며 최수민이 집착하는 사람으로 보인다. 그러나 예비신랑의 선 넘는 메시지와 송다은 아버지의 돈 접근 패턴이 드러나면서 사건의 중심은 집착이 아니라 반복되는 침묵과 낙인으로 뒤집힌다.,"friend-01 case_surface_content: 최수민은 예비신랑에게 9일간 연락했다. 집착이 아니라 송다은 아버지의 돈 접근 패턴을 경고하려 했지만, 직접 말할 길이 없었다.",friend-01 case_surface_content: 최수민은 송다은 아버지의 돈 접근 패턴을 경고하려 예비신랑에게 연락했다.,Father's Money Pattern,父の金銭接近パターン,父亲接近钱财的模式,P0 explicit dispute label (d-3) from generated case metadata. / P0 explicit d-3 label from generated case metadata. / 검수: 쟁점명
DISPUTE-005,DISPUTE,오래된 지원의 출처,8,family-01,family-01 case_surface_content: 새 쟁점 '오래된 지원의 출처'가 드러났습니다. 돈의 출처와 전달 순서를 확인하십시오.,family-01 case_surface_content: dc-3 오래된 지원의 출처,family-01 case_surface_content: 오래된 지원의 출처,Source of Old Support,古い支援の出どころ,旧日支援的来源,P0 explicit dispute label (d-3) from generated case metadata. / P0 explicit d-3 label from generated case metadata. / P0 explicit dc-3 label from generated case metadata. / 검수: 쟁점명
DISPUTE-006,DISPUTE,낙인의 순서,7,friend-01,friend-01 case_surface_content: dc-5 낙인의 순서,friend-01 case_surface_content: 단톡방 매도와 과거 손절이 맞물립니다. 확산 경로와 낙인의 순서를 짚어보세요.,friend-01 case_surface_content: 낙인의 순서,Order of the Stigma,烙印の順序,污名形成的顺序,P0 explicit dc-5 label from generated case metadata. / 검수: 쟁점명
DISPUTE-007,DISPUTE,어머니의 숨겨진 마음,7,family-01,family-01 case_surface_content: 새 쟁점 '어머니의 숨겨진 마음'이 드러났습니다. 각자의 해석과 개입을 분리하십시오.,family-01 case_surface_content: dc-5 어머니의 숨겨진 마음,family-01 case_surface_content: 어머니의 숨겨진 마음,Mother's Hidden Feelings,母の隠された思い,母亲隐藏的心意,P0 explicit dispute label (d-5) from generated case metadata. / P0 explicit d-5 label from generated case metadata. / P0 explicit dc-5 label from generated case metadata. / 검수: 쟁점명
DISPUTE-008,DISPUTE,과거 손절의 이유,5,friend-01,friend-01 case_surface_content: 새 쟁점 '과거 손절의 이유'가 드러났습니다. 손절 직전의 돈 흐름과 침묵 이유를 확인하세요.,friend-01 case_surface_content: 과거 손절의 이유,friend-01 case_surface_content: 상환이 끊긴 흐름을 대조하면 과거 손절의 이유를 물을 수 있습니다.,Why the Old Friendship Ended,過去の絶交理由,旧日决裂的理由,P0 explicit dispute label (d-4) from generated case metadata. / P0 explicit d-4 label from generated case metadata. / 검수: 쟁점명
DISPUTE-009,DISPUTE,오피스텔 방문과 새벽 전화,5,spouse-01,spouse-01 case_surface_content: 오피스텔 방문과 새벽 전화,spouse-01 case_surface_content: 오피스텔 방문과 새벽 전화는 딴살림 흔적인가,"spouse-01 mediation_judge_line: 각자의 책임을 따로 떼어 보는 조건부 조정안을 먼저 제시하겠습니다. 오피스텔 방문과 새벽 전화, 개인 비자금 출금, 공동 적금 해지 문제는 한꺼번에 묶어 다루지 않겠습니다.",Officetel Visit and Early-Morning Call,オフィステル訪問と早朝の電話,韩式商住公寓探访与凌晨电话,P0 explicit dispute label (d-1) from generated case metadata. / P0 explicit d-1 label from generated case metadata. / 검수: 쟁점명
DISPUTE-010,DISPUTE,오피스텔의 사람들,5,spouse-01,spouse-01 case_surface_content: dc-1 오피스텔의 사람들,spouse-01 case_surface_content: 오피스텔의 사람들,(global) hardcoded_source_literal: 조합 결과: 오피스텔의 사람들,People at the Officetel,オフィステルの人々,韩式商住公寓里的人,P0 explicit dc-1 label from generated case metadata. / 검수: 쟁점명
