priority,locale,key_or_source,issue,recommendation
P1,zh-CN,emotion_defensive + emotion_angry zh-CN deviation,"hotbar.ts: emotion.defensive zh-CN=防备 vs glossary 警戒. emotion.angry zh-CN=激动 vs glossary 激愤.","Same as EN — pick canonical. Recommend Codex (防备 / 激动) — 防备 reads more natural emotion-state than 警戒 (more military). 激动 is broader than 激愤 but works as meter state. Native review."
P1,en,verdict.step.solution EN deviates from glossary,"verdict.ts: pc.verdict.step.solution EN=Resolution. Glossary line 31: solution EN=Solution. Same applies to pc.verdict.meta.solutions EN=Resolutions (plural).","Either: (a) align Codex to glossary (Solution / Solutions) — recommended for consistency, OR (b) add new disambiguator glossary row `verdict_step_solution`=Resolution to document step concept distinct from gameplay solution noun (mirrors score_axis_* disambiguation pattern)."
P1,ja,verdict.step.solution + meta.solutions JA deviates from glossary,"verdict.ts: pc.verdict.step.solution JA=解決案 + pc.verdict.meta.solutions JA=解決案. Glossary line 31: solution JA=解決策.","Same as EN row. Pick canonical. Recommend align glossary JA solution row 解決策→解決案 IF design intent matches Thread-05 FINAL_NORMALIZED_TERMS notes (`解決策 reserved for choice copy, 解決案 for step/proposal context`). OR align Codex to glossary 解決策."
P1,en,verdict.step.confirm EN=Decision deviates from glossary verdict=Verdict,"verdict.ts: pc.verdict.step.confirm EN=Decision. Glossary line 28: verdict EN=Verdict. Codex chose Decision to disambiguate the verdict STEP from the verdict gameplay PHASE.","Recommend keep Codex Decision as intentional disambiguator. Add new glossary row `verdict_step_decision` (KO=04 판결문 / EN=Decision / JA=判決文 / zh-CN=判决书) to document the step concept distinct from gameplay verdict noun. This mirrors the score_axis_* pattern."
P1,en,verdict.step.fact EN=Fact Finding,"verdict.ts: pc.verdict.step.fact EN=Fact Finding. KO 쟁점 판단. Glossary has fact=Fact + dispute=Dispute but no `verdict_step_fact` row. Fact Finding is a legal-process term that doesn't conflict with either glossary noun.","Add new glossary row `verdict_step_fact_finding` (KO=01 쟁점 판단 / EN=Fact Finding / JA=争点判断 / zh-CN=争议判断) to document the step concept. Mirrors score_axis_* + verdict_step_decision disambiguation pattern."
P1,en,verdict.step.responsibility — minor JA/zh-CN expansion,"verdict.ts: pc.verdict.step.responsibility KO=02 안건 책임 / EN=Responsibility / JA=責任配分 / zh-CN=责任分配. Glossary line 30: responsibility = Responsibility / 責任 / 责任. Codex JA/zh-CN add 配分/分配 (allocation suffix) for the step-action sense.","Acceptable. Add usage note to glossary responsibility row: `In verdict step context, JA renders 責任配分 (allocation) and zh-CN renders 责任分配; bare noun used elsewhere.` No glossary value change."
P2,all,em-dash typography polish missing,"Thread-01 COVERAGE_REPORT proposed em-dash `—` for 6+ verdict + hotbar slot title keys; Codex applied ASCII hyphen `-`. Affected: pc.verdict.factOption.partyClaimCorrectWithContradiction (en/ja/zh-CN) / pc.verdict.factOption.defer (en/ja/zh-CN) / pc.verdict.confirm.judgment.true / .false (en/ja/zh-CN) / pc.hotbar.slot.fact.title / .motive.title / .empathy.title / .free.title (en/zh-CN) — 18+ instances total.","Apply em-dash polish in a single CSS-or-text PR. Low priority but Thread-01 specifically called this out for CJK polish."
P2,en,hotbar.special compact deviations from Thread-05 proposal,"Codex compact: separation=Separate / confidential=Protect / immediate=Demand. Thread-05 LONG_TEXT_RECOMMENDATIONS proposed: Separate / Confidential / Immediate. Codex chose verb-style (Protect / Demand) instead of noun/adverb-style (Confidential / Immediate).","Both schemes work. Recommend keep Codex values (Protect / Demand) — verb-style reads better as compact action chip. Document choice in Thread-05 follow-up."
P2,en,hotbar.slot compact deviations,"Codex compact: fact=Fact / free=Free. Thread-05 LONG_TEXT_RECOMMENDATIONS proposed: Facts / Free Q.","Minor. Both work. Recommend keep Codex values (Fact / Free) for parity with other compact (single noun)."
P2,all,residual hardcoded KO labels in 6 sibling components,"grep found inline KO labels still present: PCCourtLayout.tsx:654-656 (분리 심문 / 비공개 보호 / 즉답 요구), PCActionsPanel.tsx:44 (증거 제시), PCInteractionPanel.tsx:645 (즉답 요구), PCRecordSummary.tsx:156 (증거 제시), ArchetypeTag.tsx:14-16 (사실 추궁 / 동기 탐색 / 공감 접근), hotbarHighlight.tsx:86-88 (same 3 keywords). These are OUTSIDE the announced re-check scope (PCVerdictScreen + PCBottomDock) but consume the same concepts.","Out of recheck scope. Flag for next Codex pass: PCActionsPanel + PCInteractionPanel + PCRecordSummary + PCCourtLayout consume the migrated labels and need t() conversion. ArchetypeTag.tsx + hotbarHighlight.tsx use KO keywords as INTERNAL pattern-matching (highlight system); verify if these are pure data keys (do not display) — if so, keep as-is."
P2,all,hardcoded toast / dialogue literals (Thread-02 P1 carry-over),"Restart Thread-05 RECHECK scope explicitly said `verdict/hotbar 신규 키` only. The 9 hardcoded KO toast/dialogue literals from Thread-02 P1 (PCInteractionPanel × 2, PCRightPanel × 4, useActionDispatch × 2, resourceSlice × 2) are NOT in this batch. Flag as still-pending.","Out of recheck scope. Pending Codex follow-up per Restart Thread-05 IMPLEMENTATION_NOTES section 2."
P2,all,observation Set migration not in this batch,"Decision 6 sequence: SLIDES → EMOTION_LABELS → observation Set. SLIDES applied; EMOTION_LABELS now migrated (this batch); observation Set still pending.","Out of recheck scope. Will require separate migration + recheck pass per decision 6 sequencing."
