term_id,locale,glossary_value,codex_applied_value,key_path,deviation_type,recommendation
emotion_angry,zh-CN,激愤,激动,pc.hotbar.emotion.angry,value-mismatch,Update glossary 激愤→激动 (Codex broader/softer; native review).
emotion_resigned,ko,체념,체념,pc.hotbar.emotion.resigned,match,—
emotion_resigned,en,Resigned,Resigned,pc.hotbar.emotion.resigned,match,—
emotion_resigned,ja,諦観,諦観,pc.hotbar.emotion.resigned,match,—
emotion_resigned,zh-CN,认命,认命,pc.hotbar.emotion.resigned,match,—
solution,en,Solution,Resolution,pc.verdict.step.solution / .meta.solutions,value-mismatch,Either align Codex to glossary OR add new disambiguator row `verdict_step_solution`=Resolution. Recommend latter (mirrors score_axis_* pattern).
solution,ja,解決策,解決案,pc.verdict.step.solution / .meta.solutions,value-mismatch,Either align Codex to glossary OR update glossary 解決策→解決案. Recommend the latter — Codex JA matches the original draft glossary value before Thread-02's earlier patch proposal.
solution,zh-CN,解决方案,解决方案,pc.verdict.step.solution / .meta.solutions,match,—
verdict,en,Verdict,Decision,pc.verdict.step.confirm,intentional-deviation,Add new disambiguator row `verdict_step_decision`=Decision/判決文/判决书. Frees Verdict for the gameplay phase noun. Mirrors score_axis_authority disambiguator.
verdict,ja,判決,判決文,pc.verdict.step.confirm,deviation-document-form,Codex 判決文 is more specific than glossary 判決 (verdict statement/document). Add same disambiguator row.
verdict,zh-CN,判决,判决书,pc.verdict.step.confirm,deviation-document-form,Codex 判决书 is the legal-document form. Same disambiguator row.
fact (or dispute),en,Fact / Dispute,Fact Finding,pc.verdict.step.fact,no-glossary-row,Add new disambiguator row `verdict_step_fact_finding`=Fact Finding/争点判断/争议判断. Step concept distinct from glossary fact + dispute nouns.
responsibility,en,Responsibility,Responsibility,pc.verdict.step.responsibility,match-with-suffix,JA + zh-CN add 配分/分配 (allocation suffix) for step sense. Add usage note to glossary responsibility row.
fact_pursuit,en,Fact Pursuit,Fact Pursuit,pc.hotbar.slot.fact.label,match,—
motive_search,en,Motive Search,Motive Search,pc.hotbar.slot.motive.label,match,—
empathy_approach,en,Empathy Approach,Empathy Approach,pc.hotbar.slot.empathy.label,match,—
free_question,en,Free Question,Free Question,pc.hotbar.slot.free.label,match,—
separate_interrogation,en,Separate Interrogation,Separate Interrogation,pc.hotbar.special.separation.label,match,—
confidential_protection,en,Confidential Protection,Confidential Protection,pc.hotbar.special.confidential.label,match,—
demand_answer,en,Demand Answer,Demand Answer,pc.hotbar.special.immediate.label,match,—
brand_full_title,en,Verdict Zero: Trial of Truth,(not in this batch — already locked in common.ts),—,—,—
project_solomon,all,(forbidden user-facing),(zero matches in new files),pc.* keys,verified-clean,Linter passes.
