priority,locale,surface_or_concern,issue,evidence,recommendation
P2,ja,JA mixed numeric form `三千万ウォン` vs `3,000万ウォン`,"scriptedText sub-agent used `三千万ウォン` (kanji); other surfaces use `3,000万ウォン` (half-width comma).",JA SUMMARY P2 row 2 + glossary delta DRIFT row.,Pick canonical form for JA bulk normalization. Recommend `3,000万ウォン` (matches glossary numeric convention + readability for in-game register).
P2,ja,JA witness w-3 name `相談者` vs `パク・ミラ`,"scriptedText sub-agent used `相談者` (generic role-noun) instead of glossary-locked transliteration `パク・ミラ`.",JA SUMMARY P2 row 3 + glossary delta DRIFT row.,JA native review: confirm if role-noun preferred in witness-scene context (witnesses sometimes addressed by role) or revert to transliterated name.
P2,zh-CN,zh-CN `委任书` vs `委托书` inconsistency,"Some scriptedText S5 lines use `委任书` while glossary locks `委托书`. Both pass forbidden-lexeme guard. Inconsistency between sub-agent passes.",zh-CN SUMMARY P2 row 1 + glossary delta DRIFT row.,Codex one-pass normalization across spouse-01 zh-CN sidecars: replace `委任书` with `委托书` (glossary-locked form).
P2,zh-CN,`公寓` masking 오피스텔 nuance in `evidence.surfaceDescription`,"zh-CN `公寓` reads as generic apartment, loses 오피스텔's small-studio mixed-use connotation.",zh-CN SUMMARY P2 row 2 + glossary delta OK_WITH_NUANCE_LOSS row.,"For surface-only judge speech `公寓` is non-leaking. For `evidence.surfaceDescription` consider refinement (e.g. `小公寓单间` for first-mention parenthetical). P2 polish — not blocking ship."
P2,en,EN template repetition in interrogation_answers,"Same template-repetition pattern as P1 above, applied to 7,920 variants. Different lieState/angle buckets each have shared opening clauses across 10 variants.","Spot-check on 5 entries showed 1 unique 60-char opener / 10 variants. JA: 3-6/10. zh-CN: 9-10/10.",Bundled with P1 EN polish pass. EN sub-agent prompt for family-01/friend-01 must mandate opener + closer + middle rotation dictionary.
P2,all,Variant variation algorithm differences across sub-agents,"scriptedText pass-2 sub-agent vs interrogation_answers sub-agent used different rotation/composition algorithms. Both pass validator + preserve variety per channel, but stylistic register may drift slightly.",zh-CN SUMMARY P2 row 3.,Native review pass post family-01/friend-01 to assess stylistic register cohesion across same-locale channels.
P2,en,scriptedText evidence_present hardening,"EN evidence_present at lieBand=late uses surface vocab where KO source has truth lexemes. Same root cause as aftermath P1 (validator only S5).",EN SUMMARY recommendation #4.,Bundled with non-lieState channel decision P1.
P2,all,build script + scaffold artifacts retained under tmp/,"EN pilot retained 10 build scripts under tmp/ (build-en-st-*.cjs / merge-*.cjs / etc.). Useful as starting points for family-01 + friend-01 expansion.",EN SUMMARY mentions 10 retained build scripts.,Document the tmp/ build-script catalog in IMPLEMENTATION_PLAN_FOR_CODEX as reusable templates. Sub-agent prompts for family-01/friend-01 should reference these as starting models.
P2,en,Stall pattern documented — sub-agent inline translation triggers 600s watchdog,"EN intake SUMMARY: 9 sub-agent runs, 3 stalled (all attempted inline translation), 6 succeeded (all used Node build script + sentence dictionary).",EN SUMMARY 'Stall pattern' section.,Sub-agent prompt template for family-01/friend-01 must mandate build-script pattern explicitly. Include reference to `tmp/build-en-st-*.cjs` as required pattern.
P2,all,localization:scripts:validate not in check:all,"Per `package.json` line 40: `check:all` runs `localization:glossary && qa:fast && qa:free-interrogation`. `localization:scripts:validate` is standalone via `localization:scripts:validate` / `check:script-locales`. After spouse-01 pilot lands, the locale validator should be part of the release gate.",check:all currently does not run script-locale validator.,"After family-01/friend-01 sidecars land (or accept missing-sidecar warnings as informational for now), update `check:all` to `... && npm run check:script-locales`. Until then, `localization:scripts:validate` runs standalone."
INFO,all,Tier B `behaviorHint` activation deferred,"Per locked decision #5, `behaviorHint` not translated in v1 pilot. Validator runs `skipCaseLexemes:true` on behaviorHint paths. Recheck v4 INFO #1 noted Tier B will need behaviorHint to honor truth-stage gating.","behaviorHint omitted from all sidecars. Runtime falls back to KO behaviorHint (writer/director note — not player-visible per locked decision).",Tier B activation plan post-v1. JA SUMMARY recommendation: 'decide whether v1 ships with KO behaviorHint fallback (current) or with a behaviorHint-specific lexeme list before flipping the flag'. Defer to post-spouse-01 ship.
INFO,all,Strict mode pass scoped to spouse-01,"`localization:scripts:validate --strict` reports 42 errors; ALL are missing-sidecar errors for family-01 + friend-01. Zero spouse-01 errors.","42 errors observed = 14 per-locale × 3 locales (each missing one of 7 sidecars × 2 inactive cases). After family-01 + friend-01 sidecars land, full strict gating in `check:rc` becomes feasible.","Acceptable for spouse-01 pilot. Plan strict mode integration into release gate after family-01/friend-01 expansion."
INFO,all,KO source phase1 edit in working tree (intentional v3 P0 fix),"`git diff src/data/dialogues/phase1/spouse-01.json` shows 2 line changes per v3 recheck P0 finding. Line 130: `부모님 재산을 형이 다 날린` → `큰돈이 얽힌 집안 문제`. Line 286: `당신 형님?` → `어머님 쪽 일인가요?`. Disclosure-policy author / CT-Main approved edit.","Working tree shows file modified but not yet committed. Per brief blocking-finding rule: 'Korean source files modified without approval' — this edit IS approved per v3 P0 finding chain. NOT a violation.",Recommend committing the KO phase1 edit + 3 locale sidecars + Tier A infra together as one localization-Tier-A landing commit. Then re-run `check:all` post-commit to confirm green.
